"scenario_mode","setup_type","session_label","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"tokyo_only_reference","wave3_start_pullback","tokyo","251","0.358565737051793","-1039.28","2053.91","-3093.19","0.664010293580414","-44.7456","-0.178269322709163","0.670057117070085"
"tokyo_only_reference","abc_completion_reentry","tokyo","25","0.44","-102.99","196.98","-299.97","0.656665666566657","-4.2342","-0.169368","0.683230092467905"
"london_newyork_overlap_reference","wave3_start_pullback","london_newyork_overlap","171","0.350877192982456","-828.659999999999","1122.95","-1951.61","0.575396723730664","-34.4435","-0.201423976608187","0.599938905124071"
"london_newyork_overlap_reference","wave4_continuation","london_newyork_overlap","33","0.363636363636364","-174.74","264","-438.74","0.601723116196381","-7.4507","-0.225778787878788","0.60687508244295"
"london_newyork_overlap_reference","abc_completion_reentry","london_newyork_overlap","22","0.454545454545455","-16.39","187.02","-203.41","0.919423823804139","-0.8561","-0.0389136363636364","0.906499492141851"
"symbol_best_session","wave3_start_pullback","other","17","0.470588235294118","7.84","143.51","-135.67","1.05778727795386","0.3788","0.0222823529411765","1.0642687478792"
"symbol_best_session","wave3_start_pullback","london","86","0.302325581395349","-511","706.72","-1217.72","0.580363301908485","-22.3684","-0.260097674418605","0.582960761575205"
"symbol_best_session","wave3_start_pullback","london_newyork_overlap","56","0.267857142857143","-581.09","251.96","-833.05","0.302454834643779","-25.4499","-0.4544625","0.31492552982441"
"symbol_best_session","wave3_start_pullback","tokyo","39","0.358974358974359","-204.18","277.19","-481.37","0.575835635789517","-8.8324","-0.226471794871795","0.581533738261965"
"symbol_best_session","wave3_start_pullback","new_york","1","0","-10.01","0","-10.01","0","-0.5276","-0.5276","0"
"symbol_best_session","wave4_continuation","london","18","0.333333333333333","-164.13","100.78","-264.91","0.380431089804085","-6.8794","-0.382188888888889","0.412865177649378"
"symbol_best_session","wave4_continuation","london_newyork_overlap","17","0.411764705882353","-43.01","183.79","-226.8","0.810361552028219","-1.6985","-0.0999117647058824","0.821118260997778"
"symbol_best_session","wave4_continuation","tokyo","11","0.727272727272727","200.49","268.45","-67.96","3.95011771630371","8.2507","0.750063636363636","3.7396400584407"
"symbol_best_session","wave4_continuation","other","2","0","-27.13","0","-27.13","0","-1.1267","-0.56335","0"
"symbol_best_session","wave4_continuation","new_york","1","1","30.26","30.26","0","∞","1.401","1.401","∞"
"symbol_best_session","abc_completion_reentry","london_newyork_overlap","6","0.666666666666667","27.53","71.64","-44.11","1.62412151439583","1.0674","0.1779","1.5337"
"symbol_best_session","abc_completion_reentry","other","2","0.5","-13.63","0.23","-13.86","0.0165945165945166","-0.6159","-0.30795","0.0162913272640153"
"symbol_best_session","abc_completion_reentry","london","7","0.285714285714286","-55.25","40.88","-96.13","0.425257463851035","-2.558","-0.365428571428571","0.405060935901014"
"symbol_best_session","abc_completion_reentry","tokyo","5","0.6","34.09","58.43","-24.34","2.40057518488085","1.57","0.314","2.23944106734033"
"symbol_best_session_with_dow_alignment","wave3_start_pullback","london","85","0.317647058823529","-440.28","684.34","-1124.62","0.608507762622041","-20.2962","-0.238778823529412","0.610622219408457"
"symbol_best_session_with_dow_alignment","wave3_start_pullback","london_newyork_overlap","65","0.338461538461538","-439.97","403.14","-843.11","0.478158247441022","-20.1139","-0.309444615384615","0.478767320305475"
"symbol_best_session_with_dow_alignment","wave3_start_pullback","other","20","0.4","-23.95","163.15","-187.1","0.871993586317477","-1.3472","-0.06736","0.841610233258089"
"symbol_best_session_with_dow_alignment","wave3_start_pullback","tokyo","40","0.275","-416.01","198.92","-614.93","0.323483973785634","-18.3643","-0.4591075","0.336751130437295"
"symbol_best_session_with_dow_alignment","wave3_start_pullback","new_york","1","0","-10.05","0","-10.05","0","-0.5276","-0.5276","0"
"symbol_best_session_with_dow_alignment","wave4_continuation","london","36","0.388888888888889","-109.42","344.01","-453.43","0.758683810069911","-4.5747","-0.127075","0.778923103688239"
"symbol_best_session_with_dow_alignment","wave4_continuation","london_newyork_overlap","16","0.5","-30.31","179.59","-209.9","0.855597903763697","-1.115","-0.0696875","0.879551911505763"
"symbol_best_session_with_dow_alignment","wave4_continuation","tokyo","9","0.555555555555556","88.24","153.77","-65.53","2.3465588280177","3.9179","0.435322222222222","2.26355339116974"
"symbol_best_session_with_dow_alignment","wave4_continuation","other","6","0.333333333333333","-39.04","6.19","-45.23","0.136856068980765","-1.8848","-0.314133333333333","0.139871309268471"
"symbol_best_session_with_dow_alignment","abc_completion_reentry","london_newyork_overlap","5","0.6","1.41","45.66","-44.25","1.03186440677966","0.1442","0.02884","1.0721"
"symbol_best_session_with_dow_alignment","abc_completion_reentry","london","3","0","-53.31","0","-53.31","0","-2.2802","-0.760066666666667","0"
"symbol_best_session_with_dow_alignment","abc_completion_reentry","other","2","0","-12.51","0","-12.51","0","-0.6246","-0.3123","0"
"symbol_best_session_with_wave3_confirmed","wave3_start_pullback","london","9","0.555555555555556","-5.65","40.95","-46.6","0.878755364806867","0.0141000000000001","0.00156666666666668","1.00666320117197"
"symbol_best_session_with_wave3_confirmed","wave3_start_pullback","other","5","0.4","17.02","21.62","-4.6","4.7","0.6893","0.13786","3.81002853648593"
"symbol_best_session_with_wave3_confirmed","wave3_start_pullback","tokyo","5","1","44.33","44.33","0","∞","2.4088","0.48176","∞"
"symbol_best_session_with_wave3_confirmed","wave3_start_pullback","new_york","1","0","-10.01","0","-10.01","0","-0.5276","-0.5276","0"
"symbol_best_session_with_wave3_confirmed","wave3_start_pullback","london_newyork_overlap","11","0.363636363636364","-26.95","30.3","-57.25","0.529257641921397","-0.9715","-0.0883181818181818","0.61254686129058"
"symbol_best_session_with_wave3_confirmed","wave4_continuation","london","52","0.442307692307692","73.94","670.6","-596.66","1.12392317232595","2.9139","0.0560365384615385","1.11541432153141"
"symbol_best_session_with_wave3_confirmed","wave4_continuation","london_newyork_overlap","20","0.45","-83.11","191.21","-274.32","0.697032662583844","-3.2708","-0.16354","0.714407956202468"
"symbol_best_session_with_wave3_confirmed","wave4_continuation","tokyo","20","0.45","17.77","257.72","-239.95","1.07405709522817","0.742899999999999","0.0371449999999999","1.07341924772202"
"symbol_best_session_with_wave3_confirmed","wave4_continuation","other","12","0.166666666666667","-118.08","6.88","-124.96","0.0550576184379001","-5.1329","-0.427741666666667","0.0563481266316138"
"symbol_best_session_with_wave3_confirmed","abc_completion_reentry","london_newyork_overlap","5","0.6","4.24","52.04","-47.8","1.08870292887029","0.1442","0.02884","1.0721"
"symbol_best_session_with_wave3_confirmed","abc_completion_reentry","london","3","0","-53.31","0","-53.31","0","-2.2802","-0.760066666666667","0"
"symbol_best_session_with_wave3_confirmed","abc_completion_reentry","other","2","0","-14.06","0","-14.06","0","-0.6246","-0.3123","0"
"symbol_best_session_with_wave3_confirmed","abc_completion_reentry","tokyo","2","0.5","-11.95","12.34","-24.29","0.508027995059695","-0.3975","-0.19875","0.6025"
