"scenario_mode","event","count"
"baseline_all_sessions","blocked","30313"
"baseline_all_sessions","diagnostic","10160"
"baseline_all_sessions","order_failed","1"
"baseline_all_sessions","order_sent","339"
"baseline_all_sessions","signal","30653"
"session_volatility_only_filter","blocked","30385"
"session_volatility_only_filter","diagnostic","10160"
"session_volatility_only_filter","order_sent","268"
"session_volatility_only_filter","signal","30653"
"london_only_reference","blocked","30382"
"london_only_reference","diagnostic","10160"
"london_only_reference","order_sent","271"
"london_only_reference","signal","30653"
"newyork_only_reference","blocked","30339"
"newyork_only_reference","diagnostic","10160"
"newyork_only_reference","order_sent","314"
"newyork_only_reference","signal","30653"
"tokyo_only_reference","blocked","30316"
"tokyo_only_reference","diagnostic","10160"
"tokyo_only_reference","order_sent","337"
"tokyo_only_reference","signal","30653"
"london_newyork_overlap_reference","blocked","30427"
"london_newyork_overlap_reference","diagnostic","10160"
"london_newyork_overlap_reference","order_sent","226"
"london_newyork_overlap_reference","signal","30653"
"symbol_best_session","blocked","30385"
"symbol_best_session","diagnostic","10160"
"symbol_best_session","order_sent","268"
"symbol_best_session","signal","30653"
"symbol_best_session_with_dow_alignment","blocked","30364"
"symbol_best_session_with_dow_alignment","diagnostic","10160"
"symbol_best_session_with_dow_alignment","order_failed","1"
"symbol_best_session_with_dow_alignment","order_sent","288"
"symbol_best_session_with_dow_alignment","signal","30653"
"symbol_best_session_with_wave3_confirmed","blocked","30506"
"symbol_best_session_with_wave3_confirmed","diagnostic","10160"
"symbol_best_session_with_wave3_confirmed","order_sent","147"
"symbol_best_session_with_wave3_confirmed","signal","30653"
