"scenario_mode","direction","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"baseline_all_sessions","SHORT","207","0.36231884057971","-872.62","1734.57","-2607.19","0.665302490420721","-39.7054","-0.191813526570048","0.659078693169622"
"baseline_all_sessions","LONG","132","0.340909090909091","-630.13","1033.11","-1663.24","0.621143070152233","-27.4301","-0.207803787878788","0.631005388942847"
"session_volatility_only_filter","LONG","117","0.401709401709402","-258.4","1066.05","-1324.45","0.804900147230926","-11.1068","-0.0949299145299146","0.808212791454636"
"session_volatility_only_filter","SHORT","151","0.317880794701987","-1050.82","1067.79","-2118.61","0.504004984400149","-46.2821","-0.306503973509934","0.507344261108468"
"london_only_reference","SHORT","138","0.289855072463768","-932.63","904.85","-1837.48","0.492440734048806","-41.4207","-0.30015","0.50173403729353"
"london_only_reference","LONG","133","0.360902255639098","-547.86","1097.71","-1645.57","0.667069769137746","-25.4011","-0.190985714285714","0.659265628500257"
"newyork_only_reference","SHORT","155","0.348387096774194","-701.25","992.66","-1693.91","0.586016966662928","-27.4268","-0.176947096774193","0.633556413911784"
"newyork_only_reference","LONG","159","0.421383647798742","-724.72","1102.68","-1827.4","0.603414687534201","-33.7952","-0.212548427672956","0.597916004859007"
"tokyo_only_reference","SHORT","188","0.382978723404255","-621.11","1675.11","-2296.22","0.729507625575947","-26.9241","-0.14321329787234","0.731524691579615"
"tokyo_only_reference","LONG","149","0.355704697986577","-709.84","1105.17","-1815.01","0.608905736056551","-31.552","-0.211758389261745","0.611907473782352"
"london_newyork_overlap_reference","SHORT","116","0.275862068965517","-849.24","665.04","-1514.28","0.439179015769871","-36.0195","-0.310512931034483","0.455856871148684"
"london_newyork_overlap_reference","LONG","110","0.454545454545455","-170.55","908.93","-1079.48","0.842007262756142","-6.7308","-0.0611890909090909","0.859802163330854"
"symbol_best_session","LONG","117","0.401709401709402","-258.4","1066.05","-1324.45","0.804900147230926","-11.1068","-0.0949299145299146","0.808212791454636"
"symbol_best_session","SHORT","151","0.317880794701987","-1050.82","1067.79","-2118.61","0.504004984400149","-46.2821","-0.306503973509934","0.507344261108468"
"symbol_best_session_with_dow_alignment","SHORT","157","0.299363057324841","-1153.47","1068.04","-2221.51","0.480772087454029","-51.6471","-0.328962420382165","0.489581542074086"
"symbol_best_session_with_dow_alignment","LONG","131","0.404580152671756","-331.73","1110.73","-1442.46","0.770024818712477","-15.4193","-0.117704580152672","0.767768685905691"
"symbol_best_session_with_wave3_confirmed","SHORT","72","0.333333333333333","-353","559.14","-912.14","0.612998004692262","-14.4573","-0.200795833333333","0.626546980949306"
"symbol_best_session_with_wave3_confirmed","LONG","75","0.52","187.18","768.85","-581.67","1.32179758282188","8.1654","0.108872","1.32863116631182"
