"scenario_mode","trades","sum_r","avg_r","median_r","min_r","max_r","stdev_r","p25_r","p75_r","avg_win_r","avg_loss_r","payoff_r"
"baseline_all_sessions","339","-67.1355000000001","-0.19803982300885","-1","-2.1185","2.6217","1.00302178669225","-1.0069","0.5558","1.02204049586777","-0.875240366972477","1.16772550082794"
"session_volatility_only_filter","268","-57.3889000000002","-0.214137686567165","-1","-1.5735","2.6217","0.993655177339129","-1.0093","0.4774","0.994392631578947","-0.877781502890174","1.13284755751268"
"london_only_reference","271","-66.8218","-0.246574907749078","-1","-1.4429","2.6217","0.975854349858577","-1.009","0.395","1.03245454545455","-0.861627322404371","1.19826114911663"
"newyork_only_reference","314","-61.2220000000001","-0.194974522292994","-0.2525","-7.0828","4.4526","1.0112926431943","-1.0059","0.3905","0.787693548387097","-0.836294736842105","0.941885095871189"
"tokyo_only_reference","337","-58.4761000000001","-0.173519584569733","-0.7203","-1.1124","3.1102","0.987840739171347","-1.0049","0.5201","0.9848744","-0.860594312796209","1.14441193179628"
"london_newyork_overlap_reference","226","-42.7503","-0.189160619469026","-0.3421","-2.8411","1.4839","0.925502996460856","-1.0037","0.4276","0.860890361445783","-0.798630769230769","1.07795791824422"
"symbol_best_session","268","-57.3889000000002","-0.214137686567165","-1","-1.5735","2.6217","0.993655177339129","-1.0093","0.4774","0.994392631578947","-0.877781502890174","1.13284755751268"
"symbol_best_session_with_dow_alignment","288","-67.0664000000002","-0.232869444444445","-1","-2.8411","1.7024","0.99323384944904","-1.0079","0.5279","1.005157","-0.891394148936171","1.12762351110292"
"symbol_best_session_with_wave3_confirmed","147","-6.29189999999996","-0.0428020408163263","-0.1412","-2.8411","1.4589","0.959935768788681","-1","0.7146","0.909004761904762","-0.756657142857143","1.20134299991189"
