"scenario_mode","setup_type","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"baseline_all_sessions","wave3_start_pullback","252","0.317460317460317","-1545.55","1828.09","-3373.64","0.541874651711504","-69.213","-0.274654761904762","0.539619539080756"
"baseline_all_sessions","wave4_continuation","61","0.459016393442623","110.52","722.93","-612.41","1.1804673339756","4.6316","0.075927868852459","1.1683710007525"
"baseline_all_sessions","abc_completion_reentry","26","0.461538461538462","-67.72","216.66","-284.38","0.76186792320135","-2.5541","-0.0982346153846153","0.802854408200442"
"session_volatility_only_filter","wave3_start_pullback","199","0.316582914572864","-1298.44","1379.38","-2677.82","0.515113039711407","-56.7995","-0.285424623115578","0.519923761869947"
"session_volatility_only_filter","wave4_continuation","49","0.448979591836735","-3.51999999999993","583.28","-586.8","0.994001363326517","-0.0529000000000005","-0.0010795918367347","0.997913239685526"
"session_volatility_only_filter","abc_completion_reentry","20","0.5","-7.26","171.18","-178.44","0.959314055144586","-0.5365","-0.026825","0.934512474976808"
"london_only_reference","wave3_start_pullback","208","0.322115384615385","-1155.95","1541.74","-2697.69","0.571503768038581","-52.3759","-0.251807211538462","0.571769748127266"
"london_only_reference","wave4_continuation","46","0.391304347826087","-148.4","393.14","-541.54","0.725966687594638","-6.4234","-0.139639130434783","0.734553794656694"
"london_only_reference","abc_completion_reentry","17","0.176470588235294","-176.14","67.68","-243.82","0.277581822656058","-8.0225","-0.471911764705882","0.281877993107461"
"newyork_only_reference","wave3_start_pullback","222","0.378378378378378","-980.46","1433.05","-2413.51","0.593761782631934","-40.9733","-0.184564414414415","0.622114439285866"
"newyork_only_reference","abc_completion_reentry","30","0.5","31.64","212.82","-181.18","1.17463296169555","1.3539","0.04513","1.15919807160915"
"newyork_only_reference","wave4_continuation","62","0.354838709677419","-477.15","449.47","-926.62","0.485063996028577","-21.6026","-0.348429032258064","0.485207453108282"
"tokyo_only_reference","wave4_continuation","61","0.39344262295082","-188.68","529.39","-718.07","0.737240101939922","-9.4963","-0.155677049180328","0.708723897627169"
"tokyo_only_reference","wave3_start_pullback","251","0.358565737051793","-1039.28","2053.91","-3093.19","0.664010293580414","-44.7456","-0.178269322709163","0.670057117070085"
"tokyo_only_reference","abc_completion_reentry","25","0.44","-102.99","196.98","-299.97","0.656665666566657","-4.2342","-0.169368","0.683230092467905"
"london_newyork_overlap_reference","wave3_start_pullback","171","0.350877192982456","-828.659999999999","1122.95","-1951.61","0.575396723730664","-34.4435","-0.201423976608187","0.599938905124071"
"london_newyork_overlap_reference","wave4_continuation","33","0.363636363636364","-174.74","264","-438.74","0.601723116196381","-7.4507","-0.225778787878788","0.60687508244295"
"london_newyork_overlap_reference","abc_completion_reentry","22","0.454545454545455","-16.39","187.02","-203.41","0.919423823804139","-0.8561","-0.0389136363636364","0.906499492141851"
"symbol_best_session","wave3_start_pullback","199","0.316582914572864","-1298.44","1379.38","-2677.82","0.515113039711407","-56.7995","-0.285424623115578","0.519923761869947"
"symbol_best_session","wave4_continuation","49","0.448979591836735","-3.51999999999993","583.28","-586.8","0.994001363326517","-0.0529000000000005","-0.0010795918367347","0.997913239685526"
"symbol_best_session","abc_completion_reentry","20","0.5","-7.26","171.18","-178.44","0.959314055144586","-0.5365","-0.026825","0.934512474976808"
"symbol_best_session_with_dow_alignment","wave3_start_pullback","211","0.322274881516588","-1330.26","1449.55","-2779.81","0.521456502422827","-60.6492","-0.287436966824644","0.524078866625757"
"symbol_best_session_with_dow_alignment","wave4_continuation","67","0.432835820895522","-90.53","683.56","-774.09","0.883049774574016","-3.6566","-0.0545761194029851","0.896242824592318"
"symbol_best_session_with_dow_alignment","abc_completion_reentry","10","0.3","-64.41","45.66","-110.07","0.414826928318343","-2.7606","-0.27606","0.437163594845865"
"symbol_best_session_with_wave3_confirmed","wave3_start_pullback","31","0.516129032258065","18.74","137.2","-118.46","1.15819685969948","1.6131","0.0520354838709677","1.29892150322437"
"symbol_best_session_with_wave3_confirmed","wave4_continuation","104","0.413461538461538","-109.48","1126.41","-1235.89","0.911416064536488","-4.7469","-0.0456432692307692","0.909164147116231"
"symbol_best_session_with_wave3_confirmed","abc_completion_reentry","12","0.333333333333333","-75.08","64.38","-139.46","0.461637745590133","-3.1581","-0.263175","0.465163934426229"
