"scenario_mode","m15_confirmation_type","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"baseline_all_sessions","candle_reversal","50","0.44","-111.86","484","-595.86","0.812271338905112","-4.5039","-0.090078","0.82933372742051"
"baseline_all_sessions","ma_reclaim","252","0.361111111111111","-901.78","2118.95","-3020.73","0.701469512336422","-40.9087","-0.162336111111111","0.697915320558878"
"baseline_all_sessions","micro_bos","37","0.189189189189189","-489.11","164.73","-653.84","0.251942371222317","-21.7229","-0.587105405405405","0.250701941981994"
"session_volatility_only_filter","ma_reclaim","199","0.35678391959799","-912.8","1643.06","-2555.86","0.642859937555266","-39.9766","-0.200887437185929","0.643652136397104"
"session_volatility_only_filter","candle_reversal","35","0.285714285714286","-262.05","214.24","-476.29","0.44980998971215","-11.5021","-0.328631428571429","0.467847674918919"
"session_volatility_only_filter","micro_bos","34","0.411764705882353","-134.37","276.54","-410.91","0.672994086296269","-5.9102","-0.173829411764706","0.672704718762633"
"london_only_reference","ma_reclaim","215","0.330232558139535","-1188.98","1568.72","-2757.7","0.568850853972513","-53.1601","-0.247256279069767","0.572337289769098"
"london_only_reference","micro_bos","21","0.428571428571429","6.43999999999999","226.5","-220.06","1.02926474597837","0.4786","0.0227904761904762","1.04848742730938"
"london_only_reference","candle_reversal","35","0.228571428571429","-297.95","207.34","-505.29","0.410338617427616","-14.1403","-0.404008571428571","0.398372150412281"
"newyork_only_reference","ma_reclaim","251","0.382470119521912","-1044.7","1726.37","-2771.07","0.622997614639832","-44.8478","-0.178676494023904","0.641353025097723"
"newyork_only_reference","candle_reversal","39","0.41025641025641","-205.87","250.79","-456.66","0.549183199754741","-8.9859","-0.230407692307692","0.563981755543695"
"newyork_only_reference","micro_bos","24","0.375","-175.4","118.18","-293.58","0.40254785748348","-7.3883","-0.307845833333333","0.441962869529751"
"tokyo_only_reference","ma_reclaim","231","0.354978354978355","-1018.02","1810.6","-2828.62","0.640100119492898","-45.4463","-0.196737229437229","0.637106903674981"
"tokyo_only_reference","candle_reversal","69","0.405797101449275","-131.19","660.85","-792.04","0.834364426039089","-5.1795","-0.0750652173913044","0.851324431074471"
"tokyo_only_reference","micro_bos","37","0.405405405405405","-181.74","308.83","-490.57","0.629532992233524","-7.8503","-0.21217027027027","0.635115852099747"
"london_newyork_overlap_reference","candle_reversal","27","0.37037037037037","-64.9","256.61","-321.51","0.798140026748779","-2.848","-0.105481481481481","0.798776265773595"
"london_newyork_overlap_reference","ma_reclaim","167","0.353293413173653","-852.44","1027.73","-1880.17","0.546615465622789","-35.6529","-0.213490419161677","0.569886804380162"
"london_newyork_overlap_reference","micro_bos","32","0.40625","-102.45","289.63","-392.08","0.738701285451949","-4.2494","-0.13279375","0.752350092371889"
"symbol_best_session","ma_reclaim","199","0.35678391959799","-912.8","1643.06","-2555.86","0.642859937555266","-39.9766","-0.200887437185929","0.643652136397104"
"symbol_best_session","candle_reversal","35","0.285714285714286","-262.05","214.24","-476.29","0.44980998971215","-11.5021","-0.328631428571429","0.467847674918919"
"symbol_best_session","micro_bos","34","0.411764705882353","-134.37","276.54","-410.91","0.672994086296269","-5.9102","-0.173829411764706","0.672704718762633"
"symbol_best_session_with_dow_alignment","ma_reclaim","213","0.347417840375587","-1106.47","1631.41","-2737.88","0.595866144608237","-48.9168","-0.229656338028169","0.606481097870499"
"symbol_best_session_with_dow_alignment","candle_reversal","45","0.333333333333333","-265.1","305.49","-570.59","0.5353931895056","-12.3366","-0.274146666666667","0.538606536837499"
"symbol_best_session_with_dow_alignment","micro_bos","30","0.366666666666667","-113.63","241.87","-355.5","0.680365682137834","-5.813","-0.193766666666667","0.648512845939425"
"symbol_best_session_with_wave3_confirmed","ma_reclaim","106","0.443396226415094","-39.5","995.59","-1035.09","0.961839067134259","-1.3393","-0.0126349056603774","0.969820699849701"
"symbol_best_session_with_wave3_confirmed","micro_bos","13","0.384615384615385","-52.89","78.48","-131.37","0.597396665905458","-2.2227","-0.170976923076923","0.594249726177437"
"symbol_best_session_with_wave3_confirmed","candle_reversal","28","0.392857142857143","-73.43","253.92","-327.35","0.775683519169085","-2.7299","-0.0974964285714285","0.800782304733965"
