"scenario_mode","fib_zone","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"baseline_all_sessions","wave2_382_786","101","0.267326732673267","-894.43","484.69","-1379.12","0.35144874992749","-39.7094","-0.393162376237624","0.349281183274094"
"baseline_all_sessions","wave4_382","34","0.5","169.48","450.78","-281.3","1.6024884464984","7.3936","0.217458823529412","1.59065163728161"
"baseline_all_sessions","wave2_other","74","0.324324324324324","-488.82","598.99","-1087.81","0.550638438697934","-22.2324","-0.300437837837838","0.547750591949487"
"baseline_all_sessions","wave2_50_618","77","0.376623376623377","-162.3","744.41","-906.71","0.821001202148427","-7.2712","-0.0944311688311688","0.818922580388094"
"baseline_all_sessions","wave4_shallow","27","0.407407407407407","-58.96","272.15","-331.11","0.821932288363384","-2.762","-0.102296296296296","0.815751204087895"
"baseline_all_sessions","abc_other","2","0","-48.03","0","-48.03","0","-2.0076","-1.0038","0"
"baseline_all_sessions","abc_50_786","18","0.5","-10.14","176.37","-186.51","0.945632941933408","-0.1509","-0.00838333333333335","0.98256257366706"
"baseline_all_sessions","abc_382_886","6","0.5","-9.55","40.29","-49.84","0.80838683788122","-0.3956","-0.0659333333333334","0.827550130775937"
"session_volatility_only_filter","wave2_other","57","0.333333333333333","-381.86","470.82","-852.68","0.552164938781254","-16.8559","-0.295717543859649","0.546873445862938"
"session_volatility_only_filter","wave2_50_618","48","0.333333333333333","-210.93","433.07","-644","0.672468944099379","-8.8738","-0.184870833333333","0.680917929983028"
"session_volatility_only_filter","wave4_shallow","22","0.5","15.98","284.36","-268.38","1.05954243982413","1.1245","0.0511136363636364","1.09887191931981"
"session_volatility_only_filter","wave4_382","27","0.407407407407407","-19.5","298.92","-318.42","0.938760128132655","-1.1774","-0.0436074074074074","0.915761608356586"
"session_volatility_only_filter","wave2_382_786","94","0.297872340425532","-705.65","475.49","-1181.14","0.402568704810607","-31.0698","-0.330529787234043","0.417120666366502"
"session_volatility_only_filter","abc_other","1","0","-23.64","0","-23.64","0","-1","-1","0"
"session_volatility_only_filter","abc_382_886","6","0.5","9.64","59.3","-49.66","1.19412001610954","0.5412","0.0902","1.23752468729427"
"session_volatility_only_filter","abc_50_786","13","0.538461538461538","6.74","111.88","-105.14","1.06410500285334","-0.0777","-0.00597692307692308","0.98418771240766"
"london_only_reference","wave2_50_618","55","0.4","-87.88","563.58","-651.46","0.865102999416695","-4.5877","-0.0834127272727272","0.8472640227987"
"london_only_reference","wave2_other","60","0.266666666666667","-385.42","448.36","-833.78","0.537743769339634","-17.9294","-0.298823333333333","0.525022584037787"
"london_only_reference","wave4_shallow","21","0.476190476190476","-42.14","196.7","-238.84","0.823563892145369","-1.3559","-0.0645666666666667","0.868773288168401"
"london_only_reference","wave4_382","25","0.32","-106.26","196.44","-302.7","0.648959365708622","-5.0675","-0.2027","0.634537718159527"
"london_only_reference","wave2_382_786","93","0.311827956989247","-682.65","529.8","-1212.45","0.436966472844241","-29.8588","-0.321062365591398","0.452364227272477"
"london_only_reference","abc_382_886","5","0.2","-47.06","29.72","-76.78","0.38707996874186","-1.8811","-0.37622","0.42797628097917"
"london_only_reference","abc_50_786","11","0.181818181818182","-109.76","37.96","-147.72","0.256972650961278","-5.1378","-0.467072727272727","0.25316161293136"
"london_only_reference","abc_other","1","0","-19.32","0","-19.32","0","-1.0036","-1.0036","0"
"newyork_only_reference","wave2_50_618","60","0.45","-148.66","481.2","-629.86","0.763979296986632","-5.174","-0.0862333333333334","0.813761626400207"
"newyork_only_reference","wave2_other","79","0.367088607594937","-415.11","498.63","-913.74","0.545702278547508","-17.1054","-0.216524050632911","0.576933065228199"
"newyork_only_reference","abc_other","8","0.625","-7.16","44.08","-51.24","0.860265417642467","0.0137999999999996","0.00172499999999995","1.00625"
"newyork_only_reference","wave2_382_786","83","0.337349397590361","-416.69","453.22","-869.91","0.52099642491752","-18.6939","-0.225227710843373","0.535142971530028"
"newyork_only_reference","wave4_shallow","30","0.266666666666667","-329","226.53","-555.53","0.407772757546847","-15.2721","-0.50907","0.403111833722866"
