"scenario_mode","primary_gate_scope","signals","orders_sent","orders_failed","blocked","closed_trades","mt5_total_trades","net_profit","gross_profit","gross_loss","profit_factor","expected_payoff","balance_max_dd","equity_max_dd","recovery_factor","avg_r","r_profit_factor","win_rate_from_trades","daily_stopped","drawdown_stopped","pivot_future_reference_policy","pivot_confirmation_delay_bars","broker_utc_offset_used","passed_trade_count","passed_pf_floor","passed_avg_r","passed_net","passed_dd_stop","passed_direction_balance","passed_symbol_concentration","passed_session_concentration","passed_2025_shallow_gate","promoted_to_3y_oos","failed_conditions"
"baseline_all_sessions","True","30653","339","1","30313","339","339","-1502.75","2767.68","-4270.43","0.65","-4.43","1502.75","1505.51","-1","-0.19803982300885","0.648141218349455","0.353982300884956","false","true","confirmed_pivots_only_no_repaint_zigzag","3","2","True","False","False","False","False","False","False","True","False","False","pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped;direction_balance_failed;symbol_concentration_or_negative_net"
"session_volatility_only_filter","True","30653","268","0","30385","268","268","-1309.22","2133.84","-3443.06","0.62","-4.89","1515.26","1546.19","-0.85","-0.214137686567164","0.622083918865347","0.354477611940299","false","true","confirmed_pivots_only_no_repaint_zigzag","3","2","True","False","False","False","False","False","False","True","False","False","pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped;direction_balance_failed;symbol_concentration_or_negative_net"
"london_only_reference","False","30653","271","0","30382","271","271","-1480.49","2002.56","-3483.05","0.57","-5.46","1516.77","1516.6","-0.98","-0.246574907749077","0.576213011597067","0.324723247232472","false","true","confirmed_pivots_only_no_repaint_zigzag","3","2","True","False","False","False","False","False","False","False","False","False","reference_only_not_primary_gate;pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped;direction_balance_failed;symbol_concentration_or_negative_net;session_concentration"
"newyork_only_reference","False","30653","314","0","30339","314","314","-1425.97","2095.34","-3521.31","0.6","-4.54","1481.73","1503.35","-0.95","-0.194974522292994","0.614703957305407","0.385350318471338","false","true","confirmed_pivots_only_no_repaint_zigzag","3","2","True","False","False","False","False","False","False","False","False","False","reference_only_not_primary_gate;pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped;direction_balance_failed;symbol_concentration_or_negative_net;session_concentration"
"tokyo_only_reference","False","30653","337","0","30316","337","337","-1330.95","2780.28","-4111.23","0.68","-3.95","1516.38","1529.99","-0.87","-0.173519584569733","0.677969153907748","0.370919881305638","false","true","confirmed_pivots_only_no_repaint_zigzag","3","2","True","False","False","False","False","False","False","False","False","False","reference_only_not_primary_gate;pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped;direction_balance_failed;symbol_concentration_or_negative_net;session_concentration"
"london_newyork_overlap_reference","False","30653","226","0","30427","226","226","-1019.79","1573.97","-2593.76","0.61","-4.51","1153.49","1225.77","-0.83","-0.189160619469027","0.625667882617277","0.36283185840708","false","false","confirmed_pivots_only_no_repaint_zigzag","3","2","True","False","False","False","True","False","False","False","False","False","reference_only_not_primary_gate;pf_lt_1.05;avg_r_le_0;net_le_0;direction_balance_failed;symbol_concentration_or_negative_net;session_concentration"
"symbol_best_session","True","30653","268","0","30385","268","268","-1309.22","2133.84","-3443.06","0.62","-4.89","1515.26","1546.19","-0.85","-0.214137686567164","0.622083918865347","0.354477611940299","false","true","confirmed_pivots_only_no_repaint_zigzag","3","2","True","False","False","False","False","False","False","True","False","False","pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped;direction_balance_failed;symbol_concentration_or_negative_net"
"symbol_best_session_with_dow_alignment","True","30653","288","1","30364","288","288","-1485.2","2178.77","-3663.97","0.59","-5.16","1511.27","1509.11","-0.98","-0.232869444444444","0.599799739948359","0.347222222222222","false","true","confirmed_pivots_only_no_repaint_zigzag","3","2","True","False","False","False","False","False","False","True","False","False","pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped;direction_balance_failed;symbol_concentration_or_negative_net"
"symbol_best_session_with_wave3_confirmed","True","30653","147","0","30506","147","147","-165.82","1327.99","-1493.81","0.89","-1.13","233.33","258.02","-0.64","-0.0428020408163265","0.90100724993392","0.428571428571429","false","false","confirmed_pivots_only_no_repaint_zigzag","3","2","False","False","False","False","True","False","False","True","False","False","trades_lt_200;pf_lt_1.05;avg_r_le_0;net_le_0;direction_balance_failed;symbol_concentration_or_negative_net"
