"scenario_mode","symbol","session_label","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"baseline_all_sessions","USDJPY","other","6","0.166666666666667","-93.93","0.23","-94.16","0.00244265080713679","-4.3701","-0.72835","0.00232860762961441"
"baseline_all_sessions","USDJPY","new_york","10","0.2","-98.38","50.87","-149.25","0.340837520938023","-4.4476","-0.44476","0.337681677388611"
"baseline_all_sessions","USDJPY","tokyo","25","0.32","-135.74","232.51","-368.25","0.631391717583164","-5.986","-0.23944","0.636555718813372"
"baseline_all_sessions","USDJPY","london_newyork_overlap","10","0.4","-25.7","109.13","-134.83","0.809389601720685","-1.3139","-0.13139","0.783986847513358"
"baseline_all_sessions","USDJPY","london","10","0.2","-101.66","42.37","-144.03","0.294174824689301","-4.7416","-0.47416","0.281259947552713"
"baseline_all_sessions","GBPUSD","tokyo","24","0.458333333333333","-32.33","249.96","-282.29","0.885472386552836","-1.1728","-0.0488666666666667","0.9017121594328"
"baseline_all_sessions","GBPUSD","london","22","0.318181818181818","-50.49","260.62","-311.11","0.837710134679052","-2.5652","-0.1166","0.813132858370849"
"baseline_all_sessions","GBPUSD","london_newyork_overlap","6","0.333333333333333","-27.51","66.62","-94.13","0.707744608520132","-1.2591","-0.20985","0.6926025390625"
"baseline_all_sessions","GBPUSD","new_york","9","0.111111111111111","-101.7","7.6","-109.3","0.0695333943275389","-4.5999","-0.5111","0.0956649955765261"
"baseline_all_sessions","GBPUSD","other","3","0.666666666666667","42.48","66","-23.52","2.80612244897959","1.8063","0.6021","2.8063"
"baseline_all_sessions","EURJPY","other","8","0.5","32.78","105.97","-73.19","1.44787539281323","1.2806","0.160075","1.3917166279212"
"baseline_all_sessions","EURJPY","london","13","0.461538461538462","-22.28","94.99","-117.27","0.810011085529121","-0.9795","-0.0753461538461539","0.814337433895028"
"baseline_all_sessions","EURJPY","tokyo","21","0.428571428571429","-7.47000000000001","213.31","-220.78","0.966165413533834","-0.1021","-0.00486190476190475","0.989229730585034"
"baseline_all_sessions","EURJPY","new_york","6","0.333333333333333","-47.02","35.44","-82.46","0.429784137763764","-1.9591","-0.326516666666667","0.463127894549341"
"baseline_all_sessions","EURJPY","london_newyork_overlap","4","0.25","-60.68","4.89","-65.57","0.0745767881653195","-2.7717","-0.692925","0.0828866388723446"
"baseline_all_sessions","EURUSD","other","3","0.333333333333333","21.36","34.02","-12.66","2.68720379146919","0.7945","0.264833333333333","2.29355258873331"
"baseline_all_sessions","EURUSD","london","12","0.416666666666667","-38.16","91.52","-129.68","0.705737199259716","-1.3892","-0.115766666666667","0.757251694974488"
"baseline_all_sessions","EURUSD","tokyo","17","0.411764705882353","-56.26","117.73","-173.99","0.676648083223174","-2.4773","-0.145723529411765","0.676626461988304"
"baseline_all_sessions","EURUSD","new_york","6","0.166666666666667","-60.7","29.52","-90.22","0.32720017734427","-2.423","-0.403833333333333","0.36648626036029"
"baseline_all_sessions","EURUSD","london_newyork_overlap","5","0.4","-33.75","47.72","-81.47","0.58573708113416","-1.4745","-0.2949","0.594527705211055"
"baseline_all_sessions","AUDJPY","london_newyork_overlap","13","0.153846153846154","-159.86","65.14","-225","0.289511111111111","-7.633","-0.587153846153846","0.268449300364194"
"baseline_all_sessions","AUDJPY","new_york","13","0.307692307692308","-114.97","93.77","-208.74","0.449219124269426","-4.6186","-0.355276923076923","0.495527180977139"
