episode_id,event_id,market_cluster_id,symbol,shock_direction,candidate_msc,confirmed_msc,confirmed_quote_msc,processed_msc,t0_msc,t0_sequence,quote_age_ms,result,c0_r,c2_r,risk_distance,realized_rr,primary_eligible,server_day,fold,selected_policy,policy_action,policy_r,counterfactual_taken_c0_r,counterfactual_taken_c2_r,avoided_loss_r,rejected_profit_r,spread_atr5,tick_activity_ratio,pre_return_5m_dir_atr,m5_ema20_slope_dir_atr,m15_alignment_dir,pre_extension_15m_dir_atr,day_range_position_dir,detection_efficiency,severity,confirmation_retention,spread_efficiency_interaction,flow_efficiency_interaction
ts15h_detection_time_continuation_r1_202503_USDJPY_mh_4,ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614250_15,13,USDJPY,SHORT,1741013614000,1741013614250,1741013614060,1741013614311,1741013614311,89409,251,TIMEOUT,-0.5,-0.5875,0.08,1.2,True,2025-03-03,-1,NO_TRADE,NO_TRADE,0.0,-0.5,-0.5875,0.5875,0.0,0.226722434165,1.0,-0.260730799291,-0.489735827062,-1.0,-0.823718325689,-0.939505717447,1.0,3.252416373005,1.0,0.226722434165,-0.260730799291
ts15h_detection_time_continuation_r1_202503_USDJPY_mh_5,ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014606000_22,18,USDJPY,SHORT,1741014605750,1741014606000,1741014605919,1741014606129,1741014606129,91284,210,TP_FIRST,1.20833333,1.11805556,0.072,1.20833333,True,2025-03-03,-1,NO_TRADE,NO_TRADE,0.0,1.20833333,1.11805556,0.0,1.11805556,0.23526239043,1.0,-0.511695699184,-0.530373510277,-1.0,-0.395953261663,-0.974935495761,1.0,3.009103661727,-0.0,0.23526239043,-0.511695699184
ts15h_detection_time_continuation_r1_202503_USDJPY_mh_6,ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015603500_39,32,USDJPY,SHORT,1741015603250,1741015603500,1741015603106,1741015605674,1741015605674,93467,2568,TP_FIRST,1.20588235,1.11580882,0.068,1.20588235,True,2025-03-03,-1,NO_TRADE,NO_TRADE,0.0,1.20588235,1.11580882,0.0,1.11580882,0.212097753672,1.0,-0.452103106511,-0.222610384543,-1.0,0.370129473292,-0.788426096572,1.0,3.05801246252,-1.0,0.212097753672,-0.452103106511
ts15h_detection_time_continuation_r1_202503_USDJPY_mh_7,ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016712500_47,39,USDJPY,LONG,1741016712250,1741016712500,1741016712315,1741016712702,1741016712702,95871,387,SL_FIRST,-1.10526316,-1.19078947,0.076,1.21052632,True,2025-03-03,-1,NO_TRADE,NO_TRADE,0.0,-1.10526316,-1.19078947,1.19078947,0.0,0.215158715424,1.0,-0.141551786464,-0.303672909042,1.0,-0.33708284694,0.652782897162,1.0,4.093399477219,-0.5,0.215158715424,-0.141551786464
ts15h_detection_time_continuation_r1_202503_USDJPY_mh_8,ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022591750_55,45,USDJPY,LONG,1741022591500,1741022591750,1741022591682,1741022592919,1741022592919,110981,1237,SL_FIRST,-1.015625,-1.11523437,0.064,1.203125,True,2025-03-03,-1,NO_TRADE,NO_TRADE,0.0,-1.015625,-1.11523437,1.11523437,0.0,0.130439814769,1.0,0.365231481353,-1.359346833033,1.0,0.097414599254,-0.517876889053,1.0,3.316319625755,2.374999999989,0.130439814769,0.365231481353
ts15h_detection_time_continuation_r1_202503_USDJPY_mh_9,ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741024235000_79,64,USDJPY,SHORT,1741024234750,1741024235000,1741024234502,1741024235142,1741024235142,115875,640,SL_FIRST,-1.02631579,-1.11677632,0.076,1.21052632,True,2025-03-03,-1,NO_TRADE,NO_TRADE,0.0,-1.02631579,-1.11677632,1.11677632,0.0,0.147079241601,1.0,0.371783638491,0.757997732637,-1.0,0.057073537202,0.624769627718,1.0,4.368380672791,1.0,0.147079241601,0.371783638491
ts15h_detection_time_continuation_r1_202503_USDJPY_mh_10,ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741025468250_94,72,USDJPY,SHORT,1741025468000,1741025468250,1741025468142,1741025468589,1741025468589,119659,447,SL_FIRST,-1.02631579,-1.11513158,0.076,1.21052632,True,2025-03-03,-1,NO_TRADE,NO_TRADE,0.0,-1.02631579,-1.11513158,1.11513158,0.0,0.153858457177,1.0,-0.246983312837,0.36732216365,-1.0,-0.038228405129,0.514928123848,1.0,4.46712039916,-0.666666666662,0.153858457177,-0.246983312837
ts15h_detection_time_continuation_r1_202503_USDJPY_mh_11,ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741026750500_101,78,USDJPY,LONG,1741026750250,1741026750500,1741026750402,1741026750957,1741026750957,123206,555,SL_FIRST,-1.05263158,-1.13980263,0.076,1.21052632,True,2025-03-03,-1,NO_TRADE,NO_TRADE,0.0,-1.05263158,-1.13980263,1.13980263,0.0,0.161501643577,1.0,-0.327253330406,-0.397447609455,-1.0,-0.478025059163,-0.632878732031,1.0,5.299615620926,0.250000000002,0.161501643577,-0.327253330406
ts15h_detection_time_continuation_r1_202503_USDJPY_mh_12,ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741028146500_117,86,USDJPY,LONG,1741028146250,1741028146500,1741028146376,1741028146686,1741028146686,126864,310,SL_FIRST,-1.109375,-1.203125,0.064,1.203125,True,2025-03-03,-1,NO_TRADE,NO_TRADE,0.0,-1.109375,-1.203125,1.203125,0.0,0.141980032969,1.0,0.088737520606,-0.341063745051,-1.0,0.134683022342,-0.601179506082,1.0,4.144416017762,-1.5,0.141980032969,0.088737520606
ts15h_detection_time_continuation_r1_202503_USDJPY_mh_13,ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741030028500_124,90,USDJPY,SHORT,1741030028250,1741030028500,1741030028165,1741030028690,1741030028690,131163,525,SL_FIRST,-1.0,-1.09046053,0.076,1.21052632,True,2025-03-03,-1,NO_TRADE,NO_TRADE,0.0,-1.0,-1.09046053,1.09046053,0.0,0.188340046571,1.0,0.227990582691,0.108747559519,1.0,0.075927187577,0.6771102101,1.0,3.574290264208,1.0,0.188340046571,0.227990582691
