"variant","trades","expectancy","pf","dd","losses","stops","net"
"v2_5_shallow_range098_pressure6040","75","0.277067350438597","1.98243475051887","8.1553773311431","3","0","23.64"
"v2_5_shallow_pull000_085","75","0.275283724707603","1.97611031027979","8.1553773311431","3","0","23.46"
"v2_5_shallow_ema120","76","0.261166582966462","1.90429981171404","8.20851974324061","3","0","22.79"
