"variant","trades","expectancy","pf","dd","losses","stops","net"
"v2_5_shallow_score610","72","0.249478404463891","1.84444298894084","8.1553773311431","3","0","20.91"
"v2_5_shallow_pressure6040","73","0.251216345048461","1.86701748064639","8.1553773311431","3","0","21.37"
"v2_5_shallow_range098","74","0.275725719131854","1.959210397723","8.1553773311431","3","0","23.18"
