decision_seconds,horizon_seconds,fold,feature_set,action,model_family,feature_id,coefficient
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F01,-0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F02,-0.0292925247563612
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F03,-0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F04,-0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F05,0.15107612777395887
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F06,0.30044667948330167
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F07,-0.07309374538135216
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F08,0.2809911190573434
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F09,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F10,-0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F11,-0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F12,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F13,-0.3898005423002492
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F14,-0.3975627203268736
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F15,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F16,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F17,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F18,0.20584551650137722
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F19,-0.035215399554716593
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F20,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F21,0.37457192380629567
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F22,-0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F23,-0.13626106777756214
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F24,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F25,-0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F26,0.2592534227223805
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F27,-0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F28,0.49041861193954406
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F29,0.24669604207977214
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F36,-0.14619104331795946
