decision_seconds,horizon_seconds,feature_set,action,model_family,feature_id,folds,mean_importance,positive_folds,importance_std_across_folds
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F01,5,-0.0002024504556828196,0,0.0004526929809825932
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F02,5,0.0006806765127214712,1,0.0015220389531327102
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F03,5,0.0,0,0.0
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F04,5,-0.0018840479913047048,0,0.004212859381429252
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F05,5,-0.016840507063192865,2,0.0893761086666973
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F06,5,-0.04318597487364399,0,0.09066023462715155
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F07,5,-0.005570985065072816,2,0.01776830355485853
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F08,5,-0.0515774968240993,2,0.1026851876311984
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F09,5,-0.004587548982994072,0,0.010258071376084772
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F10,5,0.019404838526511238,3,0.040358968261966624
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F11,5,-0.07026474267766479,0,0.1571167410487891
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F12,5,0.0,0,0.0
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F13,5,0.10465124055976334,4,0.16226796860811588
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F14,5,-0.07941931995918271,0,0.1711576575304902
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F15,5,0.0,0,0.0
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F16,5,0.0011602662400604477,2,0.007171182630985992
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F17,5,0.0,0,0.0
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F18,5,0.014679575154390742,3,0.026130314728781634
60,300,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F19,5,0.13841442438875018,4,0.1850632651592218
