decision_seconds,horizon_seconds,model_family,action,auc_CONTEXT_ONLY,auc_CONTEXT_PLUS_SHOCK,chosen_125x_mean_CONTEXT_ONLY,chosen_125x_mean_CONTEXT_PLUS_SHOCK,chosen_mean_CONTEXT_ONLY,chosen_mean_CONTEXT_PLUS_SHOCK,coverage_CONTEXT_ONLY,coverage_CONTEXT_PLUS_SHOCK,chosen_mean_incremental,chosen_125x_mean_incremental,coverage_incremental,auc_incremental
60,300,ELASTIC_NET_LOGISTIC,CONTINUATION,0.6171503957783642,0.6218469656992084,,,,,,,,,,0.004696569920844218
60,300,ELASTIC_NET_LOGISTIC,REVERSAL,0.5712106537530266,0.566723163841808,,,,,,,,,,-0.004487489911218612
60,300,ELASTIC_NET_REGRESSION,CHOSEN,,,-0.12714517278774376,-0.2357357738829189,-0.0950871861736354,-0.19800669173641722,0.13043478260869565,0.15311909262759923,-0.10291950556278182,-0.10859060109517513,0.022684310018903586,
60,300,SHALLOW_GRADIENT_BOOSTING,CHOSEN,,,-0.09603371736358103,-0.13972929018794916,-0.08615607573590986,-0.127202768087625,0.03969754253308128,0.05103969754253308,-0.04104669235171515,-0.04369557282436813,0.0113421550094518,
60,600,ELASTIC_NET_LOGISTIC,CONTINUATION,0.5512478344336751,0.5537450640695478,,,,,,,,,,0.002497229635872733
60,600,ELASTIC_NET_LOGISTIC,REVERSAL,0.5578963414634146,0.5304954268292683,,,,,,,,,,-0.02740091463414629
60,600,ELASTIC_NET_REGRESSION,CHOSEN,,,-0.3960194632035259,-0.5450200605484874,-0.3017827174138634,-0.4520848415934517,0.3787878787878788,0.3731060606060606,-0.15030212417958827,-0.14900059734496152,-0.005681818181818177,
60,600,SHALLOW_GRADIENT_BOOSTING,CHOSEN,,,0.051843124496029944,0.011414852959838498,0.06283190647455732,0.02515676439088123,0.045454545454545456,0.056818181818181816,-0.03767514208367609,-0.04042827153619145,0.01136363636363636,
60,900,ELASTIC_NET_LOGISTIC,CONTINUATION,0.5286881337614037,0.527146444578658,,,,,,,,,,-0.0015416891827456647
60,900,ELASTIC_NET_LOGISTIC,REVERSAL,0.5441395717684377,0.5259793814432989,,,,,,,,,,-0.018160190325138825
60,900,ELASTIC_NET_REGRESSION,CHOSEN,,,-0.4925858675846155,-0.6420470658136758,-0.334183690884396,-0.47864004647705344,0.6339113680154143,0.6551059730250481,-0.14445635559265746,-0.1494611982290603,0.021194605009633882,
60,900,SHALLOW_GRADIENT_BOOSTING,CHOSEN,,,-0.25458012943906616,-0.22660628503313424,-0.2255259263196541,-0.19429426260767338,0.11753371868978806,0.13102119460500963,0.031231663711980717,0.027973844405931925,0.013487475915221578,
120,300,ELASTIC_NET_LOGISTIC,CONTINUATION,0.6084591323269415,0.6046123059586952,,,,,,,,,,-0.003846826368246292
120,300,ELASTIC_NET_LOGISTIC,REVERSAL,0.61,0.603703007518797,,,,,,,,,,-0.006296992481202968
120,300,ELASTIC_NET_REGRESSION,CHOSEN,,,-0.012756506789884594,-0.0759049497791442,-0.002918680229241591,-0.06324263147413009,0.04038461538461539,0.051923076923076926,-0.0603239512448885,-0.06314844298925962,0.011538461538461539,
120,300,SHALLOW_GRADIENT_BOOSTING,CHOSEN,,,-0.01164993401214649,-0.02209985650249954,-0.0038783568310844594,-0.013870553496053832,0.03076923076923077,0.032692307692307694,-0.009992196664969373,-0.01044992249035305,0.0019230769230769232,
120,600,ELASTIC_NET_LOGISTIC,CONTINUATION,0.5705996131528046,0.5696491696124858,,,,,,,,,,-0.0009504435403188127
120,600,ELASTIC_NET_LOGISTIC,REVERSAL,0.5283131185356054,0.5330195699084754,,,,,,,,,,0.0047064513728700685
120,600,ELASTIC_NET_REGRESSION,CHOSEN,,,-0.22341657011520902,-0.1637940910315147,-0.17195646942674653,-0.10473226288525395,0.20512820512820512,0.23668639053254437,0.06722420654149258,0.05962247908369431,0.031558185404339245,
120,600,SHALLOW_GRADIENT_BOOSTING,CHOSEN,,,0.010225736238204138,0.04813621110011139,0.015821837011611266,0.05699976201596357,0.021696252465483234,0.03550295857988166,0.04117792500435231,0.03791047486190725,0.013806706114398423,
120,900,ELASTIC_NET_LOGISTIC,CONTINUATION,0.5228706624605679,0.5119423163587201,,,,,,,,,,-0.010928346101847786
120,900,ELASTIC_NET_LOGISTIC,REVERSAL,0.5256045989163473,0.5277190432139554,,,,,,,,,,0.002114444297608098
120,900,ELASTIC_NET_REGRESSION,CHOSEN,,,-0.5093418836676963,-0.6109876561878453,-0.42697806723783743,-0.5253899301542153,0.32943469785575047,0.34307992202729043,-0.09841186291637788,-0.10164577252014906,0.01364522417153996,
120,900,SHALLOW_GRADIENT_BOOSTING,CHOSEN,,,-0.1990671314582537,-0.21302194247595382,-0.17427610288081996,-0.18342113415830497,0.09941520467836257,0.1189083820662768,-0.009145031277485005,-0.01395481101770013,0.01949317738791423,
