feature_id,name,formula,timeframe,lookback,source_price,normalization,available_timestamp,missing_policy,expected_range,family,engineering_assumption,spec_hash
F01,ema20_distance_m1,(mid-EMA20_M1)/ATR14_M1,M1,50 closed bars,Mid,ATR14,decision quote,FAIL_CLOSED,continuous,trend,ENGINEERING_ASSUMPTION_TO_BE_VALIDATED,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F02,ema50_distance_m1,(mid-EMA50_M1)/ATR14_M1,M1,50 closed bars,Mid,ATR14,decision quote,FAIL_CLOSED,continuous,trend,ENGINEERING_ASSUMPTION_TO_BE_VALIDATED,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F03,ema20_slope_m1,(EMA20_0-EMA20_3)/ATR14_0,M1,53 closed bars,close,ATR14,decision quote,FAIL_CLOSED,continuous,trend,ENGINEERING_ASSUMPTION_TO_BE_VALIDATED,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F04,ema50_slope_m1,(EMA50_0-EMA50_3)/ATR14_0,M1,53 closed bars,close,ATR14,decision quote,FAIL_CLOSED,continuous,trend,ENGINEERING_ASSUMPTION_TO_BE_VALIDATED,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F05,ema_alignment_m1,sign(EMA20-EMA50),M1,50 closed bars,close,none,decision quote,FAIL_CLOSED,"{-1,0,1}",trend,ENGINEERING_ASSUMPTION_TO_BE_VALIDATED,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F06,ema_alignment_m5,sign(EMA20-EMA50),M5,250 closed M1,close,none,decision quote,FAIL_CLOSED,"{-1,0,1}",trend,ENGINEERING_ASSUMPTION_TO_BE_VALIDATED,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F07,ema_alignment_m15,sign(EMA20-EMA50),M15,750 closed M1,close,none,decision quote,FAIL_CLOSED,"{-1,0,1}",trend,ENGINEERING_ASSUMPTION_TO_BE_VALIDATED,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F08,shock_alignment_m5,alignment_M5*shock_direction,M5,250 closed M1,close,none,decision quote,FAIL_CLOSED,"{-1,0,1}",trend,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F09,shock_alignment_m15,alignment_M15*shock_direction,M15,750 closed M1,close,none,decision quote,FAIL_CLOSED,"{-1,0,1}",trend,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F10,return_1m,log(close0/close1),M1,2 closed bars,close,none,decision quote,FAIL_CLOSED,continuous,momentum,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F11,return_5m,log(close0/close5),M1,6 closed bars,close,none,decision quote,FAIL_CLOSED,continuous,momentum,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F12,return_15m,log(close0/close15),M1,16 closed bars,close,none,decision quote,FAIL_CLOSED,continuous,momentum,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F13,shock_pre_momentum_5m,return_5m*shock_direction,M1,6 closed bars,close,none,decision quote,FAIL_CLOSED,continuous,momentum,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F14,trend_efficiency_15m,abs(close0-close15)/sum(abs(delta)),M1,16 closed bars,close,none,decision quote,FAIL_CLOSED,"[0,1]",momentum,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F15,daily_range_position,(mid-observed_low)/(observed_high-observed_low),tick,observed server day,Mid,range,decision quote,FAIL_CLOSED,"[0,1]",position,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F16,atr14_m1,Wilder ATR14,M1,15 closed bars,OHLC,price,decision quote,FAIL_CLOSED,positive,volatility,ENGINEERING_ASSUMPTION_TO_BE_VALIDATED,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F17,atr14_m5,Wilder ATR14,M5,75 closed M1,OHLC,price,decision quote,FAIL_CLOSED,positive,volatility,ENGINEERING_ASSUMPTION_TO_BE_VALIDATED,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F18,atr14_m15,Wilder ATR14,M15,225 closed M1,OHLC,price,decision quote,FAIL_CLOSED,positive,volatility,ENGINEERING_ASSUMPTION_TO_BE_VALIDATED,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F19,realized_vol_1m,RMS completed M1 log return,M1,2 closed bars,close,none,decision quote,FAIL_CLOSED,nonnegative,volatility,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F20,realized_vol_5m,RMS completed M1 log returns,M1,6 closed bars,close,none,decision quote,FAIL_CLOSED,nonnegative,volatility,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F21,realized_vol_15m,RMS completed M1 log returns,M1,16 closed bars,close,none,decision quote,FAIL_CLOSED,nonnegative,volatility,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F22,short_long_vol_ratio,rv_1m/rv_15m,M1,16 closed bars,close,ratio,decision quote,FAIL_CLOSED,nonnegative,volatility,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F23,shock_pre_vol_ratio,initial_shock/(pre_m1_rms*anchor_mid),mixed,10 pre returns,Mid,ratio,confirmed,FAIL_CLOSED,nonnegative,volatility,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F24,volatility_percentile,causal rank of rv15 in prior 128 samples,M1,128 prior values,close,percentile,decision quote,FAIL_CLOSED,"[0,1]",volatility,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F25,entry_spread,ask-bid,tick,current quote,BidAsk,price,decision quote,FAIL_CLOSED,positive,liquidity,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F26,spread_atr_ratio,spread/ATR14_M1,mixed,15 closed M1,BidAsk,ratio,decision quote,FAIL_CLOSED,nonnegative,liquidity,ENGINEERING_ASSUMPTION_TO_BE_VALIDATED,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F27,spread_prevol_ratio,spread/(pre_m1_rms*mid),mixed,10 pre returns,BidAsk,ratio,decision quote,FAIL_CLOSED,nonnegative,liquidity,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F28,tick_activity,updates in trailing completed minute,tick,1 closed minute,BidAsk,count,decision quote,FAIL_CLOSED,nonnegative,liquidity,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F29,quote_age_ms,processing_msc-quote_msc,tick,current quote,BidAsk,ms,decision quote,FAIL_CLOSED,nonnegative,liquidity,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F30,severity,frozen detector severity ordinal,shock,anchor,detector,ordinal,confirmed,FAIL_CLOSED,nonnegative,shock,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F31,initial_shock_spread_ratio,initial_shock/anchor_spread,shock,anchor,BidAsk,ratio,confirmed,FAIL_CLOSED,nonnegative,shock,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
F32,confirmation_delay_ms,confirmed_msc-candidate_msc,shock,anchor,clock,ms,confirmed,FAIL_CLOSED,nonnegative,shock,FROZEN_CAUSAL_DEFINITION,074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597
