decision_seconds,horizon_seconds,feature_set,model_family,omitted_symbol,episodes,mean,sign_positive
60,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,EURUSD,460,-0.4791080114135107,False
60,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDCAD,417,-0.4140331567700938,False
60,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDCHF,467,-0.5031304398655208,False
60,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDJPY,333,-0.39770911811701354,False
60,600,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,AUDUSD,435,0.044849811242530464,True
60,600,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,EURUSD,460,-0.014895068099119373,False
60,600,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDCAD,417,0.036497914621860354,True
60,600,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDCHF,467,0.025258463881947052,True
60,600,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDJPY,333,0.0404138642596104,True
60,900,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,AUDUSD,427,-0.358413515901174,False
60,900,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,EURUSD,460,-0.4520600934875014,False
60,900,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,USDCAD,394,-0.11833289738489752,False
60,900,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,USDCHF,470,-0.32611769162026877,False
60,900,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,USDJPY,325,-0.4088512349254716,False
60,900,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,AUDUSD,427,-0.2520958577240705,False
60,900,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,EURUSD,460,-0.2352256602459478,False
60,900,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,USDCAD,394,-0.16185089466400196,False
60,900,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,USDCHF,470,-0.2398201245680221,False
60,900,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,USDJPY,325,-0.23341039087292495,False
60,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,AUDUSD,427,-0.4884536273926671,False
60,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,EURUSD,460,-0.540044546862679,False
60,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDCAD,394,-0.2862452164001919,False
60,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDCHF,470,-0.49070889451891864,False
60,900,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDJPY,325,-0.5946238472224443,False
60,900,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,AUDUSD,427,-0.21413512361044532,False
60,900,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,EURUSD,460,-0.1655679063331814,False
60,900,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDCAD,394,-0.1036693739005415,False
60,900,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDCHF,470,-0.21625040552700459,False
60,900,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDJPY,325,-0.28699855558184906,False
120,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,AUDUSD,441,-0.0006942339225022575,False
120,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,EURUSD,467,-0.04123469509229218,False
120,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,USDCAD,389,0.020520016146007534,True
120,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,USDCHF,456,-0.004546643146405506,False
120,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,USDJPY,327,0.023189259587356,True
120,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,AUDUSD,441,-0.014242210467650658,False
120,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,EURUSD,467,8.310493231687612e-05,True
120,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,USDCAD,389,0.00040017542658242293,True
120,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,USDCHF,456,0.00024624277609894615,True
120,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,USDJPY,327,-0.00640040471760058,False
120,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,AUDUSD,441,-0.06256605755508625,False
120,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,EURUSD,467,-0.10650143119175635,False
120,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDCAD,389,-0.042537501045689555,False
120,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDCHF,456,-0.0733371138642608,False
120,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,USDJPY,327,-0.012929852871471421,False
120,300,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,AUDUSD,441,-0.02602439247623133,False
120,300,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,EURUSD,467,-0.015444727661558869,False
120,300,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDCAD,389,-0.0025790153928180776,False
120,300,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,USDCHF,456,-0.011148367455883674,False
