decision_seconds,horizon_seconds,feature_set,model_family,action,bin,rows,predicted_probability,observed_positive
60,300,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,0,106,0.12833562112408264,0.14150943396226415
60,300,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,1,106,0.20620031889144624,0.22641509433962265
60,300,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,2,105,0.25748052652545833,0.3333333333333333
60,300,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,3,106,0.30851201082190494,0.3490566037735849
60,300,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,4,106,0.3912755475872652,0.36792452830188677
60,300,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,0,106,0.2660608045880397,0.22641509433962265
60,300,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,1,106,0.3695292164749962,0.27358490566037735
60,300,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,2,105,0.41913180367971836,0.4
60,300,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,3,106,0.42901594871580484,0.39622641509433965
60,300,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,4,106,0.48010306711211737,0.3584905660377358
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,CONTINUATION,0,106,0.13528548833592258,0.1320754716981132
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,CONTINUATION,1,106,0.20770963593385203,0.24528301886792453
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,CONTINUATION,2,105,0.25803676577717166,0.3047619047619048
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,CONTINUATION,3,106,0.3053450718094511,0.3490566037735849
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,CONTINUATION,4,106,0.3836422716750572,0.3867924528301887
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,REVERSAL,0,106,0.26658303534601036,0.22641509433962265
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,REVERSAL,1,106,0.3718365520681407,0.2830188679245283
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,REVERSAL,2,105,0.4177114614332323,0.38095238095238093
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,REVERSAL,3,106,0.4292313532954416,0.4056603773584906
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,REVERSAL,4,106,0.4849182033585589,0.3584905660377358
60,600,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,0,106,0.15451165160971153,0.33962264150943394
60,600,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,1,105,0.2522696366459844,0.26666666666666666
60,600,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,2,106,0.2958620774124556,0.36792452830188677
60,600,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,3,105,0.342296523760788,0.4
60,600,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,4,106,0.5043104976883613,0.41509433962264153
60,600,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,0,106,0.30830569235232086,0.2830188679245283
60,600,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,1,105,0.3731169002007441,0.44761904761904764
60,600,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,2,106,0.4057846965948429,0.3018867924528302
60,600,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,3,105,0.42480293639703287,0.4095238095238095
60,600,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,4,106,0.4623269768981993,0.4528301886792453
60,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,CONTINUATION,0,106,0.20090441387921645,0.29245283018867924
60,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,CONTINUATION,1,105,0.25994034958402257,0.34285714285714286
