fold,episode_id,market_cluster_id,anchor_msc,server_day,role,train_cutoff_msc,purge_ms,embargo_ms
0,ts15f_context_r3_202503_USDJPY_mh_1,1,1740999587250,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_3,11,1741002078000,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_5,18,1741014606000,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_6,32,1741015603500,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_8,45,1741022591750,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_10,72,1741025468250,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_11,78,1741026750500,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_12,86,1741028146500,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_13,90,1741030028500,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_14,91,1741031040250,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_15,95,1741039054000,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_16,150,1741040164000,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_17,155,1741041256000,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_18,158,1741042255500,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDCAD_mh_1,160,1741042546000,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_19,166,1741044081750,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_20,168,1741045580500,2025-03-03,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_21,170,1741051577000,2025-03-04,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_23,188,1741054084500,2025-03-04,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_25,199,1741056402750,2025-03-04,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_26,205,1741057366750,2025-03-04,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_27,214,1741058402750,2025-03-04,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_28,223,1741059902250,2025-03-04,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_30,230,1741064176250,2025-03-04,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_31,234,1741065248000,2025-03-04,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_32,238,1741066361000,2025-03-04,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_34,256,1741068366000,2025-03-04,TRAIN,1741277101250,900000,900000
0,ts15f_context_r3_202503_USDJPY_mh_36,264,1741071601250,2025-03-04,TRAIN,1741277101250,900000,900000
