decision_seconds,horizon_seconds,fold,action,interaction_id,episodes,correlation,mean_target
60,300,0,CONTINUATION,I01,132,0.05107178788642967,-1.3402991060178078
60,300,0,CONTINUATION,I02,132,0.054014039229641694,-1.3402991060178078
60,300,0,CONTINUATION,I03,132,0.13867127944635863,-1.3402991060178078
60,300,0,CONTINUATION,I04,132,0.0032832722392967238,-1.3402991060178078
60,300,0,CONTINUATION,I05,132,-0.02089958094212091,-1.3402991060178078
60,300,0,CONTINUATION,I06,132,0.047422235342647945,-1.3402991060178078
60,300,0,CONTINUATION,I07,132,0.011166829847051364,-1.3402991060178078
60,300,0,CONTINUATION,I08,132,-0.08455873633486945,-1.3402991060178078
60,300,0,CONTINUATION,I09,132,0.03419898660978904,-1.3402991060178078
60,300,0,CONTINUATION,I10,132,-0.20501946239665042,-1.3402991060178078
60,300,0,CONTINUATION,I11,132,-0.031329900182353154,-1.3402991060178078
60,300,0,CONTINUATION,I12,132,0.029787161749577556,-1.3402991060178078
60,300,0,REVERSAL,I01,132,-0.05410773377895167,-0.6581879900982249
60,300,0,REVERSAL,I02,132,-0.060864068555521025,-0.6581879900982249
60,300,0,REVERSAL,I03,132,-0.14356265001050642,-0.6581879900982249
60,300,0,REVERSAL,I04,132,-0.0030205437408603627,-0.6581879900982249
60,300,0,REVERSAL,I05,132,0.025528201220984408,-0.6581879900982249
60,300,0,REVERSAL,I06,132,-0.04516786526362648,-0.6581879900982249
60,300,0,REVERSAL,I07,132,-0.0032094856431839837,-0.6581879900982249
60,300,0,REVERSAL,I08,132,0.0857687447761989,-0.6581879900982249
60,300,0,REVERSAL,I09,132,-0.035014582798011507,-0.6581879900982249
60,300,0,REVERSAL,I10,132,0.20952472848687018,-0.6581879900982249
60,300,0,REVERSAL,I11,132,0.030016767493869237,-0.6581879900982249
60,300,0,REVERSAL,I12,132,-0.03147423288843615,-0.6581879900982249
60,300,1,CONTINUATION,I01,118,-0.26089369689687836,-0.592399423231058
60,300,1,CONTINUATION,I02,118,-0.2170957415776263,-0.592399423231058
60,300,1,CONTINUATION,I03,118,0.021193453985643915,-0.592399423231058
60,300,1,CONTINUATION,I04,118,0.004519492540031885,-0.592399423231058
60,300,1,CONTINUATION,I05,118,-0.10661271897224436,-0.592399423231058
60,300,1,CONTINUATION,I06,118,0.10314400935340667,-0.592399423231058
60,300,1,CONTINUATION,I07,118,-0.10500027682942034,-0.592399423231058
60,300,1,CONTINUATION,I08,118,-0.06127112550328307,-0.592399423231058
60,300,1,CONTINUATION,I09,118,0.21364737805925502,-0.592399423231058
60,300,1,CONTINUATION,I10,118,-0.08399479106482002,-0.592399423231058
60,300,1,CONTINUATION,I11,118,0.1323489758926809,-0.592399423231058
60,300,1,CONTINUATION,I12,118,-0.2568896122798025,-0.592399423231058
60,300,1,REVERSAL,I01,118,0.2605404339671938,-1.395884191640573
60,300,1,REVERSAL,I02,118,0.21801866987170415,-1.395884191640573
60,300,1,REVERSAL,I03,118,-0.021433913675101866,-1.395884191640573
60,300,1,REVERSAL,I04,118,-0.005303706445203336,-1.395884191640573
60,300,1,REVERSAL,I05,118,0.10823148780256656,-1.395884191640573
60,300,1,REVERSAL,I06,118,-0.10428355627207628,-1.395884191640573
60,300,1,REVERSAL,I07,118,0.10804430671492471,-1.395884191640573
60,300,1,REVERSAL,I08,118,0.06311948818076955,-1.395884191640573
60,300,1,REVERSAL,I09,118,-0.21493875505050095,-1.395884191640573
60,300,1,REVERSAL,I10,118,0.08795881689871908,-1.395884191640573
