episode_id,market_cluster_id,server_day,symbol,fold,chosen_action,chosen_actual,chosen_actual_125x,decision_seconds,horizon_seconds,feature_set,model_family
ts15f_context_r3_202503_AUDUSD_mh_104,3314,2025-03-10,AUDUSD,0,CONTINUATION,0.04166666666647392,-0.2083333333332948,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_114,3392,2025-03-10,AUDUSD,0,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_115,3399,2025-03-10,AUDUSD,0,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_118,3458,2025-03-10,AUDUSD,0,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_119,3475,2025-03-10,AUDUSD,0,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_121,3506,2025-03-10,AUDUSD,0,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_122,3513,2025-03-10,AUDUSD,0,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_125,3580,2025-03-10,AUDUSD,0,REVERSAL,-1.4285714285709754,-1.6785714285704467,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_127,3617,2025-03-10,AUDUSD,0,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_136,3725,2025-03-11,AUDUSD,0,CONTINUATION,-1.571428571428496,-1.827380952381179,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_147,3855,2025-03-11,AUDUSD,1,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_150,3920,2025-03-11,AUDUSD,1,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_152,3949,2025-03-11,AUDUSD,1,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_159,4138,2025-03-11,AUDUSD,1,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_160,4168,2025-03-11,AUDUSD,1,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_162,4288,2025-03-11,AUDUSD,1,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_163,4297,2025-03-11,AUDUSD,1,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
ts15f_context_r3_202503_AUDUSD_mh_164,4311,2025-03-11,AUDUSD,1,NO_TRADE,0.0,0.0,60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION
