decision_seconds,horizon_seconds,feature_set,model_family,omitted_server_day,episodes,mean,sign_positive
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-06,503,-0.09967811493082525,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-07,473,-0.04814040380124563,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-10,481,-0.07876572011531092,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-11,484,-0.10429721717230563,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-12,494,-0.08164827506928846,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-13,487,-0.12751168600190718,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-14,503,-0.10000222959414141,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-17,510,-0.0971997548980122,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-18,507,-0.09862884652772491,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-19,500,-0.09053860660807031,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-20,496,-0.09193836303091336,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-21,511,-0.0984366369586167,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-24,511,-0.09517505835457078,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-25,514,-0.09786210405808,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-26,498,-0.10100626804388178,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-27,501,-0.10040144009152321,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-28,518,-0.0971064121348516,False
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,2025-03-31,502,-0.10064411097226249,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-06,503,-0.09060947130078792,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-07,473,-0.08676991255699026,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-10,481,-0.09475377144344349,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-11,484,-0.04375779141507781,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-12,494,-0.08258863620752954,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-13,487,-0.0774587215557068,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-14,503,-0.09473597279602089,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-17,510,-0.0893658118907771,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-18,507,-0.08931019283629135,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-19,500,-0.0762619055580601,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-20,496,-0.09522260124625624,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-21,511,-0.0891909277187795,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-24,511,-0.0891909277187795,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-25,514,-0.08867035810174381,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-26,498,-0.09151920494838618,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-27,501,-0.09097118575707848,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-28,518,-0.08798564491176895,False
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,2025-03-31,502,-0.09078996825557036,False
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,2025-03-06,503,-0.2075922208042018,False
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,2025-03-07,473,-0.1141969332147888,False
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,2025-03-10,481,-0.22320978997546603,False
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,2025-03-11,484,-0.16583178869909698,False
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,2025-03-12,494,-0.18977897746569664,False
