decision_seconds,horizon_seconds,fold,feature_set,action,model_family,inner_score,parameters,train_rows,test_rows
60,300,1,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_REGRESSION,7.898627855431055,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",280,118
60,300,1,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_LOGISTIC,0.7055432260595748,"{""C"": 0.1, ""l1_ratio"": 0.9}",280,118
60,300,1,CONTEXT_PLUS_SHOCK,REVERSAL,SHALLOW_GRADIENT_BOOSTING,6.881543608405144,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",280,118
60,300,2,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,12.350264602568464,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",398,106
60,300,2,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_LOGISTIC,0.573271293619498,"{""C"": 0.1, ""l1_ratio"": 0.5}",398,106
60,300,2,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,11.708347121351608,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",398,106
60,300,2,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_REGRESSION,12.200382771654041,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",398,106
60,300,2,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_LOGISTIC,0.6409231857308059,"{""C"": 0.1, ""l1_ratio"": 0.9}",398,106
60,300,2,CONTEXT_ONLY,REVERSAL,SHALLOW_GRADIENT_BOOSTING,11.726405079998184,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",398,106
60,300,2,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_REGRESSION,12.58270557789682,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",398,106
60,300,2,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_LOGISTIC,0.5742771523957725,"{""C"": 0.1, ""l1_ratio"": 0.5}",398,106
60,300,2,CONTEXT_PLUS_SHOCK,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,11.854552934866605,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",398,106
60,300,2,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_REGRESSION,12.45526005953792,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",398,106
60,300,2,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_LOGISTIC,0.6409229326980722,"{""C"": 0.1, ""l1_ratio"": 0.9}",398,106
60,300,2,CONTEXT_PLUS_SHOCK,REVERSAL,SHALLOW_GRADIENT_BOOSTING,11.64849487264598,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 50}",398,106
60,300,3,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,5.025382385960694,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",504,87
60,300,3,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_LOGISTIC,0.47645971252440555,"{""C"": 0.1, ""l1_ratio"": 0.1}",504,87
60,300,3,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,5.117650885552273,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",504,87
60,300,3,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_REGRESSION,5.026471558144372,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",504,87
60,300,3,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_LOGISTIC,0.613284950294491,"{""C"": 0.1, ""l1_ratio"": 0.1}",504,87
