decision_seconds,horizon_seconds,fold,action,feature_id,bucket,lower_edge,upper_edge,episodes,market_clusters,mean,positive_fraction,mfe,mae,ci_low,ci_high,max_symbol_share
60,300,0,CONTINUATION,F01,0,-inf,-1.6309627407697995,24,22,-2.5598100339823078,0.20833333333333334,0.037188958333333334,0.050104375,-3.314336809361954,-2.013233638281472,0.5416666666666666
60,300,0,CONTINUATION,F01,1,-1.6309627407697995,-0.5116862132473999,22,20,-0.8648052852877829,0.3181818181818182,0.021360909090909094,0.028946818181818188,-2.325779727096373,-0.4604415316842508,0.36363636363636365
60,300,0,CONTINUATION,F01,2,-0.5116862132473999,0.24106070005739996,25,25,-1.3203306605466205,0.2,0.032588400000000003,0.0347224,-2.3856353847578697,-0.4518246771703737,0.48
60,300,0,CONTINUATION,F01,3,0.24106070005739996,1.401458593080801,34,33,-0.8639410924854326,0.35294117647058826,0.02363852941176471,0.029511470588235295,-2.067504529566217,0.3298309178736843,0.29411764705882354
60,300,0,CONTINUATION,F01,4,1.401458593080801,inf,27,26,-1.2620763423805104,0.2222222222222222,0.02161518518518519,0.00909537037037037,-1.9713439578915275,-0.3754918229917399,0.25925925925925924
60,300,0,CONTINUATION,F02,0,-inf,-2.4337018047708,26,24,-2.45105340366263,0.23076923076923078,0.030431153846153844,0.04514653846153845,-2.7251061672620036,-2.170908680322424,0.46153846153846156
60,300,0,CONTINUATION,F02,1,-2.4337018047708,-0.916121491661,24,23,-0.8469681249687578,0.2916666666666667,0.03131145833333334,0.02720125,-2.344735097190856,-0.22462644706963758,0.4166666666666667
60,300,0,CONTINUATION,F02,2,-0.916121491661,0.16549555983819955,20,20,-0.9488885237027379,0.25,0.040566250000000005,0.0337295,-3.3750089126553338,-0.39883118311481197,0.45
60,300,0,CONTINUATION,F02,3,0.16549555983819955,2.1662372105198004,34,33,-1.2082061936400135,0.2647058823529412,0.019843970588235293,0.03215676470588235,-2.5941089627587,0.36497113996979685,0.38235294117647056
60,300,0,CONTINUATION,F02,4,2.1662372105198004,inf,28,28,-1.1717170515020299,0.2857142857142857,0.019135714285714284,0.01292142857142857,-1.7175345200778844,-0.6952057770359126,0.25
60,300,0,CONTINUATION,F03,0,-inf,-0.3990403843618,23,23,-2.4329149670256074,0.13043478260869565,0.028006304347826087,0.042965434782608704,-2.6165255483511665,-2.013233638281472,0.391304347826087
60,300,0,CONTINUATION,F03,1,-0.3990403843618,-0.1844780919134,16,15,-1.2484440947167839,0.1875,0.024135312500000006,0.0223034375,-1.6940457203613621,-1.1190093066204563,0.375
60,300,0,CONTINUATION,F03,2,-0.1844780919134,0.02337909812559999,29,28,-0.8842080750084587,0.3103448275862069,0.03226844827586207,0.02825189655172414,-2.7172952115452365,-0.023037990275268812,0.41379310344827586
60,300,0,CONTINUATION,F03,3,0.02337909812559999,0.4238867611504002,44,42,-1.3713991787484312,0.29545454545454547,0.02357147727272727,0.03776181818181818,-2.094669741147827,-0.08626839826918525,0.38636363636363635
60,300,0,CONTINUATION,F03,4,0.4238867611504002,inf,20,20,-0.7501867098558415,0.35,0.02806325,0.006523749999999999,-1.5973451472318778,-0.04851728491796364,0.3
60,300,0,CONTINUATION,F04,0,-inf,-0.3012142141904,20,20,-1.56797540048507,0.2,0.0163265,0.034289,-2.282105911328385,-1.1944744531310187,0.45
