decision_seconds,horizon_seconds,fold,feature_set,action,model_family,feature_id,importance_mean,importance_std
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F01,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F02,0.0034033825636073565,0.013218604604259079
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F03,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F04,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F05,0.08079593413949186,0.12426673911570862
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F06,-0.2051487819763338,0.05811513620084753
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F07,-0.03388731237037194,0.015543104737708388
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F08,-0.02842107410937385,0.13793229529345774
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F09,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F10,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F11,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F12,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F13,0.009054964526144479,0.3138429617148123
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F14,-0.3855618056071872,0.04642625325950496
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F15,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F16,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F17,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F18,0.0103132032011685,0.07252756858584497
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F19,0.01910828627378791,0.0037951050502669824
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F20,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F21,0.32227675467541833,0.06220079902348163
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F22,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F23,0.03238590299796525,0.07751636930138271
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F24,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F25,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F26,0.5387666090337261,0.16090597730775055
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F27,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F28,-0.14129492886462636,0.13983628265853537
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F29,0.28543823271420504,0.12887086845547374
60,300,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,F36,0.07080561491981936,0.08067579565735754
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F01,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F02,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F03,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F04,-0.001052768476110207,0.0038674723288055716
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F05,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F06,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F07,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F08,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F09,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F10,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F11,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F12,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F13,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F14,-0.058279840445623655,0.019799583970582648
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F15,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F16,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F17,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F18,-0.18888035462498998,0.0620735446056338
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F19,0.012392073161652917,0.054911068344566334
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F20,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F21,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F22,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F23,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F24,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F25,0.0,0.0
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F26,0.4254242484663446,0.12469257809341988
60,300,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,F27,0.03083260363028136,0.013968298852802648
