decision_seconds,horizon_seconds,action,episodes,market_clusters,server_days,mean,median,positive_fraction,ci_low,ci_high,spread_125x_mean,formal_net_status
60,300,CONTINUATION,677,633,21,-0.9781046159292369,-1.0833333333334105,0.29098966026587886,-1.2071610505204509,-0.715261135839699,-1.2276617394500837,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
60,300,REVERSAL,677,633,21,-1.0183523722383807,-0.925925925926261,0.35302806499261447,-1.280211880271454,-0.7911868299819965,-1.2679094957592825,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
60,300,NO_TRADE,677,633,21,0.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE
60,600,CONTINUATION,675,632,21,-1.0145262709375609,-1.111111111110563,0.35555555555555557,-1.2301793189485075,-0.7404006721691603,-1.2637332653311448,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
60,600,REVERSAL,675,632,21,-0.9791296842115379,-0.9259259259254385,0.3837037037037037,-1.2520869991781294,-0.764870649629937,-1.228336678605092,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
60,600,NO_TRADE,675,632,21,0.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE
60,900,CONTINUATION,658,620,21,-1.089292186561295,-1.0449494949497975,0.3829787234042553,-1.4829433073780347,-0.6458994168903707,-1.3389505658662466,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
60,900,REVERSAL,658,620,21,-0.9079748478789952,-1.0,0.3829787234042553,-1.3507764995744656,-0.5134975759513739,-1.1576332271839533,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
60,900,NO_TRADE,658,620,21,0.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE
120,300,CONTINUATION,682,644,21,-1.058837579092611,-1.0930735930734126,0.2595307917888563,-1.200507329085554,-0.8837244611711934,-1.307912385793301,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
120,300,REVERSAL,682,644,21,-0.9337608745138083,-0.9047619047618293,0.29178885630498536,-1.1060284986585922,-0.7914125218409221,-1.1828356812145597,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
120,300,NO_TRADE,682,644,21,0.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE
120,600,CONTINUATION,662,625,21,-0.7222084892746751,-0.6904761904762828,0.38368580060422963,-0.9315691129661402,-0.47485226889814175,-0.9712006134765804,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
120,600,REVERSAL,662,625,21,-1.2697285043407938,-1.30602006688926,0.30513595166163143,-1.5208016163024698,-1.0581208088714145,-1.5187206285426775,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
120,600,NO_TRADE,662,625,21,0.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE
120,900,CONTINUATION,659,627,21,-0.8439849317344414,-0.8888888888893001,0.3884673748103187,-1.1745564409553504,-0.5115870725640458,-1.093106390269699,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
120,900,REVERSAL,659,627,21,-1.1489867365482955,-1.1249999999998843,0.3550834597875569,-1.4814588468759582,-0.8152758194150755,-1.3981081950835614,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
120,900,NO_TRADE,659,627,21,0.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE
