decision_seconds,horizon_seconds,feature_set,model_family,action,rows,coverage,chosen_mean,chosen_125x_mean,positive_fraction,rmse,auc,ci_low,ci_high
60,300,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,529,,,,0.2835538752362949,,0.6171503957783642,,
60,300,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,529,,,,0.33081285444234404,,0.5712106537530266,,
60,300,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,CHOSEN,529,0.13043478260869565,-0.0950871861736354,-0.12714517278774376,0.05103969754253308,3.0628083137392648,,-0.20436919669334508,0.020035789600513332
60,300,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,CHOSEN,529,0.03969754253308128,-0.08615607573590986,-0.09603371736358103,0.00945179584120983,3.0318401133461874,,-0.18300437964021418,-0.010270551355529609
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,CONTINUATION,529,,,,0.2835538752362949,,0.6218469656992084,,
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,REVERSAL,529,,,,0.33081285444234404,,0.566723163841808,,
60,300,CONTEXT_PLUS_SHOCK,ELASTIC_NET_REGRESSION,CHOSEN,529,0.15311909262759923,-0.19800669173641722,-0.2357357738829189,0.062381852551984876,3.117652631277818,,-0.3693603145899037,-0.04126926970093901
60,300,CONTEXT_PLUS_SHOCK,SHALLOW_GRADIENT_BOOSTING,CHOSEN,529,0.05103969754253308,-0.127202768087625,-0.13972929018794916,0.011342155009451797,3.0363010712599845,,-0.23163559018988525,-0.020376594796504822
60,600,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,CONTINUATION,528,,,,0.35795454545454547,,0.5512478344336751,,
60,600,CONTEXT_ONLY,ELASTIC_NET_LOGISTIC,REVERSAL,528,,,,0.3787878787878788,,0.5578963414634146,,
60,600,CONTEXT_ONLY,ELASTIC_NET_REGRESSION,CHOSEN,528,0.3787878787878788,-0.3017827174138634,-0.3960194632035259,0.13446969696969696,4.370938852516884,,-0.4542531816428327,-0.1200529265080109
60,600,CONTEXT_ONLY,SHALLOW_GRADIENT_BOOSTING,CHOSEN,528,0.045454545454545456,0.06283190647455732,0.051843124496029944,0.02462121212121212,4.212096082677099,,-0.02442039961085476,0.15462968409570493
60,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,CONTINUATION,528,,,,0.35795454545454547,,0.5537450640695478,,
60,600,CONTEXT_PLUS_SHOCK,ELASTIC_NET_LOGISTIC,REVERSAL,528,,,,0.3787878787878788,,0.5304954268292683,,
