decision_seconds,feature_a,feature_b,correlation,absolute_correlation
60,F01,F02,0.9238956072495754,0.9238956072495754
60,F01,F03,0.8238784484561958,0.8238784484561958
60,F01,F04,0.7121907269837661,0.7121907269837661
60,F01,F05,0.3949526530749,0.3949526530749
60,F01,F06,0.09477965992006461,0.09477965992006461
60,F01,F07,-0.0001150944884095868,0.0001150944884095868
60,F01,F08,-0.00017217213202278114,0.00017217213202278114
60,F01,F09,-0.008315702959294777,0.008315702959294777
60,F01,F10,0.57455570466006,0.57455570466006
60,F01,F11,0.7341565633299034,0.7341565633299034
60,F01,F12,0.7585872633630737,0.7585872633630737
60,F01,F13,0.010115104574265479,0.010115104574265479
60,F01,F14,0.03293442288360937,0.03293442288360937
60,F01,F15,0.4173085118326457,0.4173085118326457
60,F01,F16,-0.016211200245360134,0.016211200245360134
60,F01,F17,-0.019263204223279352,0.019263204223279352
60,F01,F18,-0.015951178594690786,0.015951178594690786
60,F01,F19,0.03925508501899401,0.03925508501899401
60,F01,F20,0.024732257506647762,0.024732257506647762
60,F01,F21,0.005700845949452543,0.005700845949452543
60,F01,F22,0.059449962603476514,0.059449962603476514
60,F01,F23,0.016490421388517775,0.016490421388517775
60,F01,F24,0.0033236141653218212,0.0033236141653218212
60,F01,F25,-0.03951845666214647,0.03951845666214647
60,F01,F26,-0.0037452365865505706,0.0037452365865505706
60,F01,F27,-0.016929331954547298,0.016929331954547298
60,F01,F28,0.0145767985022319,0.0145767985022319
60,F01,F29,0.012984916422347923,0.012984916422347923
60,F01,F30,0.0002574076461036763,0.0002574076461036763
60,F01,F31,0.005253833251049112,0.005253833251049112
60,F01,F32,,
60,F01,F33,0.06587259962496943,0.06587259962496943
60,F01,F34,0.009025355602965185,0.009025355602965185
60,F01,F35,-0.04646451687854635,0.04646451687854635
60,F01,F36,0.010747745248561823,0.010747745248561823
60,F02,F03,0.8738971564600112,0.8738971564600112
60,F02,F04,0.9039571074340033,0.9039571074340033
60,F02,F05,0.6344536852264686,0.6344536852264686
60,F02,F06,0.23796575167370995,0.23796575167370995
60,F02,F07,0.04465475017612976,0.04465475017612976
60,F02,F08,0.008437669601487287,0.008437669601487287
60,F02,F09,-0.014762920693324763,0.014762920693324763
60,F02,F10,0.4543976879362933,0.4543976879362933
60,F02,F11,0.6190565674011065,0.6190565674011065
60,F02,F12,0.7586842505128946,0.7586842505128946
60,F02,F13,0.020595090968762247,0.020595090968762247
60,F02,F14,0.014820700649031605,0.014820700649031605
60,F02,F15,0.5644209855641289,0.5644209855641289
60,F02,F16,-0.024990376661629107,0.024990376661629107
60,F02,F17,-0.020762848051623015,0.020762848051623015
60,F02,F18,-0.009709628497142657,0.009709628497142657
60,F02,F19,0.0320343122156664,0.0320343122156664
60,F02,F20,0.013000037171637238,0.013000037171637238
60,F02,F21,-0.013551889006287456,0.013551889006287456
60,F02,F22,0.06599670597012874,0.06599670597012874
60,F02,F23,0.018227744149651916,0.018227744149651916
60,F02,F24,-0.009458010187715107,0.009458010187715107
60,F02,F25,-0.030447118182953307,0.030447118182953307
60,F02,F26,0.00020425697352197198,0.00020425697352197198
60,F02,F27,-0.007733094487465273,0.007733094487465273
60,F02,F28,0.0016835820825524738,0.0016835820825524738
60,F02,F29,0.021863026658129957,0.021863026658129957
60,F02,F30,0.009526241069298828,0.009526241069298828
60,F02,F31,-0.004421818907598937,0.004421818907598937
60,F02,F32,,
60,F02,F33,0.0520662555945475,0.0520662555945475
60,F02,F34,-0.0008396454329030582,0.0008396454329030582
60,F02,F35,-0.04458173821407861,0.04458173821407861
60,F02,F36,0.0066624852991836545,0.0066624852991836545
60,F03,F04,0.912644051331273,0.912644051331273
60,F03,F05,0.5260014184680623,0.5260014184680623
60,F03,F06,0.11342460426412763,0.11342460426412763
60,F03,F07,0.0199707783285393,0.0199707783285393
60,F03,F08,-0.009626198322300402,0.009626198322300402
60,F03,F09,0.0003320255762491714,0.0003320255762491714
60,F03,F10,0.2914190698631495,0.2914190698631495
60,F03,F11,0.6398094037048819,0.6398094037048819
60,F03,F12,0.8331919588136985,0.8331919588136985
60,F03,F13,0.03479687728817418,0.03479687728817418
60,F03,F14,0.006902103317594526,0.006902103317594526
60,F03,F15,0.4427120113955725,0.4427120113955725
60,F03,F16,-0.014460981401575118,0.014460981401575118
60,F03,F17,-0.011920141324782932,0.011920141324782932
60,F03,F18,-0.004971831075021769,0.004971831075021769
60,F03,F19,0.02919301017478422,0.02919301017478422
60,F03,F20,0.0027165000725937823,0.0027165000725937823
60,F03,F21,-0.012149970044864927,0.012149970044864927
60,F03,F22,0.06586791445337449,0.06586791445337449
60,F03,F23,0.025376087367198187,0.025376087367198187
60,F03,F24,-0.013788401330660602,0.013788401330660602
60,F03,F25,-0.032533131101967254,0.032533131101967254
60,F03,F26,0.005996022480517738,0.005996022480517738
60,F03,F27,-0.0033706014676941373,0.0033706014676941373
60,F03,F28,0.0039477266150580665,0.0039477266150580665
60,F03,F29,0.022951820303658506,0.022951820303658506
60,F03,F30,-0.0024363494388768363,0.0024363494388768363
60,F03,F31,0.007236475506742192,0.007236475506742192
60,F03,F32,,
60,F03,F33,0.018616528970246564,0.018616528970246564
60,F03,F34,-0.005905776601910776,0.005905776601910776
60,F03,F35,-0.03961352913823913,0.03961352913823913
60,F03,F36,0.02135749506073154,0.02135749506073154
60,F04,F05,0.7298753979463384,0.7298753979463384
60,F04,F06,0.27270829037650535,0.27270829037650535
60,F04,F07,0.06639818234010464,0.06639818234010464
60,F04,F08,0.004774580879199858,0.004774580879199858
60,F04,F09,-0.010449276741946373,0.010449276741946373
60,F04,F10,0.20472055011136037,0.20472055011136037
60,F04,F11,0.4672357392497739,0.4672357392497739
60,F04,F12,0.7319687796844351,0.7319687796844351
60,F04,F13,0.0365563448777822,0.0365563448777822
60,F04,F14,-0.007773864316732453,0.007773864316732453
60,F04,F15,0.5745840335059652,0.5745840335059652
60,F04,F16,-0.024578777436354324,0.024578777436354324
60,F04,F17,-0.015135348663383404,0.015135348663383404
60,F04,F18,-0.00043513342379217115,0.00043513342379217115
60,F04,F19,0.020946708501178853,0.020946708501178853
60,F04,F20,-0.004616440575109929,0.004616440575109929
60,F04,F21,-0.028821361392318636,0.028821361392318636
60,F04,F22,0.0658777432010678,0.0658777432010678
60,F04,F23,0.022128518546119764,0.022128518546119764
60,F04,F24,-0.022270947792802916,0.022270947792802916
