detector_a,detector_b,events_a,events_b,events_a_with_overlap,events_b_with_overlap,overlap_pairs_within_2000ms_same_symbol,jaccard_like_overlap
STRICT_V0,TAIL_V1_RAW,19,56674,16,136,146,0.00028230
STRICT_V0,TAIL_V1_NOISE_ROBUST,19,23825,14,111,122,0.00058749
STRICT_V0,TAIL_V1_PERSISTENT,19,21799,14,105,116,0.00064208
TAIL_V1_RAW,TAIL_V1_NOISE_ROBUST,56674,23825,28909,22498,89736,0.38788986
TAIL_V1_RAW,TAIL_V1_PERSISTENT,56674,21799,27179,20583,85245,0.35555364
TAIL_V1_NOISE_ROBUST,TAIL_V1_PERSISTENT,23825,21799,22504,21799,74537,0.91496327
