detector_id,severity,outcome,replicates,mean_block_clusters,seed,mean_difference,ci_lower,ci_upper,raw_p,holm_p,bh_q,status
STRICT_V0,P990,abs_return_1s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P990,abs_return_3s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P990,realized_volatility_120s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P990,abs_return_10s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P990,abs_return_30s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P990,abs_return_120s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P990,mfe_120s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P990,mae_120s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P990,spread_change_120s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P990,tick_activity_120s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P990,quote_reversion_ratio,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P995,abs_return_1s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P995,abs_return_3s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P995,realized_volatility_120s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P995,abs_return_10s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P995,abs_return_30s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P995,abs_return_120s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P995,mfe_120s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
STRICT_V0,P995,mae_120s,10000,4,20260826,,,,,,,NOT_ESTIMABLE_MISSING_MATCHED_CONTROLS
