detector_id,parameter,baseline,current,classification,status
STRICT_V0,InpBaselineExcludeMs,2000,2000,strategy_or_execution,UNCHANGED
STRICT_V0,InpBaselineMinutes,15,15,strategy_or_execution,UNCHANGED
STRICT_V0,InpBurstMaxMs,3000,3000,strategy_or_execution,UNCHANGED
STRICT_V0,InpBurstQuietMs,300,300,strategy_or_execution,UNCHANGED
STRICT_V0,InpCommissionPerLotRoundTurn,0.0,0.0,strategy_or_execution,UNCHANGED
STRICT_V0,InpContinuationInvalidPct,50.0,50.0,strategy_or_execution,UNCHANGED
STRICT_V0,InpDebugMaxMessages,200,200,strategy_or_execution,UNCHANGED
STRICT_V0,InpDebugSymbol,EURUSD,EURUSD,strategy_or_execution,UNCHANGED
STRICT_V0,InpEnableDebug,false,false,strategy_or_execution,UNCHANGED
STRICT_V0,InpExecutionMode,1,1,strategy_or_execution,UNCHANGED
STRICT_V0,InpGridMs,250,250,strategy_or_execution,UNCHANGED
STRICT_V0,InpLondonEndHour,17,17,strategy_or_execution,UNCHANGED
STRICT_V0,InpLondonStartHour,8,8,strategy_or_execution,UNCHANGED
STRICT_V0,InpMaxHoldSeconds,120,120,strategy_or_execution,UNCHANGED
STRICT_V0,InpMaxQuoteAgeMs,500,500,strategy_or_execution,UNCHANGED
STRICT_V0,InpMaxSpreadMedianRatio,1.5,1.5,strategy_or_execution,UNCHANGED
STRICT_V0,InpMinBaselineSamples,300,300,strategy_or_execution,UNCHANGED
STRICT_V0,InpMinEfficiency,0.65,0.65,strategy_or_execution,UNCHANGED
STRICT_V0,InpMinMoveSpreadRatio,4.0,4.0,strategy_or_execution,UNCHANGED
STRICT_V0,InpMinRobustZ,3.5,3.5,strategy_or_execution,UNCHANGED
STRICT_V0,InpMinTickIntensityRatio,1.5,1.5,strategy_or_execution,UNCHANGED
STRICT_V0,InpNewYorkEndHour,22,22,strategy_or_execution,UNCHANGED
STRICT_V0,InpNewYorkStartHour,13,13,strategy_or_execution,UNCHANGED
STRICT_V0,InpNoiseFloorTicks,1.0,1.0,strategy_or_execution,UNCHANGED
STRICT_V0,InpPullbackMaxPct,35.0,35.0,strategy_or_execution,UNCHANGED
STRICT_V0,InpPullbackMinPct,15.0,15.0,strategy_or_execution,UNCHANGED
STRICT_V0,InpPullbackWaitMs,10000,10000,strategy_or_execution,UNCHANGED
STRICT_V0,InpReaccelerationConfirmTicks,2,2,strategy_or_execution,UNCHANGED
STRICT_V0,InpResearchPeriod,2025-03-01_TO_2025-04-01,2025-03-01_TO_2025-04-01,strategy_or_execution,UNCHANGED
STRICT_V0,InpResumeCheckpoint,,,strategy_or_execution,UNCHANGED
STRICT_V0,InpResumeCursorMsc,0,0,strategy_or_execution,UNCHANGED
STRICT_V0,InpResumeLastEventSequence,-1,-1,strategy_or_execution,UNCHANGED
STRICT_V0,InpResumeRun,false,false,strategy_or_execution,UNCHANGED
STRICT_V0,InpRewardRisk,1.2,1.2,strategy_or_execution,UNCHANGED
STRICT_V0,InpSchemaVersion,tickshock-event-v1,tickshock-event-v1+detector-feature-v1,output_provenance,ALLOWED_VERSIONED_FEATURE_SCHEMA_CHANGE
STRICT_V0,InpShadowExitSlippageTicks,1.0,1.0,strategy_or_execution,UNCHANGED
STRICT_V0,InpShadowSlippageTicks,1.0,1.0,strategy_or_execution,UNCHANGED
STRICT_V0,InpShockPercentile,99.5,99.5,strategy_or_execution,UNCHANGED
STRICT_V0,InpSubmitLatencyMs,0,0,strategy_or_execution,UNCHANGED
STRICT_V0,InpSymbols,"EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF","EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF",strategy_or_execution,UNCHANGED
