detector_id,raw_candidates,statistical_events,strategy_eligible_events,symbol_clusters,market_clusters,feature_market_clusters_recount,valid_pullbacks,reacceleration_signals,reversal_signals,scenario_valid,scenario_invalid,diagnostic_expectancy_r,max_symbol_event_share,max_symbol_cluster_share,runtime_seconds,summary_max_memory_mb,event_csv_rows,event_csv_bytes,feature_csv_rows,feature_csv_bytes,integrity_status,event_pool_exhaustions,pending_capacity_hits,dropped_ticks,cursor_stalls,duplicate_feature_keys,confirmed_before_candidate,scenario_entry_causal_violations,provenance_mismatches,incomplete_v1_records,direction_column_status,synthetic_null_status,matched_control_status,selection_status
STRICT_V0,62577,19,19,17,15,15,14,5,11,7128,324,-0.299635,0.42105263,0.46666667,364.547,27,19,5150562,19,10786,VALIDATED,0,0,0,0,0,0,0,0,0,MISSING,PASS,NOT_ESTIMABLE,FAIL_MATCHED_CONTROL_EVIDENCE_MISSING
TAIL_V1_RAW,173869,56674,40,36026,29180,29180,28,9,22,14652,666,-0.398246,0.30906589,0.32412611,526.328,27,40,10812800,56674,44225940,VALIDATED,0,0,0,0,0,0,0,0,1,MISSING,PASS,NOT_ESTIMABLE,FAIL_MATCHED_CONTROL_EVIDENCE_MISSING
TAIL_V1_NOISE_ROBUST,74415,23825,10,13458,11409,11409,7,2,6,3696,168,-0.399449,0.42946485,0.44894382,518.375,27,10,2708889,23825,19114748,VALIDATED,0,0,0,0,0,0,0,0,0,MISSING,PASS,NOT_ESTIMABLE,FAIL_MATCHED_CONTROL_EVIDENCE_MISSING
TAIL_V1_PERSISTENT,74415,21799,10,12134,10245,10245,6,2,6,3696,168,-0.381495,0.44451580,0.46969253,524.266,27,10,2709343,21799,17378935,VALIDATED,0,0,0,0,0,0,0,0,0,MISSING,PASS,NOT_ESTIMABLE,FAIL_MATCHED_CONTROL_EVIDENCE_MISSING
