detector_id,severity,outcome,event_rows,event_market_clusters,matched_clusters,mean_event,mean_control,mean_difference,status,reason
STRICT_V0,P990,abs_return_1s,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
STRICT_V0,P990,abs_return_3s,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
STRICT_V0,P990,realized_volatility_120s,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
STRICT_V0,P990,abs_return_10s,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
STRICT_V0,P990,abs_return_30s,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
STRICT_V0,P990,abs_return_120s,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
STRICT_V0,P990,mfe_120s,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
STRICT_V0,P990,mae_120s,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
STRICT_V0,P990,spread_change_120s,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
STRICT_V0,P990,tick_activity_120s,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
STRICT_V0,P990,quote_reversion_ratio,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
STRICT_V0,P995,abs_return_1s,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
STRICT_V0,P995,abs_return_3s,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
STRICT_V0,P995,realized_volatility_120s,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
STRICT_V0,P995,abs_return_10s,0,0,0,,,,NOT_ESTIMABLE,NON_EVENT_CONTROL_BOUNDARIES_WITH_COMPLETE_120S_OUTCOMES_WERE_NOT_RECORDED
