detector_id,dimension,key,count
STRICT_V0,scenario_status,INVALID_BROKER_STOP,324
STRICT_V0,scenario_status,NO_SIGNAL,3036
STRICT_V0,scenario_status,SL_GAP,2819
STRICT_V0,scenario_status,TIME_MARKET,3048
STRICT_V0,scenario_status,TP_LIMIT,1261
TAIL_V1_RAW,scenario_status,INVALID_BROKER_STOP,666
TAIL_V1_RAW,scenario_status,NO_SIGNAL,6762
TAIL_V1_RAW,scenario_status,SL_GAP,5976
TAIL_V1_RAW,scenario_status,TIME_MARKET,7276
TAIL_V1_RAW,scenario_status,TP_LIMIT,1400
TAIL_V1_NOISE_ROBUST,scenario_status,INVALID_BROKER_STOP,168
TAIL_V1_NOISE_ROBUST,scenario_status,NO_SIGNAL,1656
TAIL_V1_NOISE_ROBUST,scenario_status,SL_GAP,1411
TAIL_V1_NOISE_ROBUST,scenario_status,TIME_MARKET,1994
TAIL_V1_NOISE_ROBUST,scenario_status,TP_LIMIT,291
TAIL_V1_PERSISTENT,scenario_status,INVALID_BROKER_STOP,168
TAIL_V1_PERSISTENT,scenario_status,NO_SIGNAL,1656
TAIL_V1_PERSISTENT,scenario_status,SL_GAP,1380
TAIL_V1_PERSISTENT,scenario_status,TIME_MARKET,2006
TAIL_V1_PERSISTENT,scenario_status,TP_LIMIT,310
