detector_id,dimension,key,event_rows,market_clusters,strategy_signal_true
STRICT_V0,symbol,EURUSD,5,4,5
STRICT_V0,symbol,GBPUSD,2,2,2
STRICT_V0,symbol,USDCAD,8,7,8
STRICT_V0,symbol,USDJPY,4,4,4
STRICT_V0,direction,NOT_SERIALIZED,19,15,19
STRICT_V0,horizon_ms,1000,7,6,7
STRICT_V0,horizon_ms,250,1,1,1
STRICT_V0,horizon_ms,500,11,11,11
STRICT_V0,severity,LEGACY_STRICT,19,15,19
STRICT_V0,time_bucket,0,1,1,1
STRICT_V0,time_bucket,2,3,2,3
STRICT_V0,time_bucket,3,3,3,3
STRICT_V0,time_bucket,4,6,4,6
STRICT_V0,time_bucket,5,6,5,6
STRICT_V0,volatility_regime,LEGACY,19,15,19
TAIL_V1_RAW,symbol,AUDUSD,8357,5445,0
TAIL_V1_RAW,symbol,EURUSD,5346,3598,19
TAIL_V1_RAW,symbol,GBPUSD,7897,5464,6
TAIL_V1_RAW,symbol,USDCAD,10673,6825,6
TAIL_V1_RAW,symbol,USDCHF,6885,4862,0
TAIL_V1_RAW,symbol,USDJPY,17516,10392,9
TAIL_V1_RAW,direction,NOT_SERIALIZED,56674,29180,40
TAIL_V1_RAW,horizon_ms,1000,10382,5448,31
TAIL_V1_RAW,horizon_ms,250,34072,25364,1
TAIL_V1_RAW,horizon_ms,500,12220,9520,8
TAIL_V1_RAW,severity,P990,30347,21925,0
TAIL_V1_RAW,severity,P995,23259,13706,20
TAIL_V1_RAW,severity,P999,3068,1621,20
TAIL_V1_RAW,time_bucket,0,5429,2981,1
TAIL_V1_RAW,time_bucket,1,6222,3985,0
TAIL_V1_RAW,time_bucket,2,13257,7142,8
TAIL_V1_RAW,time_bucket,3,10556,4805,11
TAIL_V1_RAW,time_bucket,4,14359,6770,12
TAIL_V1_RAW,time_bucket,5,6851,3497,8
TAIL_V1_RAW,volatility_regime,HIGH,13808,7334,39
TAIL_V1_RAW,volatility_regime,LOW,9800,8489,0
TAIL_V1_RAW,volatility_regime,NORMAL,33066,22404,1
TAIL_V1_NOISE_ROBUST,symbol,AUDUSD,3115,1882,0
TAIL_V1_NOISE_ROBUST,symbol,EURUSD,1747,999,4
TAIL_V1_NOISE_ROBUST,symbol,GBPUSD,2384,1457,3
TAIL_V1_NOISE_ROBUST,symbol,USDCAD,4406,2661,1
TAIL_V1_NOISE_ROBUST,symbol,USDCHF,1941,1244,0
TAIL_V1_NOISE_ROBUST,symbol,USDJPY,10232,5433,2
TAIL_V1_NOISE_ROBUST,direction,NOT_SERIALIZED,23825,11409,10
TAIL_V1_NOISE_ROBUST,horizon_ms,1000,3165,1897,9
TAIL_V1_NOISE_ROBUST,horizon_ms,250,17250,10971,1
TAIL_V1_NOISE_ROBUST,horizon_ms,500,3410,2800,0
TAIL_V1_NOISE_ROBUST,severity,P990,12710,8926,0
TAIL_V1_NOISE_ROBUST,severity,P995,10001,5190,8
TAIL_V1_NOISE_ROBUST,severity,P999,1114,558,2
TAIL_V1_NOISE_ROBUST,time_bucket,0,1689,999,0
TAIL_V1_NOISE_ROBUST,time_bucket,1,1786,1152,0
TAIL_V1_NOISE_ROBUST,time_bucket,2,5707,3095,4
TAIL_V1_NOISE_ROBUST,time_bucket,3,4456,1794,1
TAIL_V1_NOISE_ROBUST,time_bucket,4,7239,3054,4
TAIL_V1_NOISE_ROBUST,time_bucket,5,2948,1315,1
TAIL_V1_NOISE_ROBUST,volatility_regime,HIGH,3636,2133,9
TAIL_V1_NOISE_ROBUST,volatility_regime,LOW,4136,2882,0
TAIL_V1_NOISE_ROBUST,volatility_regime,NORMAL,16053,9416,1
TAIL_V1_PERSISTENT,symbol,AUDUSD,2733,1632,0
TAIL_V1_PERSISTENT,symbol,EURUSD,1615,916,4
TAIL_V1_PERSISTENT,symbol,GBPUSD,2114,1248,3
TAIL_V1_PERSISTENT,symbol,USDCAD,3998,2389,1
TAIL_V1_PERSISTENT,symbol,USDCHF,1649,1038,0
TAIL_V1_PERSISTENT,symbol,USDJPY,9690,5134,2
TAIL_V1_PERSISTENT,direction,NOT_SERIALIZED,21799,10245,10
TAIL_V1_PERSISTENT,horizon_ms,1000,3005,1789,9
TAIL_V1_PERSISTENT,horizon_ms,250,15708,9848,1
TAIL_V1_PERSISTENT,horizon_ms,500,3086,2541,0
TAIL_V1_PERSISTENT,severity,P990,11411,7921,0
TAIL_V1_PERSISTENT,severity,P995,9301,4745,8
TAIL_V1_PERSISTENT,severity,P999,1087,545,2
TAIL_V1_PERSISTENT,time_bucket,0,1409,824,0
TAIL_V1_PERSISTENT,time_bucket,1,1564,1014,0
TAIL_V1_PERSISTENT,time_bucket,2,5044,2723,4
TAIL_V1_PERSISTENT,time_bucket,3,4207,1657,1
TAIL_V1_PERSISTENT,time_bucket,4,6819,2825,4
TAIL_V1_PERSISTENT,time_bucket,5,2756,1202,1
TAIL_V1_PERSISTENT,volatility_regime,HIGH,3447,2009,9
TAIL_V1_PERSISTENT,volatility_regime,LOW,3590,2439,0
TAIL_V1_PERSISTENT,volatility_regime,NORMAL,14762,8572,1
