Name,Kind,Magic,EnableTrading,Risk,MaxOpen,MaxSpread,From,To,Ini,Set,RejectReason,Count
unsafe_block_j_short_2026q1,unsafe_block,2026052603,true,1.00,1.00,50.0,2026.01.01,2026.03.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-monitoring-unsafe_block_j_short_2026q1.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-monitoring-unsafe_block_j_short_2026q1.set,break_candle_strength_filter_failed,26
unsafe_block_j_short_2026q1,unsafe_block,2026052603,true,1.00,1.00,50.0,2026.01.01,2026.03.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-monitoring-unsafe_block_j_short_2026q1.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-monitoring-unsafe_block_j_short_2026q1.set,fibo_filter_failed,9
virtual_regression_j_short_vc_2026q1,virtual_regression,2026052604,false,0.25,0.25,50.0,2026.01.01,2026.03.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.set,direction_filter_failed,453
virtual_regression_j_short_vc_2026q1,virtual_regression,2026052604,false,0.25,0.25,50.0,2026.01.01,2026.03.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.set,trend_alignment_filter_failed,208
virtual_regression_j_short_vc_2026q1,virtual_regression,2026052604,false,0.25,0.25,50.0,2026.01.01,2026.03.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.set,pattern_adx_bucket_filter_failed,144
virtual_regression_j_short_vc_2026q1,virtual_regression,2026052604,false,0.25,0.25,50.0,2026.01.01,2026.03.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.set,break_candle_strength_filter_failed,26
virtual_regression_j_short_vc_2026q1,virtual_regression,2026052604,false,0.25,0.25,50.0,2026.01.01,2026.03.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.set,entry_open_count_filter_failed,16
virtual_regression_j_short_vc_2026q1,virtual_regression,2026052604,false,0.25,0.25,50.0,2026.01.01,2026.03.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.set,fibo_filter_failed,9
virtual_regression_j_short_vc_2026q1,virtual_regression,2026052604,false,0.25,0.25,50.0,2026.01.01,2026.03.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.set,spread_too_wide,2
virtual_regression_j_short_vc_2026q1,virtual_regression,2026052604,false,0.25,0.25,50.0,2026.01.01,2026.03.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-monitoring-virtual_regression_j_short_vc_2026q1.set,daily_loss_r_blocked,2
