Preset,Description,Trades,WinRate,AvgWinR,AvgLossR,ExpectancyR,ProfitFactor,MaxDD_R,MaxConsecutiveLosses,TotalR,LongExpectancyR,ShortExpectancyR,PositiveQuarters,TotalQuarters
C,CounterTrend + PatternADXBucket=middle,801,42.69662921348315,1.4998416072985379,-1.0,0.06734810199263416,1.117529040732244,23.005897865599998,14,53.94582969609996,-0.07085091361486487,0.14835188143782177,5,9
H,CounterTrend + PatternADXBucket=middle + EntryOpenCount<=0,633,42.49605055292259,1.4998640092349436,-1.0,0.06234347311879938,1.1084159848467028,20.000778185900003,13,39.463418484200005,-0.056917359207894744,0.12948290465086418,7,9
J,CounterTrend + PatternADXBucket=middle + BreakStrength=high + EntryOpenCount<=0,532,43.421052631578945,1.4995895355935058,-1.0,0.08534808782349627,1.1508477831298998,21.496858696700002,11,45.405182722100015,-0.02334037024531249,0.1467250994388235,8,9
