Preset,Session,Trades,WinRate,AvgWinR,AvgLossR,ExpectancyR,ProfitFactor,MaxDD_R,MaxConsecutiveLosses,TotalR
C,asia,248,43.145161290322584,1.4996680138439253,-1.0,0.07848579629556454,1.138045939583688,13.016506977899999,7,19.464477481300005
C,late_us,47,42.5531914893617,1.498387256245,-1.0,0.06314351329574465,1.1099164861074073,10.0057794905,5,2.9677451248999986
C,london,220,41.36363636363637,1.5003844664527473,-1.0,0.03424993839636364,1.0584107476527131,18.5009806296,7,7.5349864472
C,new_york,286,43.35664335664335,1.499827585828226,-1.0,0.08384133091853148,1.1480161768067902,16.4978404584,10,23.978620642700005
H,asia,192,44.270833333333336,1.4997575075270588,-1.0,0.1066634798947917,1.1913961508392523,10.998255511099998,10,20.479388139800008
H,late_us,41,43.90243902439025,1.498718019688889,-1.0,0.09699815498536585,1.1729097545391305,7.4945426477999995,5,3.9769243543999995
H,london,160,41.25,1.50028321089697,-1.0,0.03136682449499999,1.0533903395659576,20.502433122600003,7,5.0186919191999975
H,new_york,240,41.666666666666664,1.4998841407080001,-1.0,0.041618391961666674,1.0713458147914288,17.4978404584,7,9.988414070800001
J,asia,169,46.74556213017752,1.4994860946670887,-1.0,0.1683988253177515,1.3162155719855557,8.0,6,28.459401478700002
J,late_us,36,50.0,1.4989591707,-1.0,0.24947958534999992,1.4989591707,4.0,4,8.981265072599998
J,london,126,43.65079365079365,1.5000011515854543,-1.0,0.09127034394603176,1.1619727230591548,13.011164073,7,11.500063337200002
J,new_york,201,39.30348258706468,1.4995500358683544,-1.0,-0.017589786897512436,0.9710201051934427,21.9987437033,7,-3.5355471663999998
