Preset,Quarter,Trades,WinRate,AvgWinR,AvgLossR,ExpectancyR,ProfitFactor,MaxDD_R,MaxConsecutiveLosses,TotalR
C,2024Q1,96,45.833333333333336,1.4996455035272727,-1.0,0.1456708557833333,1.268930810676923,11.5064935065,6,13.984402155199998
C,2024Q2,110,42.72727272727273,1.499644521887234,-1.0,0.06802993207909093,1.1187824210904762,16.002392344500002,11,7.483292528700002
C,2024Q3,88,36.36363636363637,1.499797555709375,-1.0,-0.09098270701477275,0.8570271746910715,12.004506231,8,-8.006478217300002
C,2024Q4,92,39.130434782608695,1.5000814719583333,-1.0,-0.021707250103260845,0.9643380891160714,10.491374835699999,7,-1.9970670094999976
C,2025Q1,96,45.833333333333336,1.500010125911364,-1.0,0.1458379743760416,1.2692393373096158,12.990941016800004,9,14.000445540099992
C,2025Q2,83,46.98795180722892,1.5000068581076922,-1.0,0.1747020176650603,1.329551533322727,7.4978204051,7,14.500267466200004
C,2025Q3,89,47.19101123595506,1.499676985402381,-1.0,0.1796228470438202,1.3401368805723406,6.5046680406999995,6,15.986433386899998
C,2025Q4,76,39.473684210526315,1.4999022679800003,-1.0,-0.013196473165789493,0.9781971312913045,16.008671103,14,-1.0029319606000016
C,2026Q1,71,39.436619718309856,1.4999094930857146,-1.0,-0.014120199909859138,0.9766852513116281,10.495958820799999,5,-1.0025341935999987
H,2024Q1,81,46.91358024691358,1.499659970205263,-1.0,0.17267998602222223,1.3252809039023257,8.5,5,13.987078867800001
H,2024Q2,81,39.50617283950617,1.4996131344,-1.0,-0.01249851480493825,0.979339189812245,16.002392344500002,11,-1.0123796991999983
H,2024Q3,70,34.285714285714285,1.5000784772041669,-1.0,-0.14283023638714287,0.7826496402804348,11.0014584708,7,-9.9981165471
H,2024Q4,72,41.666666666666664,1.50021212702,-1.0,0.04175505292499997,1.0715800907285715,5.5029380938,4,3.006363810599998
H,2025Q1,74,44.5945945945946,1.4997736892121216,-1.0,0.11476394248648653,1.207134920585366,15.495095414399998,6,8.492531744000003
H,2025Q2,69,42.028985507246375,1.4997330309103445,-1.0,0.050612433281159434,1.0873064474099998,9.000519707199999,7,3.492257896400001
H,2025Q3,70,45.714285714285715,1.4999560332031248,-1.0,0.14283704375,1.2631208700657892,7.5046680406999995,6,9.9985930625
H,2025Q4,66,40.90909090909091,1.4998634306777778,-1.0,0.022671403459090883,1.0383669904692308,13.005747126400001,13,1.4963126282999983
H,2026Q1,50,48.0,1.5000323633708332,-1.0,0.200015534418,1.3846452584961537,4.4976076554999995,4,10.0007767209
J,2024Q1,69,46.3768115942029,1.498819374909375,-1.0,0.15887275358115943,1.2962762161378378,7.0,5,10.9622199971
J,2024Q2,68,41.1764705882353,1.4991253731250003,-1.0,0.029051624227941185,1.0493877611875002,11.5069795005,8,1.9755104475000005
J,2024Q3,61,37.704918032786885,1.5000804728695656,-1.0,-0.05734670695081968,0.9079434441052633,6.5015085049,4,-3.498149124
J,2024Q4,63,41.26984126984127,1.5001690467884616,-1.0,0.03181579708730158,1.0541728436891893,6.4981549815,5,2.0043952165
J,2025Q1,67,40.298507462686565,1.4998531397296293,-1.0,0.007403504070149261,1.0124008693174997,21.4968586967,11,0.4960347727000005
J,2025Q2,60,43.333333333333336,1.4998150567576922,-1.0,0.08325319126166662,1.1469173963441175,8.498714653,6,4.995191475699998
J,2025Q3,53,49.056603773584904,1.4995145296423078,-1.0,0.2261769390698113,1.4439769544703704,5.0046680407,5,11.987377770699998
J,2025Q4,51,43.13725490196079,1.4997559223045456,-1.0,0.07832608413137254,1.1377458720931035,10.5,10,3.9946302907
J,2026Q1,40,52.5,1.4994272321523807,-1.0,0.3121992968800001,1.657261677642105,4.004637518199999,4,12.487971875200003
