Preset,FullPass,PositiveYears,TotalYears,PositiveQuarters,TotalQuarters,Trades,MaxDD_R
C,True,2,3,5,9,801,23.005897865599998
H,True,3,3,7,9,633,20.000778185900003
J,True,3,3,8,9,532,21.496858696700002
