Preset,Month,Trades,ProfitR,ExpectancyR,PF
C,2024-01,32,0.5004241023999998,0.015638253199999994,1.0263381106526317
C,2024-02,38,12.0092000515,0.3160315803026316,1.667177780638889
C,2024-03,26,1.4747780013,0.05672223081923077,1.0983185334199999
C,2024-04,37,-12.006151743,-0.32449058764864863,0.5553277132222222
C,2024-05,41,18.9963037437,0.4633244815536586,2.117429631982353
C,2024-06,32,0.4931405280000003,0.01541064150000001,1.0259547646315788
C,2024-07,31,-1.0010868115000005,-0.03229312295161292,0.9473112204473683
C,2024-08,29,-4.0061952584,-0.13814466408275863,0.7891476179789475
C,2024-09,28,-2.9991961474,-0.10711414812142858,0.8333779918111112
C,2024-10,40,-7.4913748356999985,-0.18728437089249997,0.7225416727518519
C,2024-11,23,4.4994579336000005,0.19562860580869568,1.3749548278
C,2024-12,29,0.9948498925999996,0.034305168710344815,1.058520581917647
C,2025-01,34,18.490116234899997,0.543826948085294,2.422316633453846
C,2025-02,30,-2.4900440714999994,-0.08300146904999998,0.8689450488684209
C,2025-03,32,-1.999626623300001,-0.062488331978125033,0.9000186688349998
C,2025-04,26,-5.9996993091999995,-0.23075766573846151,0.6666833717111111
C,2025-05,28,9.5004627193,0.339302239975,1.7308048245615386
C,2025-06,29,10.999504056100001,0.37929324331379316,1.846115696623077
C,2025-07,34,-1.5068034571,-0.044317748738235296,0.9282474544238094
C,2025-08,32,15.4913804175,0.484105638046875,2.1916446475
C,2025-09,23,2.0018564265,0.0870372359347826,1.1539889558846155
C,2025-10,31,-11.008671103000001,-0.3551184226774194,0.5213621259565218
C,2025-11,25,7.505151506899999,0.30020606027599994,1.6254292922416667
C,2025-12,20,2.5005876355000005,0.12502938177500003,1.2273261486818183
C,2026-01,27,-1.9998235490999998,-0.07406753885555555,0.8823633206411765
C,2026-02,20,0.002520909800000082,0.0001260454900000041,1.0002100758166668
C,2026-03,24,0.9947684456999997,0.041448685237499984,1.0710548889785714
H,2024-01,26,1.5069176088999998,0.057958369573076915,1.1004611739266668
H,2024-02,34,8.5053832576,0.25015833110588237,1.5003166622117647
H,2024-03,21,3.9747780013,0.18927514291904762,1.3613434546636363
H,2024-04,31,-13.506151743,-0.4356823142903226,0.437243677375
H,2024-05,29,10.993495588799998,0.3790860547862068,1.8456535068307693
H,2024-06,21,1.5002764549999998,0.07144173595238094,1.1250230379166666
H,2024-07,24,-6.4982935154,-0.27076222980833337,0.6177474402705883
H,2024-08,23,-3.0031649554,-0.1305723893652174,0.7997890029733334
H,2024-09,23,-0.49665807630000014,-0.02159382940434783,0.9645244231214286
H,2024-10,29,-1.491635591900001,-0.051435710065517275,0.9171313560055556
H,2024-11,18,2.0012625501,0.11118125278333332,1.20012625501
H,2024-12,25,2.4967368523999998,0.09986947409599999,1.1783383466
H,2025-01,28,14.4863568364,0.5173698870142858,2.3169415305818184
H,2025-02,24,-3.994198469099999,-0.16642493621249996,0.75036259568125
H,2025-03,22,-1.999626623300001,-0.09089211924090913,0.8571695269071428
H,2025-04,23,-5.4996993091999995,-0.2391173612695652,0.656268793175
H,2025-05,21,1.4982002759000004,0.0713428702809524,1.1248500229916667
H,2025-06,25,7.4937569297,0.299750277188,1.6244797441416665
H,2025-07,27,-2.0034921988,-0.07420341477037037,0.8821475177176471
H,2025-08,24,10.9985339195,0.4582722466458333,2.09985339195
H,2025-09,19,1.0035513418000002,0.05281849167368422,1.0912319401636363
H,2025-10,29,-6.5061585402,-0.22435029448965518,0.67469207299
H,2025-11,22,5.5051515069,0.25023415940454546,1.5004683188090908
