test_id,step10_status,step12_status,expected_equal,actual_equal,preserved,status
TS-BASE-001,PASS,PASS,true,true,true,PASS
TS-BASE-002,PASS,PASS,true,true,true,PASS
TS-BROKER-001,PASS,PASS,true,true,true,PASS
TS-BURST-001,PASS,PASS,true,true,true,PASS
TS-BURST-002,PASS,PASS,true,true,true,PASS
TS-CLUSTER-001,PASS,PASS,true,true,true,PASS
TS-CLUSTER-002,PASS,PASS,true,true,true,PASS
TS-COMM-001,PASS,PASS,true,true,true,PASS
TS-CSV-001,PASS,PASS,true,true,true,PASS
TS-CSV-002,PASS,PASS,true,true,true,PASS
TS-DETECT-001,PASS,PASS,true,true,true,PASS
TS-DUP-001,PASS,PASS,true,true,true,PASS
TS-EFF-001,PASS,PASS,true,true,true,PASS
TS-EFF-002,PASS,PASS,true,true,true,PASS
TS-EXEC-LONG-001,PASS,PASS,true,true,true,PASS
TS-EXEC-SHORT-001,PASS,PASS,true,true,true,PASS
TS-GATE-001,PASS,PASS,true,true,true,PASS
TS-INT-001,PASS,PASS,true,true,true,PASS
TS-INVALID-001,PASS,PASS,true,true,true,PASS
TS-MERGE-001,PASS,PASS,true,true,true,PASS
TS-MERGE-002,PASS,PASS,true,true,true,PASS
TS-MOVE-001,PASS,PASS,true,true,true,PASS
TS-MULTI-001,PASS,PASS,true,true,true,PASS
TS-NOREACCEL-001,PASS,PASS,true,true,true,PASS
TS-ORDER-001,PASS,PASS,true,true,true,PASS
TS-ORDER-002,PASS,PASS,true,true,true,PASS
TS-ORDER-003,PASS,PASS,true,true,true,PASS
TS-PARTIAL-001,PASS,PASS,true,true,true,PASS
TS-PB-001,PASS,PASS,true,true,true,PASS
TS-PB-002,PASS,PASS,true,true,true,PASS
TS-PB-003,PASS,PASS,true,true,true,PASS
TS-PCT-001,PASS,PASS,true,true,true,PASS
TS-POLICY-001,PASS,PASS,true,true,true,PASS
TS-POSITION-001,SKIP,SKIP,true,true,true,PASS
TS-PROV-001,PASS,PASS,true,true,true,PASS
TS-RESTART-001,SKIP,SKIP,true,true,true,PASS
TS-RESTART-002,SKIP,SKIP,true,true,true,PASS
TS-RET-001,PASS,PASS,true,true,true,PASS
TS-RET-002,PASS,PASS,true,true,true,PASS
TS-REV-001,PASS,PASS,true,true,true,PASS
TS-RR-001,PASS,PASS,true,true,true,PASS
TS-SAMEMSC-001,PASS,PASS,true,true,true,PASS
TS-SERVER-SL-LONG-001,SKIP,SKIP,true,true,true,PASS
TS-SERVER-SL-SHORT-001,SKIP,SKIP,true,true,true,PASS
TS-SERVER-TP-LONG-001,SKIP,SKIP,true,true,true,PASS
TS-SERVER-TP-SHORT-001,SKIP,SKIP,true,true,true,PASS
TS-SL-001,PASS,PASS,true,true,true,PASS
TS-SL-002,PASS,PASS,true,true,true,PASS
TS-SPREAD-001,PASS,PASS,true,true,true,PASS
TS-STATE-LONG-001,PASS,PASS,true,true,true,PASS
TS-STATE-SHORT-001,PASS,PASS,true,true,true,PASS
TS-TIME-001,PASS,PASS,true,true,true,PASS
TS-TIME-002,PASS,PASS,true,true,true,PASS
TS-TIME-003,PASS,PASS,true,true,true,PASS
TS-TIME-004,PASS,PASS,true,true,true,PASS
TS-TIME-005,PASS,PASS,true,true,true,PASS
TS-TIME-006,PASS,PASS,true,true,true,PASS
TS-TIME-CLOSE-LONG-001,SKIP,SKIP,true,true,true,PASS
TS-TIME-CLOSE-SHORT-001,SKIP,SKIP,true,true,true,PASS
TS-TIMEEXIT-001,PASS,PASS,true,true,true,PASS
TS-TIMEOUT-001,PASS,PASS,true,true,true,PASS
TS-TP-001,PASS,PASS,true,true,true,PASS
TS-Z-001,PASS,PASS,true,true,true,PASS
TS-Z-002,PASS,PASS,true,true,true,PASS
