parameter,baseline,current,classification,status
InpBaselineExcludeMs,2000,2000,strategy_or_execution_parameter,UNCHANGED
InpBaselineMinutes,15,15,strategy_or_execution_parameter,UNCHANGED
InpBurstMaxMs,3000,3000,strategy_or_execution_parameter,UNCHANGED
InpBurstQuietMs,300,300,strategy_or_execution_parameter,UNCHANGED
InpCommissionEvidenceStatus,<MISSING>,1,provenance_or_evidence,ALLOWED_PROVENANCE_CHANGE
InpCommissionPerLotRoundTurn,0.0,0.0,strategy_or_execution_parameter,UNCHANGED
InpCommissionSource,STEP13_TESTER_DEAL_FIELDS_OBSERVED_ZERO_LIVE_UNVALIDATED,STEP14R_TESTER_DEAL_FIELDS_OBSERVED_ZERO_LIVE_UNVALIDATED,provenance_or_evidence,ALLOWED_PROVENANCE_CHANGE
InpCommissionSymbolScope,<MISSING>,EURUSD_TESTER_ONLY_OTHER_SYMBOLS_UNAVAILABLE,provenance_or_evidence,ALLOWED_PROVENANCE_CHANGE
InpCommissionUnit,<MISSING>,ACCOUNT_CURRENCY_PER_LOT_ROUND_TURN,provenance_or_evidence,ALLOWED_PROVENANCE_CHANGE
InpContinuationInvalidPct,50.0,50.0,strategy_or_execution_parameter,UNCHANGED
InpDebugMaxMessages,200,200,strategy_or_execution_parameter,UNCHANGED
InpDebugSymbol,EURUSD,EURUSD,strategy_or_execution_parameter,UNCHANGED
InpEnableDebug,false,false,strategy_or_execution_parameter,UNCHANGED
InpEx5Hash,EEAD04DFDD045064EAEB3ACC7DAC57B420F489A3F331DDF1138941C0ACFBA9CA,96DCFF454976D2E37AF664BC705B65D4BF2FE7E2F3A8B417101615D818615268,provenance_or_evidence,ALLOWED_PROVENANCE_CHANGE
InpExecutionMode,1,1,strategy_or_execution_parameter,UNCHANGED
InpGridMs,250,250,strategy_or_execution_parameter,UNCHANGED
InpLogFolder,tick_shock_step14_realizable_202503,tick_shock_step14r3_realizable_202503_20260825,provenance_or_evidence,ALLOWED_PROVENANCE_CHANGE
InpLondonEndHour,17,17,strategy_or_execution_parameter,UNCHANGED
InpLondonStartHour,8,8,strategy_or_execution_parameter,UNCHANGED
InpMaxHoldSeconds,120,120,strategy_or_execution_parameter,UNCHANGED
InpMaxQuoteAgeMs,500,500,strategy_or_execution_parameter,UNCHANGED
InpMaxSpreadMedianRatio,1.5,1.5,strategy_or_execution_parameter,UNCHANGED
InpMinBaselineSamples,300,300,strategy_or_execution_parameter,UNCHANGED
InpMinEfficiency,0.65,0.65,strategy_or_execution_parameter,UNCHANGED
InpMinMoveSpreadRatio,4.0,4.0,strategy_or_execution_parameter,UNCHANGED
InpMinRobustZ,3.5,3.5,strategy_or_execution_parameter,UNCHANGED
InpMinTickIntensityRatio,1.5,1.5,strategy_or_execution_parameter,UNCHANGED
InpNewYorkEndHour,22,22,strategy_or_execution_parameter,UNCHANGED
InpNewYorkStartHour,13,13,strategy_or_execution_parameter,UNCHANGED
InpNoiseFloorTicks,1.0,1.0,strategy_or_execution_parameter,UNCHANGED
InpPullbackMaxPct,35.0,35.0,strategy_or_execution_parameter,UNCHANGED
InpPullbackMinPct,15.0,15.0,strategy_or_execution_parameter,UNCHANGED
InpPullbackWaitMs,10000,10000,strategy_or_execution_parameter,UNCHANGED
InpReaccelerationConfirmTicks,2,2,strategy_or_execution_parameter,UNCHANGED
InpResearchPeriod,2025-03-01_TO_2025-04-01,2025-03-01_TO_2025-04-01,strategy_or_execution_parameter,UNCHANGED
InpResumeCheckpoint,,,strategy_or_execution_parameter,UNCHANGED
InpResumeCursorMsc,0,0,strategy_or_execution_parameter,UNCHANGED
InpResumeLastEventSequence,-1,-1,strategy_or_execution_parameter,UNCHANGED
InpResumeRun,false,false,strategy_or_execution_parameter,UNCHANGED
InpRewardRisk,1.2,1.2,strategy_or_execution_parameter,UNCHANGED
InpRunId,tickshock_step14_realizable_202503,tickshock_step14r3_realizable_202503_20260825,provenance_or_evidence,ALLOWED_PROVENANCE_CHANGE
InpSchemaVersion,tickshock-event-v1,tickshock-event-v1,strategy_or_execution_parameter,UNCHANGED
InpShadowExitSlippageTicks,1.0,1.0,strategy_or_execution_parameter,UNCHANGED
InpShadowSlippageTicks,1.0,1.0,strategy_or_execution_parameter,UNCHANGED
InpShockPercentile,99.5,99.5,strategy_or_execution_parameter,UNCHANGED
InpSourceCommit,d25d2e655b585ca9c1b84d5041690531e07f4dc3,d454622786795a85c21e16a4d154440eef80b48f,provenance_or_evidence,ALLOWED_PROVENANCE_CHANGE
InpSubmitLatencyMs,0,0,strategy_or_execution_parameter,UNCHANGED
InpSymbols,"EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF","EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF",strategy_or_execution_parameter,UNCHANGED
InpTesterModel,REAL_TICKS_MODEL_4,REAL_TICKS_MODEL_4,strategy_or_execution_parameter,UNCHANGED
InpTokyoEndHour,9,9,strategy_or_execution_parameter,UNCHANGED
InpTokyoStartHour,0,0,strategy_or_execution_parameter,UNCHANGED
