scope,cost_pips,trades,win_rate,expectancy_r,total_r,expectancy_pips,total_pips,pf,maxdd_r,long,short,tp,sl,timeout,gross_expectancy_r,max_day_profit_share,top5_removed_total_r,mean_hold_seconds,timeout_rate,clusters,days,predicted_ev,longest_loss_streak
DEVELOPMENT,0,880,0.49090909090909,-0.0092578526950761,-8.146910371667,-0.05659090909093,-49.800000000018,0.96046851767184,17.783495314808,608,272,77,68,735,-0.0092578526950761,0.093041981770738,-13.146910371667,1230.4659920455,0.83522727272727,880,62,0.13239115064379,9
DEVELOPMENT,0.1,880,0.48863636363636,-0.014471515906847,-12.734933998026,-0.15659090909093,-137.80000000002,0.93889230299747,19.237897479987,608,272,77,68,735,-0.0092578526950761,0.094642477778298,-17.723054362829,1230.4659920455,0.83522727272727,880,62,0.13239115064379,9
DEVELOPMENT,0.2,880,0.48409090909091,-0.019685179118619,-17.322957624384,-0.25659090909093,-225.80000000002,0.91779838787247,22.393179134975,608,272,77,68,735,-0.0092578526950761,0.096322975669198,-22.299198353991,1230.4659920455,0.83522727272727,880,62,0.13239115064379,9
DEVELOPMENT,0.4,880,0.48068181818182,-0.030112505542161,-26.499004877102,-0.45659090909093,-401.80000000002,0.87701025020461,30.756373364151,608,272,77,68,735,-0.0092578526950761,0.10065379346958,-31.451486336314,1230.4659920455,0.83522727272727,880,62,0.13239115064379,9
DEVELOPMENT,0.5,880,0.47613636363636,-0.035326168753932,-31.08702850346,-0.55659090909093,-489.80000000002,0.85728814442056,34.945636127496,608,272,77,68,735,-0.0092578526950761,0.10394416727835,-36.027630327476,1230.4659920455,0.83522727272727,880,62,0.13239115064379,9
DEVELOPMENT,1,880,0.45681818181818,-0.061394484812788,-54.027146635254,-1.0565909090909,-929.80000000002,0.76517396006573,56.752241920602,608,272,77,68,735,-0.0092578526950761,0.12649806563808,-58.908350283285,1230.4659920455,0.83522727272727,880,62,0.13239115064379,9
HOLDOUT,0,140,0.47142857142857,-0.014553764664964,-2.037527053095,-0.095,-13.3,0.94353704513372,14.753236160623,32,108,14,17,109,-0.014553764664964,0.11300198132413,-7.037527053095,814.17025714286,0.77857142857143,140,36,0.045000143582254,5
HOLDOUT,0.1,140,0.47142857142857,-0.01959832735127,-2.7437658291778,-0.195,-27.3,0.9247547764272,14.989686105015,32,108,14,17,109,-0.014553764664964,0.11389832634292,-7.7240976846603,814.17025714286,0.77857142857143,140,36,0.045000143582254,5
HOLDOUT,0.2,140,0.47142857142857,-0.024642890037575,-3.4500046052606,-0.295,-41.3,0.90635815253959,15.226136049406,32,108,14,17,109,-0.014553764664964,0.11483038677553,-8.4106683162256,814.17025714286,0.77857142857143,140,36,0.045000143582254,5
HOLDOUT,0.4,140,0.46428571428571,-0.034732015410187,-4.8624821574261,-0.495,-69.3,0.87070173869299,15.699035938189,32,108,14,17,109,-0.014553764664964,0.11681054684233,-9.7838095793562,814.17025714286,0.77857142857143,140,36,0.045000143582254,5
HOLDOUT,0.5,140,0.46428571428571,-0.039776578096492,-5.5687209335089,-0.595,-83.3,0.8534263025311,15.935485882581,32,108,14,17,109,-0.014553764664964,0.1178635640445,-10.470380210922,814.17025714286,0.77857142857143,140,36,0.045000143582254,5
HOLDOUT,1,140,0.45714285714286,-0.06499939152802,-9.0999148139228,-1.095,-153.3,0.77213867553392,17.117735604538,32,108,14,17,109,-0.014553764664964,0.12300391996872,-13.903233368748,814.17025714286,0.77857142857143,140,36,0.045000143582254,5
