scope,cluster_kind,clusters,resamples,low,high,mean,warning
DEVELOPMENT,market_cluster,880,2500,-0.057264273813224,0.016419161946325,-0.019685179118619,SELECTION_BIAS_NOT_CORRECTED
DEVELOPMENT,day,62,2500,-0.055197910806832,0.016491898009363,-0.019685179118619,SELECTION_BIAS_NOT_CORRECTED
HOLDOUT,market_cluster,140,2500,-0.12986406926808,0.074049024166397,-0.024642890037575,PREVIOUSLY_OBSERVED_PERIOD_NOT_PRISTINE_OOS
HOLDOUT,day,36,2500,-0.13688147059466,0.087809352487582,-0.024642890037575,PREVIOUSLY_OBSERVED_PERIOD_NOT_PRISTINE_OOS
