month,model,trades,win_rate,expectancy_r,total_r,expectancy_pips,total_pips,pf,maxdd_r,long,short,tp,sl,timeout,gross_expectancy_r,max_day_profit_share,top5_removed_total_r,mean_hold_seconds,timeout_rate,clusters,days,predicted_ev,longest_loss_streak
202502,PREVIOUS_SIX_SYMBOL_MODEL_USDJPY_ONLY_PORTFOLIO,154,0.51948051948052,-0.0028551424031096,-0.43969193007887,-0.040909090909032,-6.299999999991,0.98742248945041,5.9670232291518,26,128,11,15,128,0.010169084066305,0.2272670952561,-5.3839952630639,841.70287662338,0.83116883116883,154,19,0.028904799674436,6
202503,PREVIOUS_SIX_SYMBOL_MODEL_USDJPY_ONLY_PORTFOLIO,159,0.57861635220126,0.06066696306526,9.6460471273763,1.3622641509434,216.60000000001,1.2996300642278,5.6073565553338,21,138,23,12,124,0.073493098735925,0.20217293525779,4.6843671024877,826.24738993711,0.77987421383648,159,20,0.0065486428994651,8
202504,PREVIOUS_SIX_SYMBOL_MODEL_USDJPY_ONLY_PORTFOLIO,109,0.52293577981651,0.0012407286291343,0.13523942057564,0.42201834862387,46.000000000002,1.005409524305,11.314755194368,30,79,6,12,91,0.010164624950413,0.19039581845442,-4.8148141730165,844.14447706422,0.8348623853211,109,21,0.0071106468435679,5
