feature,normalized,interaction
m1_m15_atr_ratio,0.061662345923235,True
m5_shock_x_macd_hist_atr,0.025093130315355,True
m1_m5_atr_ratio,0.021840818126793,True
m5_m15_macd_hist_product,0.021663829127144,True
m1_body_x_tick_activity,0.017789806592633,True
m15_rsi14_x_adx14,0.015133060427205,True
m15_body_x_tick_activity,0.010842419321135,True
m1_ema20_gap_x_rsi14,0.0093618674514005,True
m5_shock_x_roc5_atr,0.0092286255715569,True
m15_shock_x_macd_hist_atr,0.0089885823035984,True
m1_m15_macd_hist_product,0.006347527769307,True
m1_shock_x_macd_hist_atr,0.0047068615655767,True
m5_shock_x_range20_signed_efficiency,0.0043142724952745,True
m5_m15_atr_ratio,0.00283542271205,True
m1_m15_ema20_slope_product,0.0025997638025268,True
m1_m5_ema20_slope_product,0.0013019274930805,True
m5_ema20_gap_x_rsi14,0.0011717728832035,True
m15_shock_x_range20_signed_efficiency,0.0011711631828998,True
m1_macd_hist_x_atr_expansion,0.00097081085158201,True
m1_ema_alignment_x_rsi14,0.00066707451697286,True
m1_m15_rsi_x_trend,0.0003462256890413,True
m15_shock_x_ema20_50_gap_atr,0.00024882896183859,True
m1_shock_x_roc5_atr,0.00022445981788211,True
m5_shock_x_ema20_price_gap_atr,0,True
m15_shock_x_di_balance,0,True
m15_shock_x_ema20_price_gap_atr,0,True
m15_shock_x_roc5_atr,0,True
m15_shock_x_rsi14_centered,0,True
m15_ema20_gap_x_rsi14,0,True
m15_ema20_slope_x_adx,0,True
m1_ema20_slope_x_adx,0,True
m1_m15_alignment_product,0,True
m1_m15_rsi14_difference,0,True
m1_m5_alignment_product,0,True
m1_m5_macd_hist_product,0,True
m1_m5_rsi14_difference,0,True
m1_m5_rsi_x_trend,0,True
m1_rsi14_x_adx14,0,True
m1_shock_x_di_balance,0,True
m1_shock_x_ema20_50_gap_atr,0,True
m1_shock_x_ema20_price_gap_atr,0,True
m1_shock_x_range20_signed_efficiency,0,True
m1_shock_x_rsi14_centered,0,True
m15_ema_alignment_x_rsi14,0,True
m15_macd_hist_x_atr_expansion,0,True
m5_body_x_tick_activity,0,True
m5_ema20_slope_x_adx,0,True
m5_ema_alignment_x_rsi14,0,True
m5_m15_alignment_product,0,True
m5_m15_ema20_slope_product,0,True
m5_m15_rsi14_difference,0,True
m5_m15_rsi_x_trend,0,True
m5_macd_hist_x_atr_expansion,0,True
m5_rsi14_x_adx14,0,True
m5_shock_x_rsi14_centered,0,True
m5_shock_x_di_balance,0,True
m5_shock_x_ema20_50_gap_atr,0,True
