distance_index,distance_atr,direction,trades,win_rate,expectancy_r,total_r,expectancy_pips,total_pips,pf,maxdd_r,long,short,tp,sl,timeout,gross_expectancy_r,max_day_profit_share,top5_removed_total_r,positive_segments,min_segment_trades,distance_p10,distance_p50,distance_p90,entry_spread_p10,entry_spread_p50,entry_spread_p90,tp_touch_seconds_p10,tp_touch_seconds_p50,tp_touch_seconds_p90,sl_touch_seconds_p10,sl_touch_seconds_p50,sl_touch_seconds_p90,mfe_60_p10,mfe_60_p50,mfe_60_p90,mae_60_p10,mae_60_p50,mae_60_p90,mfe_300_p10,mfe_300_p50,mfe_300_p90,mae_300_p10,mae_300_p50,mae_300_p90,mfe_900_p10,mfe_900_p50,mfe_900_p90,mae_900_p10,mae_900_p50,mae_900_p90,distance_spread_p10,distance_spread_p50
1,0.5,-1,3492,0.45933562428408,-0.1072174390063,-374.40329701001,-0.45163230240554,-1577.1000000001,0.80887253976244,383.35714316386,0,3492,1572,1856,64,-0.1072174390063,0.14727719420322,-379.40329701001,0,621,0.029,0.043,0.076,0.001,0.005,0.007,41.8051,204.676,640.2621,27.0329,157.8335,597.7659,0,0.012,0.05,0.006,0.019,0.056,0,0.033,0.113,0.009,0.041,0.1159,0.006,0.063,0.193,0.014,0.067,0.192,5,10.183333333333
1,0.5,1,3492,0.44558991981672,-0.13382963343345,-467.33307994962,-0.5876288659794,-2052.0000000001,0.76650966689883,473.49492913243,3492,0,1522,1905,65,-0.13382963343345,0.26012100820309,-472.33307994962,0,621,0.029,0.043,0.076,0.001,0.005,0.007,40.1059,201.3825,634.433,25.623,160.198,588.781,0,0.011,0.047,0.006,0.021,0.059,0,0.032,0.1079,0.008,0.042,0.122,0.005,0.059,0.183,0.015,0.071,0.202,5,10.183333333333
2,0.75,-1,3526,0.46710153148043,-0.077664232491318,-273.84408376439,-0.49083947816224,-1730.7000000001,0.84733674271528,283.21963250714,0,3526,1438,1659,429,-0.077664232491318,0.1430625741977,-278.84408376439,0,629,0.042,0.065,0.113,0.001,0.005,0.007,74.586,297.067,707.77,57.4648,256.459,699.6536,0,0.012,0.05,0.006,0.019,0.056,0,0.033,0.113,0.009,0.04,0.115,0.006,0.063,0.193,0.014,0.067,0.192,7.2857142857143,15
2,0.75,1,3526,0.46114577424844,-0.099119008361505,-349.49362348267,-0.58990357345435,-2080,0.80907378467308,355.83833155032,3526,0,1404,1693,429,-0.099119008361505,0.12282078410473,-354.49362348267,0,629,0.042,0.065,0.113,0.001,0.005,0.007,79.9346,308.641,734.5254,55.6442,260.429,696.6212,0,0.011,0.047,0.006,0.02,0.059,0,0.032,0.107,0.008,0.042,0.122,0.005,0.058,0.183,0.015,0.071,0.202,7.2857142857143,15
3,1,-1,3535,0.48062234794908,-0.044292461389117,-156.57385101053,-0.3680339462518,-1301.0000000001,0.89849893244257,161.9901196158,0,3535,1212,1307,1016,-0.044292461389117,0.1161747984849,-161.57385101053,0,633,0.056,0.086,0.15,0.0014,0.005,0.007,112.841,397.7285,763.538,89.2374,366.99,757.9841,0,0.012,0.05,0.006,0.019,0.056,0,0.033,0.113,0.009,0.04,0.115,0.006,0.063,0.1926,0.014,0.067,0.1916,9.5714285714286,20
3,1,1,3535,0.46562942008487,-0.079941460927368,-282.59306437825,-0.64930693069306,-2295.3,0.82333956458365,290.18956659143,3535,0,1116,1372,1047,-0.079941460927368,0.10457021176608,-287.59306437825,0,633,0.056,0.086,0.15,0.0014,0.005,0.007,111.143,397.836,765.448,85.6413,350.2875,752.1775,0,0.011,0.047,0.006,0.02,0.059,0,0.032,0.107,0.008,0.042,0.122,0.005,0.058,0.183,0.015,0.071,0.2016,9.5714285714286,20
4,1.5,-1,3544,0.49012415349887,-0.017589363425413,-62.336703979663,-0.18891083521446,-669.50000000005,0.94388210189268,74.895387452586,0,3544,654,687,2203,-0.017589363425413,0.086602844768613,-67.336703979663,0,635,0.084,0.129,0.225,0.002,0.005,0.007,157.666,505.038,815.7184,142.7336,492.624,818.0096,0,0.012,0.05,0.006,0.019,0.056,0,0.033,0.113,0.009,0.0405,0.1157,0.006,0.063,0.192,0.014,0.067,0.192,14.285714285714,29.916666666667
4,1.5,1,3544,0.46698645598194,-0.068131893570599,-241.4594308142,-0.85104401805871,-3016.1000000001,0.80061330894952,249.25224373804,3544,0,588,766,2190,-0.068131893570599,0.11273922070653,-246.4594308142,0,635,0.084,0.129,0.225,0.002,0.005,0.007,158.3537,518.3725,821.4692,142.1796,474.2225,813.6551,0,0.011,0.047,0.006,0.021,0.059,0,0.032,0.107,0.008,0.042,0.122,0.005,0.058,0.183,0.015,0.071,0.201,14.285714285714,29.916666666667
5,2,-1,3552,0.48733108108108,-0.014455245707483,-51.345032752979,-0.25591216216218,-909.00000000008,0.94034234353609,66.119953092207,0,3552,329,351,2872,-0.014455245707483,0.088095657226634,-56.345032752979,1,635,0.112,0.171,0.3,0.002,0.005,0.007,172.034,542.9755,841.1775,147.8513,529.2345,844.2157,0,0.012,0.05,0.006,0.02,0.056,0,0.033,0.113,0.009,0.041,0.116,0.005,0.0625,0.192,0.014,0.067,0.192,18.858928571429,39.690476190476
5,2,1,3552,0.46762387387387,-0.051920038832838,-184.41997793424,-0.78865427927928,-2801.3,0.80187831696859,190.93732950054,3552,0,292,389,2871,-0.051920038832838,0.12270474953234,-189.41997793424,0,635,0.112,0.171,0.3,0.002,0.005,0.007,168.1868,532.827,836.3816,158.9124,538.977,839.8764,0,0.011,0.047,0.006,0.021,0.0599,0,0.032,0.107,0.008,0.042,0.122,0.005,0.058,0.183,0.015,0.071,0.201,18.858928571429,39.690476190476
