family,month,geometry,variant,scope,feature,fit_quantile,feature_value,direction,subsample_rows,mean_predicted_ev,mean_raw_prediction
ELASTICNET,202502,5,FULL486,MODEL_RESPONSE_ONLY_CORRELATED_FEATURE_COMBINATIONS_MAY_BE_UNREALISTIC,m1_m5_atr_ratio,0.1,0.3060926556425,1,256,0.086637053425942,0.086637053425942
ELASTICNET,202502,5,FULL486,MODEL_RESPONSE_ONLY_CORRELATED_FEATURE_COMBINATIONS_MAY_BE_UNREALISTIC,m1_m5_atr_ratio,0.1,0.3060926556425,-1,256,-0.132157321831,-0.132157321831
ELASTICNET,202502,5,FULL486,MODEL_RESPONSE_ONLY_CORRELATED_FEATURE_COMBINATIONS_MAY_BE_UNREALISTIC,m1_m5_atr_ratio,0.3,0.3672004421765,1,256,0.024368193096981,0.024368193096981
ELASTICNET,202502,5,FULL486,MODEL_RESPONSE_ONLY_CORRELATED_FEATURE_COMBINATIONS_MAY_BE_UNREALISTIC,m1_m5_atr_ratio,0.3,0.3672004421765,-1,256,-0.092501053486916,-0.092501053486916
ELASTICNET,202502,5,FULL486,MODEL_RESPONSE_ONLY_CORRELATED_FEATURE_COMBINATIONS_MAY_BE_UNREALISTIC,m1_m5_atr_ratio,0.5,0.412947561252,1,256,-0.022248140593647,-0.022248140593647
ELASTICNET,202502,5,FULL486,MODEL_RESPONSE_ONLY_CORRELATED_FEATURE_COMBINATIONS_MAY_BE_UNREALISTIC,m1_m5_atr_ratio,0.5,0.412947561252,-1,256,-0.062813183365532,-0.062813183365532
ELASTICNET,202502,5,FULL486,MODEL_RESPONSE_ONLY_CORRELATED_FEATURE_COMBINATIONS_MAY_BE_UNREALISTIC,m1_m5_atr_ratio,0.7,0.460438258318,1,256,-0.070641180994192,-0.070641180994192
ELASTICNET,202502,5,FULL486,MODEL_RESPONSE_ONLY_CORRELATED_FEATURE_COMBINATIONS_MAY_BE_UNREALISTIC,m1_m5_atr_ratio,0.7,0.460438258318,-1,256,-0.031993807742281,-0.031993807742281
ELASTICNET,202502,5,FULL486,MODEL_RESPONSE_ONLY_CORRELATED_FEATURE_COMBINATIONS_MAY_BE_UNREALISTIC,m1_m5_atr_ratio,0.9,0.5468467898285,1,256,-0.15869151115734,-0.15869151115734
ELASTICNET,202502,5,FULL486,MODEL_RESPONSE_ONLY_CORRELATED_FEATURE_COMBINATIONS_MAY_BE_UNREALISTIC,m1_m5_atr_ratio,0.9,0.5468467898285,-1,256,0.02408153236011,0.02408153236011
