family,month,geometry,variant,scope,direction,feature,importance,kind
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,quote_mid,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,quote_spread,0.0025230639698089,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,shock_direction,0.0027733073476249,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_atr7,0.018921790817417,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_atr14,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_atr28,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_atr14_price,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_atr7_atr28,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_atr14_pct64,0.042175025497294,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_atr14_z64,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_atr14_change3,0.021180302136103,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_spread_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_tick_volume,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_tick_volume_rel20,0.020055805744695,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_tick_volume_pct64,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_body_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_upper_wick_atr,0.0025306568148416,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_lower_wick_atr,0.012380313461673,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_bar_range_atr,0.0077580544932821,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_bar_close_location,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema5_value,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema5_price_gap_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema5_close_gap_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema5_slope1_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema5_slope3_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema5_accel_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema5_gap_pct64,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema5_gap_z64,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema5_sma_gap_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_sma5_value,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_sma5_price_gap_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_sma5_slope1_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_sma5_slope3_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_sma5_gap_pct64,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema10_value,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema10_price_gap_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema10_close_gap_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema10_slope1_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema10_slope3_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema10_accel_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema10_gap_pct64,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema10_gap_z64,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema10_sma_gap_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_sma10_value,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_sma10_price_gap_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_sma10_slope1_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_sma10_slope3_atr,0.0051623978702018,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_sma10_gap_pct64,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema20_value,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema20_price_gap_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema20_close_gap_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema20_slope1_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema20_slope3_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema20_accel_atr,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema20_gap_pct64,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema20_gap_z64,0,ABS_STANDARDIZED_COEFFICIENT
ELASTICNET,202502,5,FULL486,SELECTED_FORWARD,1,m1_ema20_sma_gap_atr,0,ABS_STANDARDIZED_COEFFICIENT
