task,policy,metric,expected,actual,status
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0,trades,623,623,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0,tp,283,283,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0,sl,327,327,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0,timeout,13,13,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0,total_r,-90.835408132491,-90.835408132482,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0,expectancy_r,-0.14580322332663,-0.14580322332662,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0,pf,0.74863650660256,0.74863650660257,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0,maxdd_r,90.835408132491,90.835408132482,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05,trades,545,545,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05,tp,246,246,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05,sl,287,287,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05,timeout,12,12,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05,total_r,-83.214384354267,-83.214384354258,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05,expectancy_r,-0.1526869437693,-0.15268694376928,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05,pf,0.73847176047712,0.73847176047715,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.05,maxdd_r,83.214384354267,83.214384354258,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1,trades,478,478,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1,tp,213,213,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1,sl,256,256,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1,timeout,9,9,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1,total_r,-80.900594758672,-80.900594758665,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1,expectancy_r,-0.16924810618969,-0.16924810618968,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1,pf,0.71549968740288,0.7154996874029,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ABS_0.1,maxdd_r,80.900594758672,80.900594758665,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL,trades,919,919,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL,tp,421,421,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL,sl,482,482,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL,timeout,16,16,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL,total_r,-132.65100761801,-132.651007618,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL,expectancy_r,-0.14434277216323,-0.14434277216322,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL,pf,0.75152572150377,0.75152572150378,PASS
ELASTICNET__NET_R__FULL486__g1__m202502,ALL,maxdd_r,133.62361035774,133.62361035773,PASS
