episode_id,direction,score,long_score,short_score,symbol,market_cluster_id,t0_msc,signal_processing_msc,distance_index,distance_atr,atr14_m5,entry_msc,entry_bid,entry_ask,entry_price,entry_spread,pip_size,tick_size,stops_distance,distance,sl,tp,status,exit_msc,exit_price,gross_pips,gross_r,mfe_60,mae_60,mfe_300,mae_300,mfe_900,mae_900,tp_touch_seconds,sl_touch_seconds,entry_eligible_msc,source_quote_msc,month,calendar_segment
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_2,1,0.19853800135134,0.19853800135134,-0.12273315537369,USDJPY,tstech_real_202501_202506_20260910_202502:17,1738553042750,1738553043241,5,2,0.140875404068,1738553043411,155.811,155.818,155.818,0.007,0.01,0.001,0,0.282,155.536,156.1,TIME,1738553943947,155.747,-7.1,-0.251773049645,0.015,0.026,0.015,0.084,0.015,0.134,,,1738553043241,1738553042708,202502,1
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_3,1,0.17933990581149,0.17933990581149,-0.16344874569106,USDJPY,tstech_real_202501_202506_20260910_202502:18,1738554099000,1738554100214,5,2,0.12859353955,1738554100216,155.693,155.7,155.7,0.007,0.01,0.001,0,0.258,155.442,155.958,TIME,1738555001077,155.69,-0.999999999999,-0.038759689922,0.005,0.017,0.042,0.052,0.096,0.052,,,1738554100214,1738554098945,202502,1
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_6,-1,0.12090686441242,-0.26838446875469,0.12090686441242,USDJPY,tstech_real_202501_202506_20260910_202502:24,1738603965250,1738603965410,5,2,0.181781894666,1738603965484,154.805,154.809,154.805,0.004,0.01,0.001,0,0.364,155.169,154.441,TIME,1738604865821,154.743,6.200000000001,0.17032967033,0.011,0.063,0.224,0.063,0.224,0.063,,,1738603965410,1738603964982,202502,1
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_7,-1,0.12902684332862,-0.1367197033855,0.12902684332862,USDJPY,tstech_real_202501_202506_20260910_202502:30,1738604955000,1738604955008,5,2,0.179424497681,1738604955083,154.679,154.681,154.679,0.002,0.01,0.001,0,0.359,155.038,154.32,TIME,1738605855925,154.743,-6.399999999999,-0.178272980501,0.122,0.009,0.122,0.065,0.122,0.19,,,1738604955008,1738604954799,202502,1
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_10,1,0.1544313646816,0.1544313646816,-0.20178347949353,USDJPY,tstech_real_202501_202506_20260910_202502:55,1738609844250,1738609844688,5,2,0.128767207039,1738609844689,154.595,154.601,154.601,0.006,0.01,0.001,0,0.258,154.343,154.859,TIME,1738610744879,154.655,5.4,0.209302325581,0.019,0.012,0.027,0.025,0.079,0.025,,,1738609844688,1738609844186,202502,1
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_13,-1,0.22181146382963,-0.33904117099947,0.22181146382963,USDJPY,tstech_real_202501_202506_20260910_202502:77,1738631399000,1738631400079,5,2,0.070975637745,1738631400082,154.966,154.973,154.966,0.007,0.01,0.001,0,0.142,155.108,154.824,SL,1738631870057,155.108,-14.2,-1,0.004,0.035,0.019,0.119,0.019,0.23,,469.975,1738631400079,1738631398509,202502,1
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_18,-1,0.11429033786909,-0.26728235203717,0.11429033786909,USDJPY,tstech_real_202501_202506_20260910_202502:90,1738638937250,1738638937626,5,2,0.082258584945,1738638937626,155.179,155.186,155.179,0.007,0.01,0.001,0,0.165,155.344,155.014,TIME,1738639839109,155.255,-7.599999999999,-0.460606060606,0.028,0.043,0.028,0.062,0.028,0.118,,,1738638937626,1738638937125,202502,1
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_35,1,0.15423575821325,0.15423575821325,-0.16636841015459,USDJPY,tstech_real_202501_202506_20260910_202502:184,1738688396250,1738688396753,5,2,0.071766346917,1738688398662,155.029,155.032,155.032,0.003,0.01,0.001,0,0.144,154.888,155.176,SL,1738688413652,154.871,-16.1,-1.118055555556,0,0.273,0,0.372,0,0.424,,14.99,1738688396753,1738688396250,202502,1
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_38,1,0.14098138163931,0.14098138163931,-0.23729595394249,USDJPY,tstech_real_202501_202506_20260910_202502:203,1738696647500,1738696647704,5,2,0.080202314672,1738696647705,154.53,154.536,154.536,0.006,0.01,0.001,0,0.161,154.375,154.697,TIME,1738697549016,154.428,-10.8,-0.670807453416,0.01,0.041,0.019,0.081,0.019,0.143,,,1738696647704,1738696647407,202502,1
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_39,1,0.20736059992027,0.20736059992027,-0.23391513573546,USDJPY,tstech_real_202501_202506_20260910_202502:206,1738698626000,1738698626979,5,2,0.091706173328,1738698626991,154.316,154.322,154.322,0.006,0.01,0.001,0,0.184,154.138,154.506,TIME,1738699527084,154.275,-4.7,-0.255434782609,0.016,0.007,0.02,0.031,0.02,0.071,,,1738698626979,1738698625886,202502,1
