family,month,geometry,variant,scope,direction,feature,mean_abs_shap,mean_signed_shap,unit,rows,baseline_mean
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,quote_mid,0.0029499241756368,0.0029351888363535,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,quote_spread,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,shock_direction,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_atr7,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_atr14,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_atr28,0.0017993724007372,0.0011142540082209,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_atr14_price,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_atr7_atr28,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_atr14_pct64,0.0064961369697739,0.0012811258994421,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_atr14_z64,0.00168778188368,0.0001786460158619,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_atr14_change3,0.0020045510671848,-6.6489472627072e-05,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_spread_atr,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_tick_volume,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_tick_volume_rel20,0.011995309980644,-0.00043421055263423,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_tick_volume_pct64,0.0018042556184016,8.7105828727524e-05,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_body_atr,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_upper_wick_atr,0.0055235954095404,-0.00041399276343447,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_lower_wick_atr,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_bar_range_atr,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_bar_close_location,0.00091533802984511,0.000173949017344,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_ema5_value,0.0035441448150734,0.0035101338867804,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_ema5_price_gap_atr,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_ema5_close_gap_atr,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_ema5_slope1_atr,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_ema5_slope3_atr,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_ema5_accel_atr,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_ema5_gap_pct64,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_ema5_gap_z64,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_ema5_sma_gap_atr,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_sma5_value,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_sma5_price_gap_atr,0.0024983632391097,0.00033015770054588,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_sma5_slope1_atr,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_sma5_slope3_atr,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_sma5_gap_pct64,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_ema10_value,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_ema10_price_gap_atr,0,0,NET_R,512,-0.093339277507245
LIGHTGBM,202502,5,FULL486,NATIVE_TREE_SHAP_MODEL_ATTRIBUTION_NOT_CAUSAL,1,m1_ema10_close_gap_atr,0,0,NET_R,512,-0.093339277507245
