episode_id,direction,score,long_score,short_score,symbol,market_cluster_id,t0_msc,signal_processing_msc,distance_index,distance_atr,atr14_m5,entry_msc,entry_bid,entry_ask,entry_price,entry_spread,pip_size,tick_size,stops_distance,distance,sl,tp,status,exit_msc,exit_price,gross_pips,gross_r,mfe_60,mae_60,mfe_300,mae_300,mfe_900,mae_900,tp_touch_seconds,sl_touch_seconds,entry_eligible_msc,source_quote_msc,month,calendar_segment,actual_hold_seconds
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_215,1,0.20296755782047,0.20296755782047,-0.35225504455519,USDJPY,tstech_real_202501_202506_20260910_202502:1283,1739175093250,1739175096081,5,2,0.051407443078,1739175096582,151.852,151.859,151.859,0.007,0.01,0.001,0,0.103,151.756,151.962,TIME,1739176002548,151.86,0.1,0.009708737864,0,0.02,0.008,0.048,0.024,0.048,,,1739175096081,1739175093155,202502,1,905.966
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_232,-1,0.14926121152259,-0.27209989068105,0.14926121152259,USDJPY,tstech_real_202501_202506_20260910_202502:1335,1739242465000,1739242466107,5,2,0.049245367647,1739242466140,151.811,151.818,151.811,0.007,0.01,0.001,0,0.099,151.91,151.712,TIME,1739243376276,151.885,-7.399999999998,-0.747474747475,0.051,0.021,0.051,0.037,0.051,0.088,,,1739242466107,1739242464933,202502,1,910.136
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_283,1,0.21867142233383,0.21867142233383,-0.26914777733893,USDJPY,tstech_real_202501_202506_20260910_202502:1501,1739360663000,1739360664752,5,2,0.074260417694,1739360664775,153.513,153.519,153.519,0.006,0.01,0.001,0,0.149,153.37,153.668,TIME,1739361572455,153.536,1.7,0.114093959732,0.026,0.007,0.051,0.007,0.051,0.039,,,1739360664752,1739360662567,202502,1,907.68
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_356,-1,0.13672095401136,-0.25052624347807,0.13672095401136,USDJPY,tstech_real_202501_202506_20260910_202502:1885,1739504384500,1739504387159,5,2,0.10722660034,1739504387359,152.495,152.502,152.495,0.007,0.01,0.001,0,0.215,152.71,152.28,TIME,1739505293680,152.545,-4.999999999998,-0.232558139535,0.024,0.009,0.044,0.056,0.044,0.081,,,1739504387159,1739504384137,202502,1,906.321
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_380,1,0.15293760306807,0.15293760306807,-0.22435240988088,USDJPY,tstech_real_202501_202506_20260910_202502:1999,1739536626750,1739536628091,5,2,0.072055724106,1739536628596,152.529,152.535,152.535,0.006,0.01,0.001,0,0.145,152.39,152.68,TIME,1739537536261,152.545,0.999999999999,0.068965517241,0.005,0.008,0.054,0.008,0.054,0.021,,,1739536628091,1739536626581,202502,1,907.665
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_543,1,0.11187789916053,0.11187789916053,-0.23081428339444,USDJPY,tstech_real_202501_202506_20260910_202502:2842,1740039609000,1740039610686,5,2,0.076461893763,1740039610844,150.184,150.191,150.191,0.007,0.01,0.001,0,0.153,150.038,150.344,TIME,1740040517376,150.215,2.4,0.156862745098,0.012,0.011,0.012,0.056,0.036,0.087,,,1740039610686,1740039608886,202502,1,906.532
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_624,1,0.20115154228962,0.20115154228962,-0.1608826477371,USDJPY,tstech_real_202501_202506_20260910_202502:3599,1740160963750,1740160963990,5,2,0.088454620349,1740160963990,149.592,149.595,149.595,0.003,0.01,0.001,0,0.177,149.418,149.772,TIME,1740161869016,149.606,1.1,0.062146892655,0.026,0.004,0.026,0.06,0.026,0.105,,,1740160963990,1740160963488,202502,1,905.026
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_637,-1,0.12231185951416,-0.44998675109512,0.12231185951416,USDJPY,tstech_real_202501_202506_20260910_202502:3658,1740181708250,1740181708873,5,2,0.047060040418,1740181709948,149.308,149.328,149.308,0.02,0.01,0.001,0,0.095,149.403,149.213,SL,1740355202543,149.503,-19.499999999999,-2.052631578947,0.024,0.023,0.024,0.053,0.024,0.195,,173492.595,1740181708873,1740181707836,202502,1,173492.595
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_673,1,0.16044031824356,0.16044031824356,-0.25486256240698,USDJPY,tstech_real_202501_202506_20260910_202502:3935,1740402273250,1740402274570,5,2,0.055472653836,1740402274570,149.682,149.688,149.688,0.006,0.01,0.001,0,0.111,149.577,149.799,TIME,1740403179681,149.703,1.500000000001,0.135135135135,0.016,0.009,0.067,0.009,0.067,0.009,,,1740402274570,1740402273166,202502,1,905.111
tstech_real_202501_202506_20260910_202502:tstech_real_202501_202506_20260910_202502_USDJPY_mh_696,1,0.12605425360766,0.12605425360766,-0.269822095756,USDJPY,tstech_real_202501_202506_20260910_202502:4038,1740434416500,1740434420171,5,2,0.061159200694,1740434420173,149.631,149.635,149.635,0.004,0.01,0.001,0,0.123,149.512,149.758,TIME,1740435326063,149.654,1.900000000001,0.154471544715,0.023,0.004,0.034,0.004,0.034,0.02,,,1740434420171,1740434416452,202502,1,905.89
tstech_real_202501_202506_20260910_202503:tstech_real_202501_202506_20260910_202503_USDJPY_mh_98,1,0.099408567325895,0.099408567325895,-0.14433826413087,USDJPY,tstech_real_202501_202506_20260910_202503:1400,1741131845000,1741131845194,5,2,0.13142447111,1741131845194,149.735,149.742,149.742,0.007,0.01,0.001,0,0.263,149.479,150.005,TIME,1741132800132,149.708,-3.399999999999,-0.12927756654,0.033,0.017,0.136,0.017,0.136,0.034,,,1741131845194,1741131844993,202503,2,954.938
tstech_real_202501_202506_20260910_202503:tstech_real_202501_202506_20260910_202503_USDJPY_mh_103,1,0.10006400685121,0.10006400685121,-0.20456769675338,USDJPY,tstech_real_202501_202506_20260910_202503:1427,1741138540750,1741138564348,5,2,0.088992568407,1741138565657,149.786,149.795,149.795,0.009,0.01,0.001,0,0.178,149.617,149.973,TIME,1741139480735,149.696,-9.899999999999,-0.556179775281,0,0.057,0,0.077,0,0.153,,,1741138564348,1741138540364,202503,2,915.078
tstech_real_202501_202506_20260910_202503:tstech_real_202501_202506_20260910_202503_USDJPY_mh_181,1,0.070714689539219,0.070714689539219,-0.13886367539963,USDJPY,tstech_real_202501_202506_20260910_202503:2758,1741246428750,1741246432659,5,2,0.067422096525,1741246432688,149.065,149.068,149.068,0.003,0.01,0.001,0,0.135,148.933,149.203,TIME,1741247337791,149.088,1.999999999998,0.148148148148,0.005,0.011,0.056,0.03,0.056,0.03,,,1741246432659,1741246428736,202503,2,905.103
tstech_real_202501_202506_20260910_202503:tstech_real_202501_202506_20260910_202503_USDJPY_mh_608,-1,0.087886215210813,-0.24449149648001,0.087886215210813,USDJPY,tstech_real_202501_202506_20260910_202503:8605,1742193852000,1742193855239,5,2,0.058779487387,1742193855264,148.74,148.743,148.74,0.003,0.01,0.001,0,0.118,148.858,148.622,TIME,1742194767169,148.737,0.300000000001,0.025423728814,0.016,0.009,0.016,0.037,0.016,0.076,,,1742193855239,1742193851784,202503,2,911.905
tstech_real_202501_202506_20260910_202503:tstech_real_202501_202506_20260910_202503_USDJPY_mh_651,1,0.054194455662203,0.054194455662203,-0.14006504841364,USDJPY,tstech_real_202501_202506_20260910_202503:9037,1742253676000,1742253689690,5,2,0.056668928266,1742253695486,149.121,149.123,149.123,0.002,0.01,0.001,0,0.114,149.009,149.237,TIME,1742254612299,149.169,4.600000000002,0.40350877193,0.009,0.011,0.042,0.011,0.075,0.011,,,1742253689690,1742253675932,202503,2,916.813
tstech_real_202501_202506_20260910_202503:tstech_real_202501_202506_20260910_202503_USDJPY_mh_759,1,0.06261965354842,0.06261965354842,-0.11181162701445,USDJPY,tstech_real_202501_202506_20260910_202503:10361,1742428405000,1742428406625,5,2,0.090176507724,1742428406801,148.613,148.619,148.619,0.006,0.01,0.001,0,0.181,148.438,148.8,TIME,1742429312919,148.687,6.800000000001,0.375690607735,0.024,0.014,0.074,0.014,0.103,0.014,,,1742428406625,1742428404692,202503,2,906.118
tstech_real_202501_202506_20260910_202503:tstech_real_202501_202506_20260910_202503_USDJPY_mh_820,1,0.05841578528401,0.05841578528401,-0.14076124764997,USDJPY,tstech_real_202501_202506_20260910_202503:11182,1742549184000,1742549184164,5,2,0.054213520984,1742549184256,149.543,149.544,149.544,0.001,0.01,0.001,0,0.109,149.435,149.653,TIME,1742550092135,149.497,-4.7,-0.43119266055,0.001,0.017,0.001,0.044,0.001,0.108,,,1742549184164,1742549183555,202503,2,907.879
tstech_real_202501_202506_20260910_202504:tstech_real_202501_202506_20260910_202504_USDJPY_mh_205,1,0.098716929725804,0.098716929725804,-0.22532994458893,USDJPY,tstech_real_202501_202506_20260910_202504:4523,1744070217250,1744070220028,5,2,0.124923265156,1744070220029,147.829,147.853,147.853,0.024,0.01,0.001,0,0.25,147.603,148.103,TIME,1744071127164,147.837,-1.600000000002,-0.064,0,0.061,0,0.081,0.047,0.103,,,1744070220028,1744070216911,202504,3,907.135
tstech_real_202501_202506_20260910_202504:tstech_real_202501_202506_20260910_202504_USDJPY_mh_445,1,0.060986309939732,0.060986309939732,-0.33510255117597,USDJPY,tstech_real_202501_202506_20260910_202504:10879,1744415730250,1744415730364,5,2,0.076509611398,1744415730751,143.501,143.549,143.549,0.048,0.01,0.001,0,0.154,143.395,143.703,TP,1744588805195,143.703,15.4,1,0,0.105,0.329,0.105,0.329,0.105,173074.444,,1744415730364,1744415730249,202504,3,173074.444
