geometry,direction,trades,win_rate,expectancy_r,total_r,expectancy_pips,total_pips,pf,maxdd_r,long,short,tp,sl,timeout,gross_expectancy_r,max_day_profit_share,top5_removed_total_r,mean_hold_seconds,timeout_rate,clusters,days,predicted_ev,longest_loss_streak,mfe_60_atr_median,mae_60_atr_median,mfe_300_atr_median,mae_300_atr_median,mfe_900_atr_median,mae_900_atr_median,distance_spread_median,TP_hold_seconds_median,SL_hold_seconds_median,TIME_hold_seconds_median
1,-1,3492,0.45904925544101,-0.15457524716773,-539.77676310971,-0.65163230240554,-2275.5000000001,0.73663625962019,548.0792212358,0,3492,1572,1856,64,-0.1072174390063,0.22014138946955,-544.71494183243,200.92913402062,0.018327605956472,3492,85,,10,0.13935098370898,0.22452162485708,0.3751681755951,0.46270186632803,0.70439254757925,0.78087151261907,10.183333333333,148.891,119.489,900.392
1,1,3492,0.44473081328751,-0.18118744159488,-632.70654604932,-0.7876288659794,-2750.4000000001,0.6977954283467,637.27067474876,3492,0,1522,1905,65,-0.13382963343345,0.37046319623035,-637.64053750671,246.75894473081,0.018613974799542,3492,85,,13,0.12676472557119,0.23913291651709,0.35900470796156,0.4768138539084,0.67940981387553,0.80548778994363,10.183333333333,145.496,121.059,900.434
2,-1,3526,0.46596710153148,-0.1097071956664,-386.82757191973,-0.69083947816224,-2435.9000000001,0.79143186185733,395.40906793951,0,3526,1438,1659,429,-0.077664232491318,0.19046099669724,-391.78455993532,380.16805104935,0.12166761202496,3526,85,,9,0.13906084172066,0.22576225399437,0.37732001165676,0.46475252189188,0.70533928688535,0.78342764661869,15,268.637,236.144,900.484
2,1,3526,0.45745887691435,-0.13116197153659,-462.477111638,-0.78990357345435,-2785.2,0.75559311352391,468.16612407106,3526,0,1404,1693,429,-0.099119008361505,0.16033139563819,-467.43360797773,429.78833607487,0.12166761202496,3526,85,,14,0.12540857727324,0.24136324381084,0.35861561916516,0.47851875847082,0.67625283723293,0.80938726325097,15,276.333,234.922,900.475
3,-1,3535,0.47779349363508,-0.068452557284198,-241.97978999964,-0.5680339462518,-2008.0000000001,0.84755818179124,247.0076251283,0,3535,1212,1307,1016,-0.044292461389117,0.14956428295836,-246.94544882688,637.15803479491,0.28741159830269,3535,85,,10,0.13887956479821,0.22616200237651,0.37699286023181,0.46499598237838,0.70553751219198,0.78486988246539,20,384.897,351.071,900.3615
3,1,3535,0.46025459688826,-0.10410155682245,-367.99900336736,-0.84930693069306,-3002.3,0.77640472729273,374.76898642009,3535,0,1116,1372,1047,-0.079941460927368,0.13322427522611,-372.96513958209,590.46997991513,0.2961810466761,3535,85,,11,0.12567237176378,0.24209187365092,0.35866666299935,0.47927615414314,0.67951711932944,0.81129770157865,20,379.7885,338.5565,900.371
4,-1,3544,0.48645598194131,-0.033772619616727,-119.69016392168,-0.38891083521446,-1378.3000000001,0.89502688453967,126.70008326669,0,3544,654,687,2203,-0.017589363425413,0.1038698544628,-124.66487647322,938.45977878104,0.62161399548533,3544,85,,10,0.13879881884555,0.2263286850473,0.37603805485326,0.46728737556447,0.70439254757925,0.78683149194512,29.916666666667,493.786,491.469,900.35
4,1,3544,0.45965011286682,-0.084315149761913,-298.81289075622,-1.0510440180587,-3724.9,0.75941601177027,305.87807559201,3544,0,588,766,2190,-0.068131893570599,0.12924392623769,-303.78855383331,935.83149463883,0.61794582392777,3544,85,,12,0.12552627595626,0.24331782649117,0.35864864613159,0.47976528055229,0.67972559537896,0.81175052073672,29.916666666667,517.64,468.911,900.3535
5,-1,3552,0.48226351351351,-0.026607737069919,-94.510682072353,-0.45591216216218,-1619.4000000001,0.89294966860056,102.44326039877,0,3552,329,351,2872,-0.014455245707483,0.10305136748066,-99.483867068011,1070.0693338964,0.80855855855856,3552,85,,10,0.13857657826396,0.22693547979533,0.3751681755951,0.46829350454072,0.70404168650472,0.78710296017562,39.690476190476,538.231,528.626,900.338
5,1,3552,0.46030405405405,-0.064072530195274,-227.58562725361,-0.98865427927928,-3511.7,0.76150644605404,233.52466052705,3552,0,292,389,2871,-0.051920038832838,0.14715327471235,-232.56496022891,1069.8795824887,0.80827702702703,3552,85,,12,0.12540857727324,0.2435572228973,0.35861561916516,0.48080260578034,0.67814425073249,0.81224446470028,39.690476190476,530.394,536.354,900.338
