distance_index,direction,status,rows
1,-1,COST_DISTANCE_REJECT,144
1,-1,NO_ENTRY,8
1,-1,SL,1856
1,-1,TIME,64
1,-1,TP,1572
1,1,COST_DISTANCE_REJECT,144
1,1,NO_ENTRY,8
1,1,SL,1905
1,1,TIME,65
1,1,TP,1522
2,-1,CENSORED,1
2,-1,COST_DISTANCE_REJECT,109
2,-1,NO_ENTRY,8
2,-1,SL,1659
2,-1,TIME,429
2,-1,TP,1438
2,1,CENSORED,1
2,1,COST_DISTANCE_REJECT,109
2,1,NO_ENTRY,8
2,1,SL,1693
2,1,TIME,429
2,1,TP,1404
3,-1,CENSORED,1
3,-1,COST_DISTANCE_REJECT,100
3,-1,NO_ENTRY,8
3,-1,SL,1307
3,-1,TIME,1016
3,-1,TP,1212
3,1,CENSORED,1
3,1,COST_DISTANCE_REJECT,100
3,1,NO_ENTRY,8
3,1,SL,1372
3,1,TIME,1047
3,1,TP,1116
4,-1,CENSORED,1
4,-1,COST_DISTANCE_REJECT,91
4,-1,NO_ENTRY,8
4,-1,SL,687
4,-1,TIME,2203
4,-1,TP,654
4,1,CENSORED,1
4,1,COST_DISTANCE_REJECT,91
4,1,NO_ENTRY,8
4,1,SL,766
4,1,TIME,2190
4,1,TP,588
5,-1,CENSORED,1
5,-1,COST_DISTANCE_REJECT,83
5,-1,NO_ENTRY,8
5,-1,SL,351
5,-1,TIME,2872
5,-1,TP,329
5,1,CENSORED,1
5,1,COST_DISTANCE_REJECT,83
5,1,NO_ENTRY,8
5,1,SL,389
5,1,TIME,2871
5,1,TP,292
