month,geometry,distance_atr,statistical_candidates,shock_detections_in_episode_archive,episode_archive_rows,episodes,executable_long,executable_short,executable_either,monthly_episode_ceiling_ge_200,collection_status,one_position_always_long,one_position_always_short
202501,1,0.5,5037,4379,656,656,621,621,621,True,PASS_WITH_LEGACY_WARNING,621,621
202501,2,0.75,5037,4379,656,656,629,629,629,True,PASS_WITH_LEGACY_WARNING,629,629
202501,3,1,5037,4379,656,656,633,633,633,True,PASS_WITH_LEGACY_WARNING,633,633
202501,4,1.5,5037,4379,656,656,635,635,635,True,PASS_WITH_LEGACY_WARNING,635,635
202501,5,2,5037,4379,656,656,635,635,635,True,PASS_WITH_LEGACY_WARNING,635,635
202502,1,0.5,9787,8385,959,959,919,919,919,True,PASS,919,919
202502,2,0.75,9787,8385,959,959,930,930,930,True,PASS,930,930
202502,3,1,9787,8385,959,959,930,930,930,True,PASS,930,930
202502,4,1.5,9787,8385,959,959,933,933,933,True,PASS,933,933
202502,5,2,9787,8385,959,959,933,933,933,True,PASS,933,933
202503,1,0.5,12980,11469,1126,1126,1099,1099,1099,True,PASS,1099,1099
202503,2,0.75,12980,11469,1126,1126,1105,1105,1105,True,PASS,1105,1105
202503,3,1,12980,11469,1126,1126,1107,1107,1107,True,PASS,1107,1107
202503,4,1.5,12980,11469,1126,1126,1109,1109,1109,True,PASS,1109,1109
202503,5,2,12980,11469,1126,1126,1112,1112,1112,True,PASS,1112,1112
202504,1,0.5,12852,11327,903,903,853,853,853,True,PASS_WITH_LEGACY_WARNING,853,853
202504,2,0.75,12852,11327,903,903,862,862,862,True,PASS_WITH_LEGACY_WARNING,862,862
202504,3,1,12852,11327,903,903,865,865,865,True,PASS_WITH_LEGACY_WARNING,865,865
202504,4,1.5,12852,11327,903,903,867,867,867,True,PASS_WITH_LEGACY_WARNING,867,867
202504,5,2,12852,11327,903,903,872,872,872,True,PASS_WITH_LEGACY_WARNING,872,872
