path,sha256,bytes,role,delivery
content/seeds/2026-09-13-frequency-calibration-is-not-a-trade-quota.md,b4b3dba0ce0625485d5403b075cc660bf9c176fc2c353c7c8756a6d965b58c7c,686,evidence_or_document,COMMIT
docs/devlog/2026-09-13-tickshock-usdjpy-only-ml.md,64f1b0bdbb415b212bc07d9f28b58eff784d3555ba021eff8d8bd64465e70039,3653,evidence_or_document,COMMIT
docs/research/tick_shock/usdjpy_only_ml_preregistration.md,ca4f32463a30c9bf791b7f67af689aae32f25d4ba4e93b22a2024afdedfb5d6c,5211,evidence_or_document,COMMIT
docs/research/tick_shock/usdjpy_only_ml_results.md,12ec3a7f2a9b519e5f752ce19a986bf8242f1801d01086f6667521b96c240b55,18108,evidence_or_document,COMMIT
knowledge/experiments/2026-09-13-tickshock-usdjpy-only-ml.md,147059e62f67a7698b3d18960cd9539b4492729eb5f5dd06e39919efeec6f781,1338,evidence_or_document,COMMIT
mql/Experts/ExpectedValue_USDJPY_TickShockMLHoldout.mq5,2ccd36ee29dea57d26df440f4573d934e0c7f81a3642a24d9326107c2b5ce7d4,1523,source_dependency,COMMIT
mql/Experts/tests/ExpectedValue_USDJPY_TickShockMLParityHarness.mq5,b10bd265909ea902e745b32035767468806b5fdf0b8fa8ee5c8c11b41cce0aae,1622,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockBaseline.mqh,ea6cc2a70c5d65ac2e67f06cf259f8a746745843c7b416c47be8f07a005a7971,3342,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockCleanMoveFeatures.mqh,5913b3552a86ab6aa8b14452c773bc27a22a074ed08678b0ce7364332b430830,12564,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockClusterer.mqh,567918b873efed5fcfd66f8431c42e5c6d2a295ae2e4585d2a37136da190f9cf,1770,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockConfig.mqh,247bfcc34fb948f0d8ea4dca28ef93568e45b8a3d266baaa2dccc6b4442f67ea,4418,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockContextFeatures.mqh,2594cbc35f95093972097948034df99c18c3fedaa6229df74f9cbc5c17ba6e72,16131,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockControlStudy.mqh,7b0db9e2db918076e84b77b2fbde2fee04913987abcb4785cdbf2d2c6eeb4307,19812,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockCrossFxLeadLag.mqh,a34b2a4032ed4f53b2d85d02e1392ee3833a4073da44a2292fc5649391da8a7b,19787,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockCsvSerializer.mqh,c129a5ad4678431c6c6d5905a5066811622e1378f79e4931b1a289632d8a0438,4419,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockDelayedDecision.mqh,7fb54f8e38b4bf83f9a8d0630287f1e51c9a451d9b31188182f8b94d3f6387fd,17123,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockDetectionTimeContinuation.mqh,fd2f066e881037ff51d4efb4dd82dc5f91f0c283976977d6d6f1c7d462e4c397,8677,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockDetector.mqh,a824700bfd279373277217a9c218dd0b3b3e61fd77fad37a8b798e6bc24aa703,4767,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockEconomicPath.mqh,1ec6d545f4280fb9e0107aebefeceacb910dc84b9187d0bca6a9bfa8bf7bdcbb,13424,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockEngine.mqh,5e912bd8b12246681fd9884df4c72460d7bd8c6f746bbdc4cdeba1cacb648d49,5186,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockEventEngine.mqh,789be0e8c7204e17f9ab917f3db0d626501e4112120c4a80b2bdb21901b42d0c,4429,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockEventResponse.mqh,75a5a9d27fff5606fd1c070f2b592c8ed8233fb21f7faf0c8973684e940c66c4,13037,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockExecutionModel.mqh,75d995882b45ab98f466860a578ad46275b6552bed88f2e9f79fd0623b8cbc2e,11498,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockGrid.mqh,bcd5eb6d6efc60d935283909c95ce9b284a12972ae66a7ea7eb12564d804f44e,769,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockMediumHorizonResponse.mqh,cfe867aeed003a05a01b52edd51b24691b7188ab94e463c82c7bed439f27158b,17461,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockMergeSequencer.mqh,320b0893d7902edd2cf30a5d43d9e8f6a79623a1e934e7ddee3c3a3509c02412,14160,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockMetrics.mqh,aba89fc0136684c3e0f7fae46f8c17ce61a574ca38227394955b418b05628fd6,3088,source_dependency,COMMIT
mql/Include/TickShock4m2mFrozen/mql/Include/TickShock/TickShockMt5Adapter.mqh,109c5773fab49e079329e686bd7fd89990e171d4d6556c6c0756e33a450e7dba,9657,source_dependency,COMMIT
