family,variant,geometry,month,mean,n,p10,p50,p90,part,sd,side
ELASTICNET,FULL486,1,202502,-0.34819234079255,656,-0.71826872042852,-0.2584467333763,0.17819563674762,fit,0.84029731963184,long_score
ELASTICNET,FULL486,1,202502,-0.20878650952348,656,-0.6871502646556,-0.16633101079047,0.28949753196401,fit,0.5377760389399,short_score
ELASTICNET,FULL486,1,202502,-0.33161775625603,959,-0.76306570244941,-0.25963150903945,0.23171799306534,val,0.7505853089514,long_score
ELASTICNET,FULL486,1,202502,-0.080293827329978,959,-0.60199263262773,-0.065392547569169,0.45089026564911,val,0.51359169152019,short_score
ELASTICNET,FULL486,1,202503,-0.27682822018719,1615,-0.46533156674257,-0.2223510261243,-0.023798045499535,fit,0.41173620301019,long_score
ELASTICNET,FULL486,1,202503,-0.14162703256373,1615,-0.36233924101148,-0.14516951556648,0.086266696277955,fit,0.19893654210801,short_score
ELASTICNET,FULL486,1,202503,-0.19459026038363,1126,-0.3903704905618,-0.17256305136685,0.044238228290862,val,0.29518549939364,long_score
ELASTICNET,FULL486,1,202503,-0.13625140723932,1126,-0.35352224247135,-0.13099624359166,0.072143815887635,val,0.18005825311748,short_score
ELASTICNET,FULL486,1,202504,-0.25370749429952,2741,-0.38128843026387,-0.20331874837254,-0.047275168865902,fit,0.42949519268933,long_score
ELASTICNET,FULL486,1,202504,-0.17652363223281,2741,-0.34523253967403,-0.16753031934753,0.010695270545239,fit,0.19634671561232,short_score
ELASTICNET,FULL486,1,202504,-0.24482721390581,903,-0.39341864802694,-0.16645392172444,0.027170147263597,val,0.58543068521956,long_score
ELASTICNET,FULL486,1,202504,-0.15707641977682,903,-0.35997006432347,-0.1434895434065,0.060002319199223,val,0.24389836498463,short_score
ELASTICNET,FULL486,2,202502,-0.32996325844847,656,-0.65380534440199,-0.19419678831789,0.18443251746941,fit,0.98409097917086,long_score
ELASTICNET,FULL486,2,202502,-0.080223444492018,656,-0.51721771809075,-0.096862283250518,0.39252516311444,fit,0.39343850980164,short_score
ELASTICNET,FULL486,2,202502,-0.24787536885084,959,-0.59529835689435,-0.14054258847202,0.24519659429701,val,0.8264985228082,long_score
ELASTICNET,FULL486,2,202502,-0.079381278239474,959,-0.54607296100924,-0.1140456870062,0.40727537177319,val,0.43743673351578,short_score
ELASTICNET,FULL486,2,202503,-0.23366278653512,1615,-0.43860922133715,-0.1703378016553,0.044528388802549,fit,0.45672737516452,long_score
ELASTICNET,FULL486,2,202503,-0.095573468143609,1615,-0.31188634601888,-0.10688843430783,0.1415964259308,fit,0.18401987181536,short_score
ELASTICNET,FULL486,2,202503,-0.11803583104634,1126,-0.32668120730634,-0.090699808926531,0.13309252111721,val,0.33261453018531,long_score
ELASTICNET,FULL486,2,202503,-0.11780146585706,1126,-0.32221732501416,-0.12201640466419,0.082917360209903,val,0.1685234277141,short_score
ELASTICNET,FULL486,2,202504,-0.20470700670748,2741,-0.34856560648401,-0.14337775421425,0.019219127761787,fit,0.46599630974836,long_score
ELASTICNET,FULL486,2,202504,-0.10463552698179,2741,-0.27627229482951,-0.11270856223018,0.074745861446469,fit,0.14596687268512,short_score
ELASTICNET,FULL486,2,202504,-0.13698936666176,903,-0.26463236494569,-0.040683328136997,0.12614223794691,val,0.6536007241085,long_score
ELASTICNET,FULL486,2,202504,-0.076441083766412,903,-0.26870552482044,-0.088452684360373,0.1164149677602,val,0.17106763534565,short_score
ELASTICNET,FULL486,3,202502,-0.17710368352976,656,-0.50076577545235,-0.12272801688124,0.18517915534367,fit,0.42811212522243,long_score
ELASTICNET,FULL486,3,202502,-0.12547386724389,656,-0.43539243884339,-0.10084617435381,0.24675615003651,fit,0.40944065611999,short_score
ELASTICNET,FULL486,3,202502,-0.063326250933797,959,-0.38276956906834,-0.0084695656271794,0.30640225789861,val,0.40657594371795,long_score
