group,trades,wins,losses,winrate,expectancy_r,profit_factor,total_r,avg_win_r,avg_loss_r
0.85-1.1,4,3,1,75.0,0.5208145000000001,3.065898256946876,2.0832580000000003,1.0305536666666668,-1.008403
1.1-1.2,1,0,1,0.0,-1.0,0.0,-1.0,0,-1.0
1.2-1.45,24,13,11,54.166666666666664,0.09446287500000002,1.2097230983391227,2.2671090000000005,1.0059323076923077,-0.9827282727272728
1.45-1.6,17,10,7,58.82352941176471,0.28175447058823533,1.8779964090658712,4.789826000000001,1.0245231,-0.7793435714285714
1.6-1.8,11,5,6,45.45454545454545,0.12878718181818183,1.3232977369188084,1.4166590000000001,1.1597122,-0.730317
