group,trades,wins,losses,winrate,expectancy_r,profit_factor,total_r
0.03-0.10,2,0,2,0.0,-1.0168594999999998,0.0,-2.0337189999999996
0.10-0.25,1,1,0,100.0,0.350427,inf,0.350427
