group,trades,wins,losses,winrate,expectancy_r,profit_factor,total_r
0-0.8,1,0,1,0.0,-1.025316,0.0,-1.025316
0.8-1.2,2,1,1,50.0,-0.32898799999999995,0.34750689952330566,-0.6579759999999999
