group,trades,wins,losses,winrate,expectancy_r,profit_factor,total_r,avg_win_r,avg_loss_r
<0,41,22,19,53.65853658536586,0.19382017073170726,1.514224204900042,7.946626999999998,1.0636477272727274,-0.8133485789473685
0-0.03,2,2,0,100.0,0.7984249999999999,inf,1.5968499999999999,0.7984249999999999,0
0.03-0.10,7,3,4,42.857142857142854,-0.015322571428571408,0.9743144074769795,-0.10725799999999985,1.3561820000000002,-1.0439509999999999
0.10-0.25,4,2,2,50.0,-0.39463724999999994,0.21461355559303663,-1.5785489999999998,0.21567599999999998,-1.0049505
0.25-0.45,1,0,1,0.0,-1.016393,0.0,-1.016393,0,-1.016393
0.45+,2,2,0,100.0,1.3577875000000001,inf,2.7155750000000003,1.3577875000000001,0
