episode_id,symbol,market_cluster_id,t0_msc,signal_processing_msc,direction,horizon_seconds,entry_msc,entry_bid,entry_ask,atr14_m5,pip_size,status,exit_msc,exit_price,gross_r,gross_pips,mfe,mae,time_to_mfe_ms,independent_r,absolute_error,serialization_bound,within_bound
two_stage_dev_202501_20260913_AUDUSD_mh_4,AUDUSD,113,1736176929750,1736176930287,1,900,1736176931293,0.62982,0.62987,0.000487613781,0.0001,TIME,1736177831318.0,0.62916,-1.456070413041,-7.1,0.00034,0.00073,359023,-1.4560704140558087,1.0148086815320312e-09,3.548947071211899e-09,True
two_stage_dev_202501_20260913_EURUSD_mh_6,EURUSD,279,1736251207750,1736251208369,1,300,1736251208369,1.04239,1.04241,0.000476162895,0.0001,TIME,1736251509356.0,1.04182,-1.239071768704,-5.900000000001,0.00034,0.00074,66947,-1.2390717676565086,1.0474914269309465e-09,3.4094977140436015e-09,True
two_stage_dev_202501_20260913_USDCAD_mh_6,USDCAD,288,1736269201250,1736269201288,1,300,1736269201384,1.43361,1.43401,0.000535523543,0.0001,TIME,1736269501579.0,1.43574,3.230483558137,17.3,0.00173,0.00067,299959,3.230483556910605,1.2263949855650935e-09,4.893542543805341e-09,True
two_stage_dev_202501_20260913_USDCAD_mh_6,USDCAD,288,1736269201250,1736269201288,-1,300,1736269201384,1.43361,1.43401,0.000535523543,0.0001,TIME,1736269501579.0,1.43576,-4.014762803465,-21.499999999999,0.00023,0.00215,9749,-4.014762801940669,1.5243308837398217e-09,5.625795967159319e-09,True
two_stage_dev_202501_20260913_GBPUSD_mh_5,GBPUSD,288,1736269201250,1736269201288,1,300,1736269201388,1.25163,1.25209,0.000583865013,0.0001,TIME,1736269501919.0,1.24961,-4.247557133723,-24.799999999998,0.0,0.00248,0,-4.247557131839677,1.8833228310199956e-09,5.358283749865874e-09,True
two_stage_dev_202501_20260913_GBPUSD_mh_5,GBPUSD,288,1736269201250,1736269201288,-1,300,1736269201388,1.25163,1.25209,0.000583865013,0.0001,TIME,1736269501919.0,1.24963,3.42544930139,20.0,0.002,0.00045,300531,3.425449299870965,1.5190351199123597e-09,4.654260236534533e-09,True
two_stage_dev_202501_20260913_EURUSD_mh_7,EURUSD,288,1736269202250,1736269202488,1,300,1736269202488,1.03789,1.03793,0.000496072967,0.0001,TIME,1736269502528.0,1.03654,-2.802007146757,-13.9,0.0,0.00154,0,-2.8020071490813616,2.324361592087598e-09,4.8479493316849716e-09,True
two_stage_dev_202501_20260913_EURUSD_mh_7,EURUSD,288,1736269202250,1736269202488,-1,300,1736269202488,1.03789,1.03793,0.000496072967,0.0001,TIME,1736269502528.0,1.03657,2.660898873179,13.2,0.00146,8e-05,189400,2.6608988753865876,2.2075874461791045e-09,4.705723975243469e-09,True
two_stage_dev_202501_20260913_EURUSD_mh_7,EURUSD,288,1736269202250,1736269202488,1,600,1736269202488,1.03789,1.03793,0.000496072967,0.0001,TIME,1736269802874.0,1.03594,-4.011506634565,-19.899999999999,0.0,0.002,0,-4.011506637893325,3.3283242828474613e-09,6.0670213600341715e-09,True
two_stage_dev_202501_20260913_EURUSD_mh_7,EURUSD,288,1736269202250,1736269202488,-1,600,1736269202488,1.03789,1.03793,0.000496072967,0.0001,TIME,1736269802874.0,1.03596,3.890556685784,19.3,0.00194,8e-05,599584,3.890556689012218,3.22821813725227e-09,5.945113870732024e-09,True
two_stage_dev_202501_20260913_USDCAD_mh_6,USDCAD,288,1736269201250,1736269201288,1,600,1736269201384,1.43361,1.43401,0.000535523543,0.0001,TIME,1736269962231.0,1.43614,3.977416172735,21.3,0.00258,0.00067,484265,3.9774161712251095,1.5098904349031272e-09,5.590929283797342e-09,True
two_stage_dev_202501_20260913_USDCAD_mh_6,USDCAD,288,1736269201250,1736269201288,-1,600,1736269201384,1.43361,1.43401,0.000535523543,0.0001,TIME,1736269962231.0,1.43615,-4.743022102698,-25.4,0.00023,0.00299,9749,-4.743022100897601,1.8003989410431132e-09,6.305748038651473e-09,True
two_stage_dev_202501_20260913_EURUSD_mh_7,EURUSD,288,1736269202250,1736269202488,1,900,1736269202488,1.03789,1.03793,0.000496072967,0.0001,TIME,1736270102587.0,1.03668,-2.519790599601,-12.5,0.0,0.00204,0,-2.519790601691814,2.0908141884490306e-09,4.563499191736017e-09,True
